Objektnummer;Kulturdenkmaltyp;Kreis;Gemeinde;Adresse-Lage;Bezeichnung;Beschreibung;Begründung;Schutzumfang;FotoURL
21318;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Goebenstraße 1, 2, 3, 5-7, 9-11, 11a-b, 11c-d, 13-13a, Goebenstraße, Steinmetzstraße 1-21, Walter-Hohnsbehn-Straße 8-10, Werderstraße 2-6, Werderstraße";"ehem. Sick-Kaserne";"ehem. Sick-Kaserne; 1896-1915; um dreieckigen Kasernenhof angelegte Bautengruppe bestehend aus Stabs- und Unterkunftsgebäude, Offiziersgebäude, Brigadestabsgebäude, drei Unterkunftsgebäuden, Kantinengebäude und ehem. Mannschaftshaus/Sanitätsgebäude an der Goebenstraße; weiteres Mannschaftsgebäude südöstlich des Komplexes an der Werderstraße; Bauten ergänzt durch jüngeres Garnisonslazarett an der Steinmetzstraße; 1910; 1939 u. 1945 erweitert; mit Verwaltungsgebäude und Leichenhalle";"Geschichtlich, Künstlerisch, Städtebaulich";"ehem. Leichenhalle des Garnisonslazaretts, Kasernenmauer (Goebenstraße); Stabs- und Unterkunftsgebäude (Goebenstraße 1); Verwaltungsgebäude des ehem. Garnisationslazaretts (Goebenstraße 2); Offiziersgebäude (Goebenstraße 3); Brigadestabsgebäude (Goebenstraße 5-7); Unterkunftsgebäude (Goebenstraße 9-11, 11a-b, 11c-d); ehem. Mannschaftshaus/Sanitätsgebäude (Goebenstraße 13-13a); ehem. Garnisonslazarett (Steinmetzstraße 1-21); Kantinengebäude (Walter-Hohnsbehn-Straße 8-10); Kasernenmauer (Werderstraße); Mannschaftsgebäude (Werderstraße 2-6)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/21318.jpg"
39329;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Haart 32";"Caspar-von-Saldern-Haus";"Caspar-von-Saldern-Haus; zweigeschossiger spätbarocker Putzbau auf hohem Sockel unter Walmdach; 1744-1746 für den damaligen Amtmann Caspar von Saldern; mit Garten und Lindenallee";"Geschichtlich, Künstlerisch, Städtebaulich";"Caspar-von-Saldern-Haus, Garten, Lindenallee";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/39329.jpg"
15441;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Haart 65-65a, 65b, 65c-d";"Arbeiterhäuser Haart 65-65a, 65b, 65c-d";"Arbeiterhäuser Haart; 1. Hälfte 19. Jh.; Gruppe dreier eingeschossiger Bauten in Fachwerk und Backstein unter Satteldächern, hofartig situiert";"Geschichtlich, Städtebaulich";"Arbeiterhäuser Haart 65-65a, 65b, 65c-d";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15441.jpg"
21585;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Haart 224";"ehem. Lederfabrik Köster";"ehem. Lederfabrik Köster; 1937-1942, Theodor Speckbötel, Friedrich Last und Walter Beecken (HH); Backsteinbauten in sachlicher Formensprache; dreigeschossiges Hauptgebäude unter Flachdach, Eisenbetonkonstruktion mit Backsteinfassaden, unterteilt durch drei regelmäßig angeordnete Treppen- und Aufzugstürme; davor gereiht zweigeschossiges Verwaltungsgebäude unter Walmdach mit Pfeilerportikus; Maschinenhaus unter Flachdach mit hohen, schmalen Fenstern";"Geschichtlich, Städtebaulich, Technisch";"Verwaltungsgebäude, Maschinenhaus, Fabrikhalle";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/21585.jpg"
50909;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße 15";"Fabrikantenvilla Hauptstraße 15";"Fabrikantenvilla Hauptstraße 15; Ensemble bestehend aus der Villa, 1895, Architekt Ernst Hinsch, einem zweigeschossigen, kubischen Putzbau unter flachem, schiefergedeckten Zeltdach in Formen der Neorenaissance, und einem großzügigen Garten, 1925 teilweise durch Harry Maaß neugestaltet, mit repräsentativer Eiseneinfriedung an der südlichen Grundstückgrenze";"Geschichtlich, Künstlerisch, Städtebaulich";"Fabrikantenvilla, Garten der Fabrikantenvilla mit Eiseneinfriedung";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/50909.jpg"
39398;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Hauptstraße 17";"Fabrikantenvilla Hauptstraße 17";"Fabrikantenvilla Hauptstraße 17; Ensemble bestehend aus der Villa, 1895, Architekt Ernst Hinsch, einem zweigeschossigen, kubischen Putzbau unter flachem, schiefergedeckten Zeltdach in Formen der Neorenaissance, und einem großzügigen Garten mit repräsentativer Eiseneinfriedung an der südlichen Grundstückgrenze und einer Allee";"Geschichtlich, Künstlerisch, Städtebaulich";"Fabrikantenvilla, Garten der Fabrikantenvilla mit Allee, schmiedeeiserner Zaun";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/39398.jpg"
39331;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Hinter der Kirche 10, 11, Hinter der Kirche";"Vicelinkirche";"Sachgesamtheit Vicelinkirche, südöstlich des historischen Stadtkerns Kleinflecken in der Schwaleschleife gelegen, klassizistische Vicelinkirche von C.F. Hansen (1829-1834) umgeben vom ehemaligen Kirchhof mit Altbaumbestand, um den sich bogenförmig das heutige Gemeindehaus (1789-1791) und das Pastorat (1904/5) auf großen, zur Schwale abfallenden Gartengrundstücken gruppieren";"Geschichtlich, Künstlerisch, Kulturlandschaftlich, Städtebaulich";"Vicelinkirche mit Ausstattung, Kirchhof der Vicelinkirche mit Lindenreihen, Lindenalleen, Esche (Naturdenkmal) (Hinter der Kirche); Gemeindehaus der Vicelinkirche mit Garten des ehem. Pastorats (Hinter der Kirche 10); Pastorat West mit Pastoratsgarten (Hinter der Kirche 11)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/39331.jpg"
38931;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Holstenstraße 35";"Theodor-Litt-Schule";"Theodor-Litt-Schule, ehem. Höhere Töchter Schule, 1896, Hauptgebäude, Turnhalle und Hausmeisterwohnung sowie Schulnebengebäude aus Backstein in gotisierender Formensprache";"Geschichtlich, Städtebaulich";"Hauptgebäude, Außenraum, Turnhalle und Hausmeisterwohnung, Nebengebäude, Flügel von 1960/61, Verbindungsgang von 1970/71";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/38931.jpg"
32004;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Hürsland 2";"Volkshaus Tungendorf";"Aktualisierung vorgesehen";"Geschichtlich, Künstlerisch, Städtebaulich";"Volkshaus Tungendorf, nördliches ehem. Stallgebäude, südliches ehem. Stallgebäude, ehem. Bürogebäude, Ehrenmal Erster Weltkrieg, Baumkranz Sportplatz, Gartenanlage mit halbrunder Allee mit Mittelallee und seitlichen Reihen sowie Allee mit Rondell westlich des Volkshauses";""
39613;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Marienstraße 7, 8, 9, 10, 11, 12, 18, 19, 21, 22, 24, 26, 28, 29, 30, 41, 43, Fritz-Reuter-Straße 2, 6, Holstenstraße 41, Marienstraße u.a., Max-Röer-Platz 1-2, 3, Max-Röer-Platz";"Villengebiet Marienstraße";"Villengebiet Marienstraße; überwiegend 1890er-1910er; prachtvolle, zweigeschossige, verputzte u. backsteinsichtige Villenbauten und villenartige Wohnhäuser auf großzügigen Gartengrundstücken in lockerer Reihung";"Geschichtlich, Künstlerisch, Städtebaulich";"Villa Marggraff mit ehem. Pferdestall, Einfriedung (Fritz-Reuter-Straße 2); Villa Erbt mit Remise (Fritz-Reuter-Straße 6); Villa (Holstenstraße 41); Wohnhaus (Marienstraße 7); Villa mit ehem. Pferdestall, Einfriedung (Marienstraße 8); Villa Hasse (Marienstraße 9); Villa Hinselmann/Wolf mit Einfriedung (Marienstraße 10); Villa von Waldegg (Marienstraße 11); Villa Springe (Marienstraße 12); Villa Selck mit Einfriedung (Marienstraße 18); Wohnhaus mit Einfriedung (Marienstraße 19); Einfamilienwohnhaus (Marienstraße 21); Villa Eilers mit Einfriedung (Marienstraße 22); Villa Köster mit Einfriedung (Marienstraße 24); Villa Mylord (Marienstraße 26); Villa Behrens (Marienstraße 28); Villa Hinselmann (Marienstraße 29); Villa Andresen (Marienstraße 30); Zweifamilienwohnhaus (Marienstraße 41); Zweifamilienhaus (Marienstraße 43); Selcks Park mit Kastanienallee entlang der Schwale (Marienstraße, Klaus-Groth-Straße); Max-Röer-Platz; zweigeschossiges Doppelwohnhaus (Max-Röer-Platz 1-2); Drei-Familien-Wohnhaus (Max-Röer-Platz 3)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/39613.jpg"
15560;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Moltkestraße 4-6, 4-8, 8";"Ansgar-Stift";"Ansgar-Stift; 1922-26; Ernst Prinz; zweigeschossiges Haupthaus aus Backstein mit symmetrischer Fassadengestaltung unter ausgebautem Mansarddach mit Gaubenreihe; ehem. Pastorat, eingeschossiger Backsteinbau unter ausgebautem Mansarddach mit Zwerchhaus; straßenseitige Backsteineinfriedung";"Geschichtlich, Künstlerisch, Städtebaulich";"Haupthaus mit Einfriedung, Pastorat";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/15560.jpg"
38943;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Mühlenbrücke 4, 5-7";"Eisenwarenhandlung August Gnutzmann";"Eisenwarenhandlung Gnutzmann, zweigeschossiges Geschäfts- und Lagerhaus (1912/13) aus Backstein unter geschweiftem Walmdach mit gegenüberliegendem Ladengeschäft (1921), dreigeschossiger Backsteinbau mit Werksteinverblendung im Erdgeschoss, für die Eisen-, Stahl- und Kurzwarenhandlung August Gnutzmann";"Geschichtlich, Künstlerisch, Städtebaulich";"Wohn- und Geschäftshaus (Mühlenbrücke 4), Geschäfts- und Lagerhaus (Mühlenbrücke 5-7)";""
39932;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Mühlenhof 22";"Mühlenhof-Schule";"Mühlenhof-Schule; 1893; 1. Mädchenbürgerschule, heute Grundschule; Hauptgebäude als zweigeschossiger Backsteinbau unter Walmdach; vorgelagert Schulhof mit altem Baumbestand";"Geschichtlich, Städtebaulich";"Mühlenhof-Schule mit Lindenreihe, Schulhof der Mühlenhof-Schule mit Lindenreihe Schulhof";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/39932.jpg"
22741;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Mühlenhof 32, 34, 36, 38, 40, 41, 42, 45, 46, 47, 49, 50, 52, 54, 56, 59, Franz-Rohwer-Straße 6, Franz-Rohwer-Straße";"Villenviertel Mühlenhof";"Villengebiet Mühlenhof; um 1900; vornehmlich zweigeschossige, verputzte u. backsteinsichtige Villenbauten des gehobenen Bürgertums auf großzügigen Gartengrundstücken in historistischer Stilvielfalt";"Geschichtlich, Künstlerisch, Städtebaulich";"Straßenpflasterung, Allee (Franz-Rohwer-Straße); Villa Hungerberg (Franz-Rohwer-Straße 6), Einfamilienhaus mit Einfriedung (Mühlenhof 32), Einfamilienhaus (Mühlenhof 34), Wohnhaus (Mühlenhof 36), Villa Bremer (Mühlenhof 38), Villa Kracht mit Eisenzaun (Mühlenhof 40), Wohnhaus (Mühlenhof 41), ehem. Villa Rohwer (Pastorat) (Mühlenhof 42), Einfamilienhaus (Mühlenhof 45), Einfamilienhaus mit Einfriedung (Mühlenhof 46), Mehrfamilienhaus (Mühlenhof 47), ehem. Kommandeurs-Villa (Mühlenhof 49); Villa Pries, Remise, Garten mit Einfriedung, Grotte, Teepavillon-Fundament, ruinöses Gewächshaus (Mühlenhof 50); Villa, Villengarten mit Promenade zum Tivoli, straßenseitige Einfriedung (Mühlenhof 52), Villa (Mühlenhof 54), Villa (Mühlenhof 56), Zweifamilienwohnhaus (Mühlenhof 59)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/22741.jpg"
42751;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Parkstraße 12-18";"ehem. Textilfachschule (Theodor-Litt-Schule)";"ehem. Textilfachschule (Theodor-Litt-Schule); 1951-1953; Carl Friedrich Fischer, Karl-Heinz Scheuermann und Heinrich Bülk; in der Länge gestaffelte zwei- und dreigeschossige Baukörper in Kalksandstein mit Backsteinverblendung unter einheitlichem Satteldach; im Inneren bauzeitliche Ausstattung; gleichzeitig angelegter Schulpark";"Geschichtlich, Künstlerisch, Städtebaulich";"Theodor-Litt-Schule, Park der Theodor-Litt-Schule";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/42751.jpg"
45018;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Plöner Straße 89, 110";"Nordfriedhof";"Nordfriedhof; 1869 angelegt, ab 1906 östlich erweitert; 11 ha Fläche, nach Süden Friedhofsmauer und schmiedeeisernes Friedhofstor; unter den zahlreichen historischen Grabstätten hervorzuheben: Mausoleum für die Familie Moll, die Grüfte für die Familien Sager und Blunck, die mit Galvanoplastiken versehenen Grabmäler der Fam. Christian Friedrich Köster und der Fam. Max Müller, die steinernen Grabmäler der Fam. Möller/Selck und der Fam. Riewerts sowie das Grabmal Renk; südlich des Friedhofs villenartiges Wohnhaus des Steinmetzmeisters Julius Heeschen von 1904";"Geschichtlich, Künstlerisch, Städtebaulich";"Nordfriedhof mit Steinstelen 'Stätte der Besinnung', Friedhofsmauer, Friedhofstor, Mausoleum Moll, Gruft Blunck, Gruft Sager, Grabmal Fam. Christian Friedrich Köster, Grabstätte Fam. Möller/Selck, Grabmal Fam. Max Müller, Grabstätte Fam. Riewerts, Gedenkstein für die Opfer des Brands der Ahlbeck'schen Tuchfabrik 1888, Grabmal Renck, Grabmal Baron von Ropp-Brenner (Plöner Straße 89); Wohnhaus Steinmetzmeister Heeschen (Plöner Straße 110)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/45018.jpg"
41644;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Schützenstraße 60, Gartenstraße 23, 25, 27, 29, 31, Wittorfer Straße 38, 40";"Feuerwache Schützenstraße";"Feuerwache Schützenstraße; 1928/29 u. 1935-37; Carl Lembke; dreiteilige Backsteingebäudegruppe entlang der Schützenstraße: flachgedeckte Fahrzeughalle zwischen zwei zurückgesetzten zweigeschossigen Häusern mit hohen Treppenhausrisaliten und dahinterliegendem Schlauchturm; zwei zweigeschossige ehem. Backsteinwohnhäuser unter Walmdach für Bedienstete der Feuerwehr an der Wittorfer Straße; entlang der Gartenstraße eingeschossige Kraftfahrzeughalle in Backstein mit Satteldach; dahinter Gruppe von vier zweigeschossigen Backsteinwohnhäusern mit über verputzten Gesimszonen auskragenden Walmdächern";"Geschichtlich, Künstlerisch, Städtebaulich";"Feuerwache (Schützenstraße 60), Feuerwehr-Kraftfahrzeughalle (Gartenstraße 23), Vier-Familien-Wohnhäuser (Gartenstraße 25, 27, 29, 31), Feuerwehr-Verwaltungsgebäude (Wittorfer Straße 38, 40)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/41644.jpg"
43699;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Segeberger Straße 32";"Gadelander Mühle";"Gadelander Mühle; Mühle, 1912, zweigeschossiger Backsteinbau unter ausgebautem Mansarddach mit Ladegiebel; 1936 und 1938 durch seitliche flachgedeckte zweigeschossige Backsteinanbauten erweitert; daran rückwärtig anschließend Mühlenlager, ca. 1953; ehem. Scheune, 1929/30, und ehem. Schweinestall, 1937, eingeschossige Backsteinbauten unter Mansarddach im Stil des Heimatschutzes; Vorhof mit Feldsteineinfriedung und hölzernem Gartenpavillon";"Geschichtlich, Städtebaulich, Technisch";"Gadelander Mühle mit Feldsteineinfriedung, Gartenpavillon; Mühlenscheune, Schweinestall, Mühlenlager";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/43699.jpg"
43532;"Sachgesamtheit";"Stadt Neumünster";"Neumünster, Stadt";"Wilhelmstraße 15a-b, 15c";"Wohnanlage Wilhelmstraße 15 a-c";"Wohnanlage Wilhelmstraße 15a-c; 1911/12, Architekt Gottfried Wiese; repräsentative Anlage aus breit gelagertem Vorderhaus, Hinterhaus und Hofgebäuden, Vorderhaus viergeschossig unter Mansarddach in barockisierenden Formen des Heimatstils, Backstein mit Putzgliederung, kräftige Seitenrisalite und zurückliegender Mitteltrakt mit Durchfahrt zitieren Ehrenhofmotiv, Hinterhaus in der Mittelachse, Hofgebäude als Wirtschaftsgebäude symmetrisch zugeordnet";"Geschichtlich, Künstlerisch, Städtebaulich";"Vorderhaus mit zwei Hofgebäuden, Hinterhaus mit Hofgebäude";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/43532.jpg"
43362;"Mehrheit von baulichen Anlagen";"Stadt Neumünster";"Neumünster, Stadt";"Altonaer Straße 84, 86";"Villen Altonaer Straße 84-86";"Villen Altonaer Straße 84-86; 1906-1907; Gottfried Wiese; zwei zweigeschossige Villenbauten, Nr. 84 Putzbau unter Krüppelwalmdach im Landhausstil mit Zierfachwerk, Nr. 86 Putzbau unter Walmdach mit Jugendstildekor, beide Bauten mit übergiebeltem rechtsseitigem Risalit an der Front; Nr. 84 mit rückwärtiger bauzeitlicher Remise";"Geschichtlich, Städtebaulich";"Stadtvilla mit Remise (Altonaer Straße 84), Wohnhaus (Altonaer Straße 86)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/43362.jpg"
42779;"Mehrheit von baulichen Anlagen";"Stadt Neumünster";"Neumünster, Stadt";"Beethovenstraße 22-26, Goebenstraße 28, 43";"Wohnbebauung Goebenstraße, Beethovenstraße";"Wohnbebauung Goebenstraße/Beethovenstraße; 1928 Emil Wittig u. 1953 Heinz Kraft; drei zweigeschossige Bauten in Backstein unter hohen ausgebauten Walmdächern; der Bau Goebenstraße 43/Beethovenstraße 20 als Winkelbau; Goebenstraße 28 und Beethovenstraße 22-26 die Figur in offener Bauweise wiederholend";"Geschichtlich, Städtebaulich";"Mietwohnungshäuser Goebenstraße 28, 43; Beethovenstraße 20, 22-26";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/42779.jpg"
44654;"Mehrheit von baulichen Anlagen";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 50, 52, 54, 56, 58, 60, 62, 64";"Villen Carlstraße 50-64";"Villen Carlstraße 50-64; vornehmlich 1930er und 40er Jahre, Reihe von acht zweigeschossigen, kubischen Villenbauten zumeist in Backstein unter ausgebauten Walmdächern";"Geschichtlich, Städtebaulich";"Villen Carlstraße 50, 52, 54, 56, 58, 60, 62, 64";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44654.jpg"
44274;"Mehrheit von baulichen Anlagen";"Stadt Neumünster";"Neumünster, Stadt";"Carlstraße 71, 73-75, 77-79";"Sager-Villen";"Sager-Villen; 1900-1907; Rudolf Pries und H. Rohwer; errichtet für Lederfabrikdirektor Hermann Sager und Werkmeisterfamilien; Reihe von drei eingeschossigen Putzbauten im Landhausstil unter Schopfwalmdächern mit Freisparren und Zierfachwerk";"Geschichtlich, Städtebaulich";"Villa (Carlstraße 71), Doppel-Wohnhäuser (Carlstraße 73-75, 77-79)";"https://opendata.schleswig-holstein.de/data/denkmalpflege/fotos/44274.jpg"
