anzahl,vorname,geschlecht,position
8,Mariam,w,1
8,Maryam,w,1
8,Pia,w,1
8,Wilma,w,1
8,Ahmad,m,1
8,Amir,m,1
8,Fabian,m,1
8,Hannes,m,1
8,Janosch,m,1
8,Marlo,m,1
8,Otto,m,1
8,Tim,m,1
8,Timo,m,1
8,Tristan,m,1
8,Willi,m,1
8,Jolie,w,2
8,Josephine,w,2
8,Sophia,w,2
8,David,m,2
8,Friedrich,m,2
8,Karl,m,2
8,Kurt,m,2
8,Leopold,m,2
8,Lio,m,2
7,Antonia,w,1
7,Aurora,w,1
7,Ava,w,1
7,Carla,w,1
7,Carlotta,w,1
7,Lene,w,1
7,Lilli,w,1
7,Linda,w,1
7,Livia,w,1
7,Lola,w,1
7,Lucy,w,1
7,Mara,w,1
7,Nina,w,1
7,Paula,w,1
7,Pauline,w,1
7,Sarah,w,1
7,Selma,w,1
7,Alfred,m,1
7,Carl,m,1
7,Charlie,m,1
7,Edgar,m,1
7,Ferdinand,m,1
7,Hans,m,1
7,Henri,m,1
7,Johannes,m,1
7,Konstantin,m,1
7,Leander,m,1
7,Leonard,m,1
7,Leonardo,m,1
7,Mark,m,1
7,Matheo,m,1
7,Mustafa,m,1
7,Wilhelm,m,1
7,Lotta,w,2
7,Magdalena,w,2
7,Rose,w,2
7,Ferdinand,m,2
7,Johann,m,2
7,Louis,m,2
7,Luca,m,2
7,Luis,m,2
7,Oskar,m,2
7,Theodor,m,2
7,Wilhelm,m,2
6,Anni,w,1
6,Diana,w,1
6,Hedi,w,1
6,Hilda,w,1
6,Käthe,w,1
6,Lilith,w,1
6,Louisa,w,1
6,Ronja,w,1
6,Sara,w,1
6,Stella,w,1
6,Albert,m,1
6,Arne,m,1
6,August,m,1
6,Fridolin,m,1
6,Gabriel,m,1
6,Joshua,m,1
6,Justus,m,1
6,Ludwig,m,1
6,Luis,m,1
6,Nelio,m,1
6,Niklas,m,1
6,Omar,m,1
6,Rayan,m,1
6,Robin,m,1
6,William,m,1
6,Carlotta,w,2
6,Ida,w,2
6,Juna,w,2
6,Katharina,w,2
6,Luna,w,2
6,Malou,w,2
6,Martha,w,2
6,Matilda,w,2
6,Ruth,w,2
6,Sofia,w,2
6,Christian,m,2
6,Jakob,m,2
6,Johannes,m,2
6,Matteo,m,2
6,Michael,m,2
6,Noel,m,2
6,Peter,m,2
6,Raphael,m,2
5,Aisha,w,1
5,Ayla,w,1
5,Bella,w,1
5,Eliana,w,1
5,Flora,w,1
5,Hermine,w,1
5,Jasmin,w,1
5,Karlotta,w,1
5,Kim,w,1
5,Lisa,w,1
5,Malea,w,1
5,Malina,w,1
5,Mascha,w,1
5,Romy,w,1
5,Ruby,w,1
5,Smilla,w,1
5,Valerie,w,1
5,Viktoria,w,1
5,Arvid,m,1
5,Bela,m,1
5,Elian,m,1
5,Enno,m,1
5,Frederik,m,1
5,Fynn,m,1
5,Jaro,m,1
5,Jasper,m,1
5,Joel,m,1
5,Jona,m,1
5,Jonte,m,1
5,Kalle,m,1
5,Kian,m,1
5,Konrad,m,1
5,Lenny,m,1
5,Levin,m,1
5,Lian,m,1
5,Luan,m,1
5,Luke,m,1
5,Magnus,m,1
5,Malik,m,1
5,Marvin,m,1
5,Matti,m,1
5,Michael,m,1
5,Mohammad,m,1
5,Mohammed,m,1
5,Nino,m,1
5,Ole,m,1
5,Oscar,m,1
5,Pepe,m,1
5,Robert,m,1
5,Sebastian,m,1
5,Toni,m,1
5,Frieda,w,2
5,Friederike,w,2
5,Jasmin,w,2
5,Lea,w,2
5,Lia,w,2
5,Lisbeth,w,2
5,Livia,w,2
5,Luisa,w,2
5,Marlene,w,2
5,Viktoria,w,2
5,Aaron,m,2
5,Alfred,m,2
5,Anton,m,2
5,Finn,m,2
5,Heinrich,m,2
5,Heinz,m,2
5,Levin,m,2
5,Oliver,m,2
5,Pascal,m,2
5,Philipp,m,2
5,Theo,m,2
5,William,m,2
4,Abby,w,1
4,Ada,w,1
4,Alexandra,w,1
4,Alina,w,1
4,Alisa,w,1
4,Amy,w,1
4,Arya,w,1
4,Ashley,w,1
4,Dalia,w,1
4,Elea,w,1
4,Felicitas,w,1
4,Florentine,w,1
4,Greta,w,1
4,Hailey,w,1
4,Holly,w,1
4,Jette,w,1
4,Julia,w,1
4,Kaja,w,1
4,Karla,w,1
4,Lana,w,1
4,Leyla,w,1
4,Lily,w,1
4,Livi,w,1
4,Mathilde,w,1
4,Mika,w,1
4,Miley,w,1
4,Miriam,w,1
4,Pina,w,1
4,Tabea,w,1
4,Theresa,w,1
4,Wanda,w,1
4,Yara,w,1
4,Ylvi,w,1
4,Aiden,m,1
4,Andreas,m,1
4,Arian,m,1
4,Armin,m,1
4,Aurelio,m,1
4,Benedikt,m,1
4,Benno,m,1
4,Constantin,m,1
4,Damian,m,1
4,Dario,m,1
4,Dean,m,1
4,Elijah,m,1
4,Fabio,m,1
4,Fiete,m,1
4,Hamza,m,1
4,Hanno,m,1
4,Ibrahim,m,1
4,Ivan,m,1
4,Jamie,m,1
4,Janne,m,1
4,Jaron,m,1
4,Leano,m,1
4,Lennard,m,1
4,Lias,m,1
4,Lionel,m,1
4,Lucas,m,1
4,Luka,m,1
4,Mailo,m,1
4,Miran,m,1
4,Mohamed,m,1
4,Philipp,m,1
4,Rafael,m,1
4,Sanad,m,1
4,Taavi,m,1
4,Tom,m,1
4,Zaid,m,1
4,Anastasia,w,2
4,Ava,w,2
4,Elaine,w,2
4,Elise,w,2
4,Frida,w,2
4,Karlotta,w,2
4,Lina,w,2
4,Linnea,w,2
4,Lou,w,2
4,Louise,w,2
4,Marina,w,2
4,Marleen,w,2
4,Mathilde,w,2
4,Olivia,w,2
4,Pauline,w,2
4,Rosalie,w,2
4,Victoria,w,2
4,Albert,m,2
4,Arthur,m,2
4,Aurel,m,2
4,Bo,m,2
4,Daniel,m,2
4,Elijah,m,2
4,Emanuel,m,2
4,Franz,m,2
4,Frederik,m,2
4,Fritz,m,2
4,Gabriel,m,2
4,Georg,m,2
4,Gustav,m,2
4,Henry,m,2
4,Joel,m,2
4,Julius,m,2
4,Kasimir,m,2
4,Leander,m,2
4,Leonard,m,2
4,Linus,m,2
4,Lukas,m,2
4,Maxim,m,2
4,Richard,m,2
4,Rudolf,m,2
4,Vincent,m,2
4,Willi,m,2
4,Anh,w,3
4,Thomas,m,3
3,Adele,w,1
3,Alba,w,1
3,Alia,w,1
3,Aliya,w,1
3,Amelia,w,1
3,Amina,w,1
3,Annalena,w,1
3,Aria,w,1
3,Asma,w,1
3,Avin,w,1
3,Aya,w,1
3,Ayleen,w,1
3,Eleonora,w,1
3,Elin,w,1
3,Elina,w,1
3,Elise,w,1
3,Elli,w,1
3,Emilie,w,1
3,Fenja,w,1
3,Fine,w,1
3,Gerda,w,1
3,Ghazal,w,1
3,Hedda,w,1
3,Helen,w,1
3,Henriette,w,1
3,Janne,w,1
3,Jara,w,1
3,Jonna,w,1
3,Katharina,w,1
3,Kaya,w,1
3,Laura,w,1
3,Layla,w,1
3,Leonora,w,1
3,Leonore,w,1
3,Liara,w,1
3,Liliana,w,1
3,Lilo,w,1
3,Lucia,w,1
3,Lucie,w,1
3,Marta,w,1
3,Mathea,w,1
3,Milou,w,1
3,Nela,w,1
3,Nelly,w,1
3,Nia,w,1
3,Nova,w,1
3,Rosemarie,w,1
3,Tamara,w,1
3,Tessa,w,1
3,Valeria,w,1
3,Vanessa,w,1
3,Zoey,w,1
3,Alessio,m,1
3,Amin,m,1
3,Amon,m,1
3,Ares,m,1
3,Ari,m,1
3,Aron,m,1
3,Artur,m,1
3,Carlos,m,1
3,Caspar,m,1
3,Cedric,m,1
3,Conrad,m,1
3,Cosmo,m,1
3,Daniel,m,1
3,Elio,m,1
3,Elyas,m,1
3,Enzo,m,1
3,Ezra,m,1
3,Fred,m,1
3,Frederick,m,1
3,Friedo,m,1
3,Georg,m,1
3,Gideon,m,1
3,Gregor,m,1
3,Hendrik,m,1
3,Henrik,m,1
3,Hugo,m,1
3,Ian,m,1
3,Jacob,m,1
3,Jan,m,1
3,Jari,m,1
3,Jaromir,m,1
3,Johan,m,1
3,John,m,1
3,Joris,m,1
3,Joscha,m,1
3,Josef,m,1
3,Josua,m,1
3,Junis,m,1
3,Karam,m,1
3,Karlo,m,1
3,Keno,m,1
3,Kuno,m,1
3,Lasse,m,1
3,Lennox,m,1
3,Leno,m,1
3,Lino,m,1
3,Lion,m,1
3,Lorenz,m,1
3,Mads,m,1
3,Malio,m,1
3,Marcel,m,1
3,Marten,m,1
3,Matei,m,1
3,Mio,m,1
3,Miro,m,1
3,Mohamad,m,1
3,Nick,m,1
3,Nikita,m,1
3,Nikolai,m,1
3,Nilo,m,1
3,Nils,m,1
3,Peter,m,1
3,Phil,m,1
3,Piet,m,1
3,Pino,m,1
3,Rio,m,1
3,Rudi,m,1
3,Rune,m,1
3,Sam,m,1
3,Tammo,m,1
3,Thiago,m,1
3,Victor,m,1
3,Willy,m,1
3,Yahia,m,1
3,Yorin,m,1
3,Yousef,m,1
3,Zayn,m,1
3,Alma,w,2
3,Angela,w,2
3,Anh,w,2
3,Anna,w,2
3,Anni,w,2
3,Antonia,w,2
3,Clara,w,2
3,Claudia,w,2
3,Edda,w,2
3,Elea,w,2
3,Erika,w,2
3,Freya,w,2
3,Fritzi,w,2
3,Helena,w,2
3,Hilde,w,2
3,Ilse,w,2
3,Ivanivna,w,2
3,Jette,w,2
3,Julie,w,2
3,Leona,w,2
3,Lilly,w,2
3,Linn,w,2
3,Lore,w,2
3,Malia,w,2
3,Mara,w,2
3,Margarete,w,2
3,Marlen,w,2
3,Mathea,w,2
3,Melina,w,2
3,Minou,w,2
3,Oleksandrivna,w,2
3,Paulina,w,2
3,Renate,w,2
3,Romy,w,2
3,Sandra,w,2
3,Violet,w,2
3,Abel,m,2
3,Andreas,m,2
3,Bao,m,2
3,Bernd,m,2
3,Carl,m,2
3,Christoph,m,2
3,Constantin,m,2
3,Emilian,m,2
3,Erwin,m,2
3,Gerhard,m,2
3,Hermann,m,2
3,James,m,2
3,Janosch,m,2
3,Jonas,m,2
3,Josef,m,2
3,Konrad,m,2
3,Konstantin,m,2
3,Lasse,m,2
3,Leon,m,2
3,Ludwig,m,2
3,Martin,m,2
3,Mika,m,2
3,Mike,m,2
3,Nathanael,m,2
3,Pavlovič,m,2
3,Rudi,m,2
3,Sebastian,m,2
3,Sven,m,2
3,Till,m,2
3,Ulrich,m,2
3,Walter,m,2
3,Willem,m,2
3,Maria,w,3
3,Marie,w,3
3,Michel,m,3
2,Aaliya,w,1
2,Aaliyah,w,1
2,Adriana,w,1
2,Agatha,w,1
2,Alea,w,1
2,Alenia,w,1
2,Alessia,w,1
2,Alicia,w,1
2,Alissa,w,1
2,Alysa,w,1
2,Amara,w,1
2,Amaya,w,1
2,Amila,w,1
2,Angelina,w,1
2,Anja,w,1
2,Annabelle,w,1
2,Annelie,w,1
2,Anouk,w,1
2,Asil,w,1
2,Bonnie,w,1
2,Celine,w,1
2,Chloe,w,1
2,Coco,w,1
2,Dana,w,1
2,Dilara,w,1
2,Dina,w,1
2,Eda,w,1
2,Edith,w,1
2,Eleni,w,1
2,Elenor,w,1
2,Eleyna,w,1
2,Elif,w,1
2,Ellen,w,1
2,Ellena,w,1
2,Ellie,w,1
2,Elly,w,1
2,Elsa,w,1
2,Emira,w,1
2,Emmi,w,1
2,Emmy,w,1
2,Enola,w,1
2,Erna,w,1
2,Esra,w,1
2,Esther,w,1
2,Evelyn,w,1
2,Fatima,w,1
2,Freyja,w,1
2,Friederike,w,1
2,Gloria,w,1
2,Grete,w,1
2,Hailie,w,1
2,Havin,w,1
2,Hawa,w,1
2,Hazel,w,1
2,Hella,w,1
2,Hilma,w,1
2,Isabel,w,1
2,Isabelle,w,1
2,Iskra,w,1
2,Israa,w,1
2,Iva,w,1
2,Ivy,w,1
2,Jana,w,1
2,Jella,w,1
2,Jenna,w,1
2,Johanne,w,1
2,Jola,w,1
2,Jood,w,1
2,Jordana,w,1
2,Josefina,w,1
2,Josephina,w,1
2,Josephine,w,1
2,Judith,w,1
2,Juli,w,1
2,Juni,w,1
2,Kaia,w,1
2,Kara,w,1
2,Karina,w,1
2,Kate,w,1
2,Kiana,w,1
2,Layan,w,1
2,Lea-Sophie,w,1
2,Leandra,w,1
2,Leevke,w,1
2,Letizia,w,1
2,Liah,w,1
2,Liana,w,1
2,Libi,w,1
2,Liese,w,1
2,Lillian,w,1
2,Linh,w,1
2,Linnea,w,1
2,Liya,w,1
2,Lore,w,1
2,Lou,w,1
2,Luana,w,1
2,Luba,w,1
2,Luca,w,1
2,Malin,w,1
2,Maliya,w,1
2,Malou,w,1
2,Margarete,w,1
2,Marianne,w,1
2,Mariella,w,1
2,Marlena,w,1
2,Marlie,w,1
2,Maxi,w,1
2,Maxime,w,1
2,Mayla,w,1
2,Melissa,w,1
2,Melody,w,1
2,Merida,w,1
2,Michelle,w,1
2,Milana,w,1
2,Milla,w,1
2,Millie,w,1
2,Mina,w,1
2,Muna,w,1
2,Natalie,w,1
2,Natasha,w,1
2,Nea,w,1
2,Neele,w,1
2,Nelia,w,1
2,Nicole,w,1
2,Nikole,w,1
2,Nikolina,w,1
2,Noa,w,1
2,Nori,w,1
2,Penelope,w,1
2,Philippa,w,1
2,Rebecca,w,1
2,Reva,w,1
2,Rita,w,1
2,Romi,w,1
2,Rubina,w,1
2,Runa,w,1
2,Samantha,w,1
2,Silvana,w,1
2,Tamina,w,1
2,Tara,w,1
2,Tiffany,w,1
2,Vera,w,1
2,Yasmina,w,1
2,Ylva,w,1
2,Ylvie,w,1
2,Zlata,w,1
2,Adnan,m,1
2,Ahmed,m,1
2,Ahmet,m,1
2,Alvar,m,1
2,Alvin,m,1
2,Alwin,m,1
2,Amador,m,1
2,Antoni,m,1
2,Antonio,m,1
2,Arkan,m,1
2,Arno,m,1
2,Artjom,m,1
2,Aslan,m,1
2,Avram,m,1
2,Ayan,m,1
2,Baran,m,1
2,Bastian,m,1
2,Bennet,m,1
2,Bento,m,1
2,Bjarne,m,1
2,Bo,m,1
2,Bogdan,m,1
2,Charly,m,1
2,Christopher,m,1
2,Collin,m,1
2,Danial,m,1
2,Danylo,m,1
2,Diego,m,1
2,Dinh,m,1
2,Domenic,m,1
2,Eddi,m,1
2,Eduard,m,1
2,Edwin,m,1
2,Elliot,m,1
2,Emilian,m,1
2,Emmanuel,m,1
2,Emran,m,1
2,Evan,m,1
2,Ghali,m,1
2,Gustaf,m,1
2,Hassan,m,1
2,Hauke,m,1
2,Henning,m,1
2,Hubert,m,1
2,Idris,m,1
2,Ilay,m,1
2,Ilyas,m,1
2,Ivar,m,1
2,Ivo,m,1
2,Jad,m,1
2,Jamo,m,1
2,Janik,m,1
2,Jannes,m,1
2,Jannik,m,1
2,Jayden,m,1
2,Jeremias,m,1
2,Jesse,m,1
2,Jonne,m,1
2,Jordan,m,1
2,Jorik,m,1
2,Juno,m,1
2,Kai,m,1
2,Karim,m,1
2,Kasimir,m,1
2,Kerem,m,1
2,Khôi,m,1
2,Kiano,m,1
2,Kilian,m,1
2,Kinan,m,1
2,Kolja,m,1
2,Laurenz,m,1
2,Leevi,m,1
2,Lenni,m,1
2,Leonas,m,1
2,Leonhard,m,1
2,Levio,m,1
2,Lijan,m,1
2,Logan,m,1
2,Loki,m,1
2,Lysander,m,1
2,Mahmud,m,1
2,Maksymilian,m,1
2,Marek,m,1
2,Marko,m,1
2,Martin,m,1
2,Massimo,m,1
2,Merlin,m,1
2,Michel,m,1
2,Mikkel,m,1
2,Milad,m,1
2,Miron,m,1
2,Momo,m,1
2,Muhammad,m,1
2,Nael,m,1
2,Nathan,m,1
2,Nazar,m,1
2,Nero,m,1
2,Nevio,m,1
2,Nicolas,m,1
2,Niels,m,1
2,Nikolas,m,1
2,Pablo,m,1
2,Rakan,m,1
2,Rocco,m,1
2,Ryan,m,1
2,Saad,m,1
2,Sami,m,1
2,Samir,m,1
2,Samu,m,1
2,Selim,m,1
2,Tamo,m,1
2,Tarek,m,1
2,Thees,m,1
2,Thies,m,1
2,Thomas,m,1
2,Thore,m,1
2,Thorin,m,1
2,Tizian,m,1
2,Tobias,m,1
2,Umut,m,1
2,Valentino,m,1
2,Viktor,m,1
2,Vito,m,1
2,Wanja,m,1
2,Yakoub,m,1
2,Yan,m,1
2,Yasin,m,1
2,Yasir,m,1
2,Yassin,m,1
2,Yeshua,m,1
2,Younes,m,1
2,Yunis,m,1
2,Yusef,m,1
2,Zain,m,1
2,Ahmed,w,2
2,Alba,w,2
2,Alexandra,w,2
2,Angelique,w,2
2,Annabel,w,2
2,Anne,w,2
2,Annelie,w,2
2,Anouk,w,2
2,Astrid,w,2
2,Carola,w,2
2,Christina,w,2
2,Christine,w,2
2,Céline,w,2
2,Diana,w,2
2,Dora,w,2
2,Elisa,w,2
2,Eloise,w,2
2,Elsa,w,2
2,Emilie,w,2
2,Estera,w,2
2,Eva,w,2
2,Evelyn,w,2
2,Fatima,w,2
2,Felicia,w,2
2,Feline,w,2
2,Fiona,w,2
2,Florentine,w,2
2,Franziska,w,2
2,Gabriela,w,2
2,Gul,w,2
2,Hannah,w,2
2,Heidi,w,2
2,Hope,w,2
2,Inge,w,2
2,Isabel,w,2
2,Isabella,w,2
2,Jamila,w,2
2,Jane,w,2
2,Janine,w,2
2,Jella,w,2
2,Joleen,w,2
2,Josepha,w,2
2,Julia,w,2
2,Kathrin,w,2
2,Kiara,w,2
2,Klara,w,2
2,Laureen,w,2
2,Liane,w,2
2,Liese,w,2
2,Linea,w,2
2,Liv,w,2
2,Louisa,w,2
2,Lovis,w,2
2,Malina,w,2
2,Margarethe,w,2
2,Marianne,w,2
2,Mariella,w,2
2,Mathilda,w,2
2,Mila,w,2
2,Milu,w,2
2,Minh,w,2
2,Mona,w,2
2,Monika,w,2
2,Nour,w,2
2,Oleksiivna,w,2
2,Palina,w,2
2,Paula,w,2
2,Pheline,w,2
2,Rita,w,2
2,Rosi,w,2
2,Sanna,w,2
2,Selma,w,2
2,Simone,w,2
2,Skadi,w,2
2,Soraya,w,2
2,Stella,w,2
2,Sylvia,w,2
2,Talvi,w,2
2,Theresia,w,2
2,Tilda,w,2
2,Viola,w,2
2,Vitaliivna,w,2
2,Ylvi,w,2
2,Alfons,m,2
2,Ali,m,2
2,Aljoscha,m,2
2,Amadeus,m,2
2,Amin,m,2
2,Amir,m,2
2,An,m,2
2,Arno,m,2
2,Arvid,m,2
2,August,m,2
2,Augustin,m,2
2,Aurelio,m,2
2,Ben,m,2
2,Benedikt,m,2
2,Benjamin,m,2
2,Bogdanovič,m,2
2,Bruno,m,2
2,Christopher,m,2
2,Christos,m,2
2,Colin,m,2
2,Damian,m,2
2,Dean,m,2
2,Eduard,m,2
2,Efe,m,2
2,Elia,m,2
2,Elio,m,2
2,Eric,m,2
2,Erich,m,2
2,Ethan,m,2
2,Felix,m,2
2,Fiete,m,2
2,Finley,m,2
2,Florentin,m,2
2,Fridolin,m,2
2,Hamza,m,2
2,Hans,m,2
2,Heiko,m,2
2,Helmut,m,2
2,Henri,m,2
2,Holger,m,2
2,Hải,m,2
2,Jace,m,2
2,Jano,m,2
2,Jari,m,2
2,Jean,m,2
2,Joe,m,2
2,Jona,m,2
2,Jonah,m,2
2,Jonathan,m,2
2,Joris,m,2
2,Josué,m,2
2,Juri,m,2
2,Jürgen,m,2
2,Klaus,m,2
2,Leo,m,2
2,Lev,m,2
2,Lothar,m,2
2,Marek,m,2
2,Marius,m,2
2,Markus,m,2
2,Matheo,m,2
2,Mats,m,2
2,Matthias,m,2
2,Max,m,2
2,Maximillian,m,2
2,Michel,m,2
2,Milan,m,2
2,Milo,m,2
2,Minh,m,2
2,Mohammed,m,2
2,Mustafa,m,2
2,Neo,m,2
2,Nikolai,m,2
2,Noam,m,2
2,Ole,m,2
2,Oleksandrovič,m,2
2,Oleksiiovych,m,2
2,Otis,m,2
2,Pepe,m,2
2,Phil,m,2
2,Ralf,m,2
2,Rick,m,2
2,Rio,m,2
2,Robert,m,2
2,Ruben,m,2
2,Samuel,m,2
2,Santiago,m,2
2,Serhiiovych,m,2
2,Simon,m,2
2,Stefan,m,2
2,Thomas,m,2
2,Titus,m,2
2,Tobias,m,2
2,Tristan,m,2
2,Valentino,m,2
2,Vasil'ovič,m,2
2,Victor,m,2
2,Viktor,m,2
2,Wanja,m,2
2,Werner,m,2
2,Willy,m,2
2,Yuriiovych,m,2
2,Charlotte,w,3
2,Elisabeth,w,3
2,Helga,w,3
2,Ina,w,3
2,Ophelia,w,3
2,Rosa,w,3
2,Sophie,w,3
2,Viktorovna,w,3
2,Alexander,m,3
2,Alfred,m,3
2,Bo,m,3
2,Daniel,m,3
2,Leon,m,3
2,Maxim,m,3
2,Samson,m,3
2,Samuel,m,3
2,Walter,m,3
1,Abbygale,w,1
1,Abigail,w,1
1,Abiha,w,1
1,Adanna,w,1
1,Adela,w,1
1,Adelina,w,1
1,Adeline,w,1
1,Aden,w,1
1,Adina,w,1
1,Adrina,w,1
1,Aenne,w,1
1,Afina,w,1
1,Agnes,w,1
1,Ahed,w,1
1,Aida,w,1
1,Aileen,w,1
1,Aimy,w,1
1,Ainhoa,w,1
1,Aino,w,1
1,Aira,w,1
1,Aishah,w,1
1,Ajala,w,1
1,Ajla,w,1
1,Ajsa,w,1
1,Alaya,w,1
1,Alexa,w,1
1,Alexandria,w,1
1,Aleyna,w,1
1,Aliana,w,1
1,Aline,w,1
1,Aliss,w,1
1,Alissia,w,1
1,Aliza,w,1
1,Almas,w,1
1,Almasa,w,1
1,Almut,w,1
1,Alora,w,1
1,Alya,w,1
1,Amaani,w,1
1,Amaia,w,1
1,Amalie,w,1
1,Amalina,w,1
1,Amar,w,1
1,Amari,w,1
1,Amatheia,w,1
1,Amel,w,1
1,Amelia-Imani,w,1
1,Amelie-Sophie,w,1
1,Amicia,w,1
1,Amilia,w,1
1,Amine,w,1
1,Amira-Elina,w,1
1,Amna,w,1
1,Amra,w,1
1,Amrei,w,1
1,Amélie,w,1
1,An,w,1
1,Anabella-Maria,w,1
1,Anabiya,w,1
1,Anais,w,1
1,Anastasia-Luna,w,1
1,Anaïs,w,1
1,Andreea,w,1
1,Angel-Rosé,w,1
1,Angela,w,1
1,Anila,w,1
1,Anita,w,1
1,Anjuli,w,1
1,Ann-Kathrin,w,1
1,Annelies,w,1
1,Annemarie,w,1
1,Annika,w,1
1,Ariana-Maria,w,1
1,Ariana-Marija,w,1
1,Ariane,w,1
1,Arianna,w,1
1,Arin,w,1
1,Aruna,w,1
1,Arwa,w,1
1,Aryam,w,1
1,Aryana-Elena,w,1
1,Aseel,w,1
1,Asel,w,1
1,Asinat,w,1
1,Asmin,w,1
1,Astrid,w,1
1,Asya,w,1
1,Augusta,w,1
1,Auguste,w,1
1,Auri,w,1
1,Aurélie,w,1
1,Avşin,w,1
1,Ayaat,w,1
1,Ayana,w,1
1,Ayischah,w,1
1,Ayli,w,1
1,Aylin,w,1
1,Azura,w,1
1,Bahaare,w,1
1,Bahar,w,1
1,Bahia,w,1
1,Bayan,w,1
1,Beatrice,w,1
1,Betty,w,1
1,Bo,w,1
1,Brielle,w,1
1,Bruna,w,1
1,Caitlyn,w,1
1,Caja,w,1
1,Calotta,w,1
1,Camelia,w,1
1,Camila,w,1
1,Cara,w,1
1,Caren,w,1
1,Cataleya,w,1
1,Cecile,w,1
1,Celavi,w,1
1,Celia,w,1
1,Celina,w,1
1,Chantal,w,1
1,Charlet,w,1
1,Chloé,w,1
1,Christina,w,1
1,Châu,w,1
1,Ciara,w,1
1,Clarissa,w,1
1,Clio,w,1
1,Colleene,w,1
1,Cora,w,1
1,Coralie,w,1
1,Cyara,w,1
1,Céleste,w,1
1,Céline,w,1
1,Dahb,w,1
1,Dahlia,w,1
1,Dalya,w,1
1,Danelia,w,1
1,Dania,w,1
1,Darina,w,1
1,Dariya,w,1
1,Darya,w,1
1,Dawn,w,1
1,Dea,w,1
1,Delilah,w,1
1,Delvan,w,1
1,Denia,w,1
1,Diara,w,1
1,Divora,w,1
1,Domenica,w,1
