FID,geom,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,amenity,name,shop,toilets:wheelchair,wheelchair,osm_id,osm_type,editlink,tutoriallink,building,official_name,source:addr,source:geometry,collection_times,opening_hours,operator,operator:wikidata,brand,brand:wikidata,brand:wikipedia,operator:wikipedia,source,heritage,image,check_date,building:flats,check_date:opening_hours,branch,ref,phone,contact:website,parcel_locker:type,parcel_mail_in,parcel_pickup,surveillance,website,postal_code,not:operator:wikidata,note,created_by,description,email,atm,post_office:type,alt_name,short_name,level,post_office:brand,post_office:letter,post_office:parcel_from,post_office:service_provider,post_office:stamps,ref:deutsche_post,lottery,tenant,fax,update,type,contact:email,payment:cash,payment:credit_cards,payment:debit_cards,wheelchair:description,opening_hours:covid19,indoor,disused:shop,old_name,old_phone,contact:phone,lastcheck,post_office,toys:model_railway,last_check,payment:coins,payment:maestro,payment:notes,internet_access,payment:girocard,object:city,object:country,object:housenumber,object:street,survey:date,fixme,object:postcode,ref:shop:num,refrigerated,colour,packstation_type,addr:floor,dispensing,app_operated,display_operated,label_printer,name:de,start_date,payment:postcard
OSM_MRN_amenity_post_office_4326_Point.199,POINT (8.1707451 49.4670359),,,,,,,post_office,Hermes Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/8747351801,https://learnosm.org/de/beginner/,,,,,,,Hermes,Q1613532,Hermes Paketshop,Q1613532,en:Hermes Group,en:Hermes Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.200,POINT (8.2025222 49.5094386),,,,,,,post_office,Hermes Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/8747364707,https://learnosm.org/de/beginner/,,,,,,,Hermes,Q1613532,Hermes Paketshop,Q1613532,en:Hermes Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.201,POINT (8.4034069 49.5206691),,,,,,,post_office,Bleistift,,,no,2147483647,node,https://www.openstreetmap.org/node/8920691269,https://learnosm.org/de/beginner/,,,,,,"Mo,Tu,Th,Fr 08:30-12:00,15:00-18:00; We 08:30-12:00; Sa 09:00-13:00",Deutsche Post AG,,,,,,,,,,,,,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.202,POINT (8.8414662 49.393436),,,,,,,post_office,DHL Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/9010116062,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.203,POINT (8.4683712 49.4750791),Mannheim,,32,68163,Meerfeldstraße,,post_office,Post Mannheim Lindenhof,,,no,2147483647,node,https://www.openstreetmap.org/node/9017651093,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 08:30-13:00,15:00-18:00; Sa 09:00-14:00",Ali Durmaz,,,,,,,,,,,,,,+49 228 4333112,,,,,,https://www.deutschepost.de/de/s/standorte.html?objectid=4123886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_annex,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.204,POINT (8.3519496 49.5813065),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/9039179885,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,2025-06-17,,,,180,,,,yes,,,,67240,,,,,,,,Packstation,DHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.205,POINT (8.3420174 49.314651),,,,,,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/9110768485,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.206,POINT (8.4791399 49.4906381),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/9226940217,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,,,,176,,,,,yes,,,,,,,,,,,,Packstation,DHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-05,,,,,,cabinet,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.207,POINT (8.3103357 49.6388126),Worms,DE,45,67547,Laurentiusstraße,,post_office,Deutsche Post FIliale 568,,,yes,2147483647,node,https://www.openstreetmap.org/node/9336795591,https://learnosm.org/de/beginner/,,,,,,"Mo-Sa 08:30-12:00; We-Fr 08:30-12:00,14:30-18:00",Schreibwaren Krafczyck,,,,,,,,,2025-03-23,,2025-03-23,,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.208,POINT (8.3544613 49.5826285),,,,,,,parcel_locker,Amazon Hub Locker,,,,2147483647,node,https://www.openstreetmap.org/node/9415763475,https://learnosm.org/de/beginner/,,,,,,,Amazon,,Amazon Hub,,,,,,,2025-06-17,,,,jaidaya,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.209,POINT (8.5527708 49.5116134),,,,,,,parcel_locker,Packstation 175,,,,2147483647,node,https://www.openstreetmap.org/node/9503066297,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,,DHL Packstation,,de:Packstation,de:DHL,,,,,,,,175,,,,yes,,,,68309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mannheim,,11,Chemnitzer Straße,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.210,POINT (8.677824 49.4140832),,,,,,,parcel_locker,Packstation 120,,,,2147483647,node,https://www.openstreetmap.org/node/9554007092,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.211,POINT (8.3623786 49.6318342),,,1-3,,Hardtgasse,,post_office,Postbox,,,yes,2147483647,node,https://www.openstreetmap.org/node/9565450028,https://learnosm.org/de/beginner/,,,,,,Mo-Sa 09:00-19:00,,,,,,,,,,2025-05-20,,,,,,,,,,,,,,,,Postshop (Briefe & Pakete),,,,,,0,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,post_partner,,,,,,,,,,,,,,,,,,,0,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.212,POINT (8.6383087 49.6497102),,,,,,,parcel_locker,Amazon Hub Locker,,,,2147483647,node,https://www.openstreetmap.org/node/9576632920,https://learnosm.org/de/beginner/,,,,,,,,,Amazon Hub,Q100274430,en:Amazon Locker,,,,,,,,,cajus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.213,POINT (8.2561558 49.3637214),,,,,,,post_office,DHL Paket Shop,,,,2147483647,node,https://www.openstreetmap.org/node/9590596978,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.214,POINT (8.1716492 49.5628672),Grünstadt,DE,7,67269,In der Haarschnur,,post_office,DPD Pickup Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/9607419444,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 09:00-18:00; Sa 09:00-13:00,,,DPD,Q541030,de:DPDgroup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.215,POINT (8.8091375 49.4289761),,,,,,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/9698072268,https://learnosm.org/de/beginner/,,,,,,,,,DHL,Q489815,,,,,,,,,,,,,,,,,https://www.activesport.de/dhl-postfiliale/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.216,POINT (8.8100447 49.4377627),,,,,,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/9713894754,https://learnosm.org/de/beginner/,,,,,,,,,DHL,Q489815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.217,POINT (9.0703437 49.4006096),,,,,,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/9735198308,https://learnosm.org/de/beginner/,,,,,,,,,DHL,Q489815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.218,POINT (8.5960994 49.6832214),,,,,,,parcel_locker,Amazon Hub Locker,,,,2147483647,node,https://www.openstreetmap.org/node/9866940094,https://learnosm.org/de/beginner/,,,,,,,,,Amazon Hub,Q100274430,,,,,,,,,,fluegelnuss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.219,POINT (8.3928432 49.5296078),,,,,,,post_office,Toto Lotto,,,,2147483647,node,https://www.openstreetmap.org/node/9920693894,https://learnosm.org/de/beginner/,,,,,,"Mo,Sa 08:30-12:30; Tu-Fr 08:30-18:00; Su,PH off",Deutsche Post AG,,,,,,,,,,,,,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.220,POINT (8.7773198 49.6483771),,,,,,,post_office,Postfiliale 553,,,limited,2147483647,node,https://www.openstreetmap.org/node/9952445758,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 09:00-12:30,14:30-18:00; Sa 09:00-12:00; PH off",Deutsche Post AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.221,POINT (8.3735626 49.3867199),Schifferstadt,,9,67105,Kleine Kapellenstraße,,post_office,UPS Access Point,,,,2147483647,node,https://www.openstreetmap.org/node/10077324682,https://learnosm.org/de/beginner/,,,,,,,,,United Parcel Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,post_partner,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.222,POINT (8.8745178 49.2113369),,,,,,,post_office,Paketshop,,,,2147483647,node,https://www.openstreetmap.org/node/10100589697,https://learnosm.org/de/beginner/,,,,,,,,,DHL,Q489815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.223,POINT (8.3766106 49.3751131),,,,,,,post_office,Hermes PaketShop,,,,2147483647,node,https://www.openstreetmap.org/node/10128291105,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.224,POINT (8.3766621 49.3750917),,,,,,,parcel_locker,Amazon Hub Locker - falk,,,,2147483647,node,https://www.openstreetmap.org/node/10128291107,https://learnosm.org/de/beginner/,,,,,,,Amazon,,,,,,,,,,,,,,,,,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.225,POINT (8.3748394 49.3772298),,,,,,,post_office,Hermes PaketShop,,,,2147483647,node,https://www.openstreetmap.org/node/10130078185,https://learnosm.org/de/beginner/,,,,,,,Hermes,Q1613532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.226,POINT (8.3842067 49.3795293),,,,,,,parcel_locker,Amazon Hub Locker - gasira,,,,2147483647,node,https://www.openstreetmap.org/node/10142777724,https://learnosm.org/de/beginner/,,,,,,,Amazon,,Amazon Hub,Q100274430,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.227,POINT (8.3841095 49.3804875),,,,,,,post_office,Hermes PaketShop,,,,2147483647,node,https://www.openstreetmap.org/node/10142777789,https://learnosm.org/de/beginner/,,,,,,,Hermes,Q1613532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.228,POINT (8.3952746 49.3858513),,,,,,,post_office,Hermes PaketShop,,,yes,2147483647,node,https://www.openstreetmap.org/node/10142793166,https://learnosm.org/de/beginner/,,,,,,Mo-Su 06:00-22:00,Hermes,Q1613532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.229,POINT (8.4671685 49.486436),,,,,,,parcel_locker,Packstation 118,,,yes,2147483647,node,https://www.openstreetmap.org/node/10564469774,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,2024-06-07,,,,,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.230,POINT (8.5146243 49.5101253),,,,,,,parcel_locker,Packstation 185,,,,2147483647,node,https://www.openstreetmap.org/node/10570703676,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,185,,,,yes,,,,,,,,Hinweis: Nur per App bedienbar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.231,POINT (8.5377107 49.40854),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/10578105035,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,,DHL Packstation,Q1766703,de:Packstation,,,,,2025-03-22,,,,153,,https://www.dhl.de,cabinet,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brühl,DE,5c,Mannheimer Landstraße,,,68782,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.232,POINT (8.5381593 49.4025616),,,,,,,parcel_locker,Amazon Locker,,,,2147483647,node,https://www.openstreetmap.org/node/10578105036,https://learnosm.org/de/beginner/,,,,,,24/7,Amazon,,Amazon Locker,Q16974764,en:Amazon Locker,,,,,,,,,ben,,https://www.amazon.de,cabinet,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brühl,DE,78a,Mannheimer Straße,,,68782,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.233,POINT (8.5318413 49.4091617),,,,,,,parcel_locker,DHL Packstation,,,yes,2147483647,node,https://www.openstreetmap.org/node/10578142943,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,,DHL Packstation,Q1766703,de:Packstation,,,,,,,,,165,,https://www.dhl.de,cabinet,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brühl,DE,28,Luftschiffring,,,68782,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.234,POINT (8.5839671 49.5327836),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/10580025855,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,,,,,,,,,,,Packstation 187,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.235,POINT (8.7753008 49.647209),,,,,,,parcel_locker,Amazon Hub Locker,,,,2147483647,node,https://www.openstreetmap.org/node/10603623334,https://learnosm.org/de/beginner/,,,,,,,Amazon,,Amazon Hub,Q16974764,,,,,,,,,,alberte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.236,POINT (8.6464398 49.4038542),,,,,,,post_office,DHL,,,yes,2147483647,node,https://www.openstreetmap.org/node/10686582492,https://learnosm.org/de/beginner/,,,,,,,,,DHL,Q489815,,,,,,2025-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.237,POINT (8.4832507 49.4776893),Mannheim,,94,68165,Seckenheimer Straße,,post_office,Deutsche Post Filiale 548,stationery,,no,2147483647,node,https://www.openstreetmap.org/node/10704114048,https://learnosm.org/de/beginner/,,,,,,"Mo-Fr 08:00-12:00,14:00-18:00; Sa 09:00-13:00",Deutsche Post,Q157645,,,,,,,,,,,,,,,,,,,,,,,,,,not,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,
OSM_MRN_amenity_post_office_4326_Point.238,POINT (8.4558208 49.5481218),,,,,,,post_office,Wolsdorff,,,yes,2147483647,node,https://www.openstreetmap.org/node/10717758873,https://learnosm.org/de/beginner/,,,,,,Mo-Sa 08:00-20:00,Deutsche Post,Q157645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.239,POINT (8.3928118 49.316851),Dudenhofen,DE,11B,67373,Speyerer Straße,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/11004356544,https://learnosm.org/de/beginner/,,,,,,Mo-Sa 07:00-22:00,REWE Marcel Ettner,,DHL,Q489815,,,,,,,,,DHL Paketshop 498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.240,POINT (8.0627508 49.3734057),,,,,,,parcel_locker,Packstation 181,,,,2147483647,node,https://www.openstreetmap.org/node/11051838011,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,,,,,yes,,,,,,,,"Standort:
Beerentalstr. 1a
67466 Lambrecht (Pfalz)
Lidl Markt
-----
Quelle:
https://www.dhl.de/de/privatkunden/dhl-standorte-finden.html
---
    Paket versenden
    Paket an Filiale/Packstation schicken lassen
    Paket/Retouren-Label ausdrucken lassen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.241,POINT (8.1609256 49.3400012),,,,,,,parcel_locker,ioni,,,,2147483647,node,https://www.openstreetmap.org/node/11142468072,https://learnosm.org/de/beginner/,,,,,,,Amazon,Q3884,Amazon Hub Locker,Q16974764,,,,,,,,,,,,,cabinet,returns_only,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.242,POINT (8.3552524 49.7036364),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/11146354950,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,2023-08-26,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#E2A300,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.243,POINT (8.3551815 49.6426163),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/11149747661,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,2023-08-28,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,#E2A300,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.244,POINT (8.4526697 49.5490211),,,,,,,parcel_locker,Packstation 182,,,,2147483647,node,https://www.openstreetmap.org/node/11181159029,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,182,,,,yes,,outdoor,https://www.packstation.de/,68307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.245,POINT (8.4854353 49.5261867),,,,,,,parcel_locker,DHL Packstation 120,,,yes,2147483647,node,https://www.openstreetmap.org/node/11181168396,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,120,,,,yes,,,,68305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.246,POINT (8.4792582 49.5473975),,,,,,,parcel_locker,DHL Packstation 178,,,yes,2147483647,node,https://www.openstreetmap.org/node/11181200442,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,178,,,,yes,,,,68307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.247,POINT (8.4902277 49.5229785),,,,,,,parcel_locker,DHL Packstation 110,,,yes,2147483647,node,https://www.openstreetmap.org/node/11181281337,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,110,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.248,POINT (8.4387133 49.4870615),,,,,,,post_office,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/11243563601,https://learnosm.org/de/beginner/,,,,,,Mo-Sa 08:00-18:00,,,DHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.249,POINT (8.6794688 49.4361493),,,,,,,parcel_locker,Packstation,,,yes,2147483647,node,https://www.openstreetmap.org/node/11262852188,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,,,,,162,,,cabinet,yes,yes,outdoor,https://www.packstation.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heidelberg,,,,,,69121,,,,,,,yes,no,no,,,
OSM_MRN_amenity_post_office_4326_Point.250,POINT (8.4965656 49.5103967),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/11265381281,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,,,,,186,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68309,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.251,POINT (8.3812445 49.4932195),,,,,,,parcel_locker,DHL Packstation,,,,2147483647,node,https://www.openstreetmap.org/node/11266095924,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,de:Packstation,de:DHL,,,,,,,,125,,,,yes,,,,,,,,,,,,Packstation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67071,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.252,POINT (8.5097305 49.4651005),,,,,,,parcel_locker,DHL Packstation 183,,,yes,2147483647,node,https://www.openstreetmap.org/node/11267209289,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,183,,,,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.253,POINT (8.3888039 49.4874899),,,,,,,parcel_locker,DHL Packstaion 126,,,yes,2147483647,node,https://www.openstreetmap.org/node/11306997333,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,126,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.254,POINT (8.3613553 49.4926091),,,,,,,parcel_locker,DHL Packstation 127,,,yes,2147483647,node,https://www.openstreetmap.org/node/11307362986,https://learnosm.org/de/beginner/,,,,,,24/7,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,127,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.255,POINT (8.69271 49.5617587),,,,,,,parcel_locker,DHL,,,,2147483647,node,https://www.openstreetmap.org/node/11343311598,https://learnosm.org/de/beginner/,,,,,,,DHL,Q489815,DHL Packstation,Q1766703,,,,,,,,,,145,,,,yes,,,,,,Nur per App bedienbar.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#FFCC00,,,,,,,,,
OSM_MRN_amenity_post_office_4326_Point.256,POINT (9.4749004 49.4558059),,,,,,,post_office,Deutsche Post,,,,2147483647,node,https://www.openstreetmap.org/node/11346075213,https://learnosm.org/de/beginner/,,,,,,Mo-Fr 07:00-18:00; Sa 07:00-13:00,Deutsche Post,Q157645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
