"Bescheid-Nr.
Notice-no."; "Bezeichnung des Stoffes oder Gegenstandes
Name (trade name) of the substance or article"; "Identifikation
Identification"; "Lagergruppe+Verträglichkeitsgruppe
Storage group+compatibility group"; "Sicherheitsrelevante Verpackungsmerkmale
Safety-relevant packaging characteristics (some only in German)"
"D/BAM-0090/24"; "Bariumstyphnat mindestens 20 % Wasser"; ""; "1.1A"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus leitfähigem Kunststoff,
beinhaltet maximal 0,3 kg NEM.

Zwischen:
Unterteilungen aus Kunststoff

Außenverpackung:
Kiste aus Sperrholz (UN4D),
beinhaltet maximal 1,2 kg NEM mit 4 Innenverpackungen mit jeweils maximal 0,3 kg NEM

alternativ

beinhaltet maximal 1,2 kg NEM mit 12 Innenverpackungen mit jeweils maximal 0,1 kg NEM"
"D/BAM-0703/23"; "Titegroup (SMP 242)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0432/23"; "SMP 835"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen,
beinhaltet maximal 23 kg NEM"
"D/BAM-0460/23"; "WMR 775"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne
Zwischen: ohne
Außen: Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen, beinhaltet maximal 23 kg NEM"
"D/BAM-0464/23"; "WMR 785"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen: 
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen, beinhaltet maximal 23 kg NEM"
"D/BAM-0416/23"; "SMP 704"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne
Zwischen: ohne
Außen: Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen, beinhaltet maximal 23 kg NEM"
"D/BAM-0426/23"; "SMP 765"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen,
beinhaltet maximal 23 kg NEM"
"D/BAM-0452/23"; "WCR 845"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen,
beinhaltet maximal 23 kg NEM"
"D/BAM-0893/23"; "SMP 764"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen,
beinhaltet maximal 23 kg NEM"
"D/BAM-0406/23"; "SMP 693"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen,
beinhaltet maximal 23 kg NEM"
"D/BAM-0408/23"; "SMP 694"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen,
beinhaltet maximal 23 kg NEM"
"D/BAM-0412/23"; "SMP 702"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne
Zwischen: ohne
Außen: Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen, beinhaltet maximal 23 kg NEM"
"D/BAM-0414/23"; "SMP 703"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne
Zwischen: ohne
Außen: Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen, beinhaltet maximal 23 kg NEM"
"D/BAM-0420/23"; "SMP 744"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen: ohne

Zwischen: ohne

Außen:
Fass aus Pappe (UN1G) mit mindestens 24,6 l Volumen,
beinhaltet maximal 23 kg NEM"
"D/BAM-0664/23"; "Lil'Gun (OBP 516)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-1241/23"; "2,4,6 Trinitroresorcinol mit mindestens 20 % Wasser"; ""; "1.1D"; "In folgender besonderen Verpackung:
 Innen:
Kunststoffsack oder PE Flasche

Zwischen:
Kunststoffsack

Außen:
Fass Kunststoff mit abnehmbarem Deckel (UN1H2) oder
Kiste aus Pappe (UN4G)"
"D/BAM-1251/23"; "HOHLLADUNGEN, ohne Zündmittel"; "Bescheid mit Anlage"; "1.4D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport

Nebenbestimmungen:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0801/23"; "RP-2 EBW Detonator"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Röhren aus Pappe für jeden Zünder.

Zwischen:
Kiste aus Pappe mit jeweils bis zu 50 Zündern, maximal fünf Lagen, Zünder werden wechselseitig eingelegt.

Außen:
Kiste aus Pappe (UN 4G), die jeweils nicht mehr als vier Zwischenverpackungen enthält."
"D/BAM-0802/23"; "Double Sided Mini LSC, Variant 20"; ""; "1.4D"; "In folgender besonderen Verpackung:
 Innen:
Kunststoffträger in einer Kunststofftüte aus Polyethylen mit Füllmaterial aus Vermiculite, beinhaltet einen Gegenstand

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN 4G), beinhaltet maximal eine
Innenverpackung"
"D/BAM-1198/23"; "ANZÜNDER"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Anzünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)

Alternativ kann folgende Verpackung verwendet werden:

Innen:
Papprohr mit je einem Anzünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A) verstärkt mit 15 mm Sperrholz und 1,5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-1126/23"; "HiTRONIC II Detonator"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Zünder mit Drähten nicht kürzer als 6 m, jeder Zünder steckt in einem Schutzelement/Kunststoff-Dämpfungsblock.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pape (UN4G) mit Kunststoffbeutelauskleidung und min. 8 mm dicken Faserplattenpolstern. Maximal 60 Stück Sprengzünder pro Außenverpackung."
"D/BAM-1124/23"; "HiTRONIC II Detonator"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Zünder mit Kunststoffspule und Drähten nicht kürzer als 15 m, jeder Zünder steckt in einem Schutzelement/Kunststoff-Dämpfungsblock.

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pape (UN4G) mit Kunststoffbeutelauskleidung und min. 8 mm dicken Faserplattenpolstern. Maximal 30 Stück Sprengzünder pro Außenverpackung."
"D/BAM-0191/23"; "Sprengpulver 6/10"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0936/23"; "Explogel 200"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0934/23"; "Explogel 100"; ""; "1.1D"; "Verpackungsmethode:
Versandverpackung
Packing instruction:
As packaged for transport"
"D/BAM-0811/23"; "HOHLLADUNGEN, ohne Zündmittel"; "Bescheid mit Anlage"; "1.4D"; "In folgender besonderen Verpackung:
 Innen:
Hülsen aus
  Kunststoff
  Metall
  Pappe

Säcke aus
  Kunststoff

Unterteilende Trennwände in der Außenverpackung

Zwischen:
nicht erforderlich

Außen:
Kisten aus
  Pappe (4G)

Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0921/22"; "Pyrodex Pistol (Pyrodex P)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM.
In special packaging as follows:
 Inner packaging:
Receptacle, made of antistatic plastics, with a volume of at least 0,75 l, contains not more than 0,5 kg NEM

Intermediate packaging:
none

Outer packaging:
Box made of fibreboard (UN4G)
One outer packaging contains not more than 5 kg NEM."
"D/BAM-0923/22"; "Pyrodex Rifle/Shotgun (Pyrodex RS)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM.
In special packaging as follows:
 Inner packaging:
Receptacle, made of antistatic plastics, with a volume of at least 0,75 l, contains not more than 0,5 kg NEM

Intermediate packaging:
none

Outer packaging:
Box made of fibreboard (UN4G)
One outer packaging contains not more than 5 kg NEM."
"D/BAM-0631/23"; "Primary Free Electronic Top Fire Detonator 0019 PFTFE"; ""; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Zünder

Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A),
verstärkt mit 15 mm Sperrholz und 1.5 mm Stahlplatten an beiden Enden der Papprohre

Die UN 6(d) Prüfung wurde am 25.07.2023 bestanden.
In special packaging as follows:
 Inner:
Fibreboard tube, each contains one detonator

Intermediate:
not necessary

Outer:
Box, made of steel (UN4A),
with 15 mm plywood and 1.5 mm steel reinforcement at both sides of the fibreboard tubes

Unconfined Package Test UN 6(d) was passed sucsessfully on 25.07.2023."
"D/BAM-0480/23"; "SPRENGKAPSELN, ELEKTRONISCH, programmierbar"; "Bescheid mit Anlage"; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Röhren aus transparentem Polycarbonat mit Deckeln aus Polypropylen. Die Deckel sind Formstücke, in die der ballistische Teil der Zünder eingesetzt wird. Die Röhren sind alle gleich ausgerichtet mit dem ballistischen Teil in eine Richtung.

Zwischen:
Kisten aus Pappe, mit Hartpapierplatten in Wirkrichtung der Zünder.

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-0748/23"; "N120 in 1.3C"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0948/23"; "N140 in 1.3C"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0949/23"; "N160 in 1.3C"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0950/23"; "N165 in 1.3C"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0951/23"; "N170 in 1.3C"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0813/23"; "Shaped Charge DynaStage 22.7g Frac Optimized, Shaped Charge DynaStage 22.7g Frac Optimized DP32, Shaped Charge DynaStage FracTune 22.7g DP35, Shaped Charge DynaStage FracTune 22.7g DP40, Shaped Charge DynaStage FracTune 22.7g OFT35."; ""; "1.4D"; "In folgender besonderen Verpackung:
 Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0851/22"; "Pyrodex Select"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM.
In special packaging as follows:
 Inner packaging:
Receptacle, made of antistatic plastics, with a volume of at least 0,75 l, contains not more than 0,5 kg NEM

Intermediate packaging:
none

Outer packaging:
Box made of fibreboard (UN4G)
One outer packaging contains not more than 5 kg NEM."
"D/BAM-0665/23"; "F2x32"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff mit maximal 20 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G), beinhaltet eine Innenverpackung"
"D/BAM-0187/23"; "W 06666"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
nicht erforderlich

Zwischen:
nicht erforderlich

Außen:
Fass aus Kunststoff (UN1H2) mit maximal 4 kg NEM"
"D/BAM-1241/22"; "RS36"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen: 
Behälter aus Kunststoff mit 1,0 kg NEM

Zwischen: 
unterteilende Zwischenwände aus Pappe

Außen:
Kiste aus Pappe (UN4G)

Pro Außenverpackung sind 8 Innenverpackungen mit 
insgesamt maximal 8,0 kg NEM enthalten."
"D/BAM-0121/22"; "3N36"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 9 kg NEM"
"D/BAM-0124/22"; "N105"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 15 kg NEM"
"D/BAM-0123/22"; "N110"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 15 kg NEM"
"D/BAM-0125/22"; "N550"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0122/22"; "N135"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0126/22"; "N133"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0127/22"; "N150"; ""; "1.3C"; "In folgender besonderen Verpackung:
 Innen:
Sack aus Kunststoff

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G) mit maximal 23 kg NEM"
"D/BAM-0538/23"; "US 869 (WC 869)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0855/22"; "Triple Seven FFG (T72)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0857/22"; "Triple Seven FFFG (T73)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM.
In special packaging as follows:
 Inner:
Receptacle, made of antistatic plastics, with a volume of at least 0,75 l, contains not more than 0,5 kg NEM

Intermediate:
none

Outer:
Box made of fibreboard (UN4G)
One outer packaging contains not more than 5 kg NEM."
"D/BAM-0042/23"; "SPRENGKAPSELN, ELEKTRONISCH, programmierbar"; "Bescheid mit Anlage"; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kisten aus Pappe mit Pappröhren zur Aufnahme je eines Zünders

Zwischen:
nicht erforderlich

Außen:
Kisten aus Pappe (UN4G)"
"D/BAM-0044/23"; "SPRENGKAPSELN, ELEKTRONISCH, programmierbar"; "Bescheid mit Anlage"; "1.4S"; "In folgender besonderen Verpackung:
 Innen:
Papprohr mit je einem Zünder


Zwischen:
nicht erforderlich

Außen:
Kiste aus Stahl (UN4A),
verstärkt mit 15 mm Sperrholz und 1.5 mm Stahlplatten an beiden Enden der Papprohre"
"D/BAM-0059/23"; "HOHLLADUNGEN, ohne Zündmittel"; "Bescheid mit Anlage"; "1.4D"; "In folgender besonderen Verpackung:
 Innen:
Hülsen aus
  Kunststoff
  Metall
  Pappe

Säcke aus
  Kunststoff

Unterteilende Trennwände in der Außenverpackung

Zwischen:
nicht erforderlich

Außen:
Kiste aus
  Pappe (UN4G)
-------------------------------------------------------------
Werden die Hohlladungen einzeln verpackt, müssen die konischen Höhlungen nach unten gerichtet und das Versandstück mit ""OBEN"" gekennzeichnet sein. Werden die Hohlladungen paarweise verpackt, müssen die konischen Höhlungen einander zugewandt sein, um den Hohlladungseffekt im Falle einer ungewollten Auslösung möglichst gering zu halten."
"D/BAM-0406/22"; "Riodet IM"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kiste aus Wellpappe, beinhaltet maximal 50 elektrische Zünder.
Die Sprengkapseln werden so platziert, dass nebeneinander liegende Sprengkapseln in die entgegengesetzte Richtung zeigen. Zwischen zwei Sprengkapseln, die in die gleiche Richtung zeigen muss, der Zünderdraht platziert sein.

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
mit der Abmessung 545x280x260 mm. Beinhaltet maximal 10 Innenverpackungen, die in zwei Etagen zu je 5 Kartons angeordnet sind.

Nebenbestimmungen:
 Die Lagergruppenzuordnung gilt nur für Zünder mit einer Hülse aus Aluminium, einer Sekundärladung von maximal 830 mg PETN und einer Primärladung von maximal 110 mg sowie einer Zünderdrahtlänge von mindestens 4 m."
"D/BAM-0407/22"; "Riodet ID"; ""; "1.4B"; "In folgender besonderen Verpackung:
 Innen:
Kiste aus Wellpappe, beinhaltet maximal 50 elektrische Zünder.
Die Sprengkapseln werden so platziert, dass nebeneinander liegende Sprengkapseln in die entgegengesetzte Richtung zeigen. Zwischen zwei Sprengkapseln, die in die gleiche Richtung zeigen muss, der Zünderdraht platziert sein.

Zwischen: nicht erforderlich

Außen:
Kiste aus Pappe (UN4G),
mit der Abmessung 545x280x260 mm. Beinhaltet maximal 10 Innenverpackungen, die in zwei Etagen zu je 5 Kartons angeordnet sind.

Nebenbestimmungen:
 Die Lagergruppenzuordnung gilt nur für Zünder mit einer Hülse aus Aluminium, einer Sekundärladung von maximal 830 mg PETN und einer Primärladung von maximal 110 mg sowie einer Zünderdrahtlänge von mindestens 4 m."
"D/BAM-1060/22"; "CFE223 (SMP 746)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
"D/BAM-0018/23"; "Superformance (SMP 765)"; ""; "1.4C"; "In folgender besonderen Verpackung:
 Innen:
Behälter aus antistatischem Kunststoff mit einem Volumen von mindestens 0,75 l, beinhaltet maximal 0,5 kg NEM

Zwischen:
nicht erforderlich

Außen:
Kiste aus Pappe (UN4G)
Eine Außenverpackung beinhaltet maximal 5 kg NEM."
