Geografische Koordinaten;ID;Spielgerätename;Spielgeräteart;Stadtbezirk Nr.;Stadtbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Unterbezirk Nr.;Unterbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum
51.5599418372, 7.4735192957;4657;Sandspielhaus;Sandspielgeräte;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.5600190059, 7.4735102369;4658;Minirutsche;Rutschen;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.5536215227, 7.5887576266;4659;Stehwippe;Wippen;2;Scharnhorst;240;Kurl-Husen;242;Kurl-Süd;052;Husen/Kurl/Lanstrop;;
51.5533305698, 7.5900240805;4660;Ballsportanlage;Ballsportanlagen;2;Scharnhorst;240;Kurl-Husen;242;Kurl-Süd;052;Husen/Kurl/Lanstrop;;
51.5536939921, 7.5890086767;4662;Wackelbrücke 1;Balanciergeräte;2;Scharnhorst;240;Kurl-Husen;242;Kurl-Süd;052;Husen/Kurl/Lanstrop;;
51.553777292, 7.5888478574;4663;Niedrigseilgarten mit Balanciertau, Tarzanbrücke, Tellerbalance, Balancierbohle, Netz u. Slackline;Balanciergeräte;2;Scharnhorst;240;Kurl-Husen;242;Kurl-Süd;052;Husen/Kurl/Lanstrop;;
51.553732377, 7.5887368731;4664;Riesen Wackesteg;Wippen;2;Scharnhorst;240;Kurl-Husen;242;Kurl-Süd;052;Husen/Kurl/Lanstrop;;
51.5656587917, 7.5366249225;4665;Basketballfeld;Ballsportanlagen;2;Scharnhorst;220;Hostedde;222;Hostedde;051;Derne/Hostedde/Kirchderne/Grevel;;
51.4970225519, 7.5052846262;4667;Stelzenhaus;Spielhäuser;30;Innenstadt-Ost;080;Westfalendamm;084;Gartenstadt-Süd;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5479479257, 7.5452637424;4670;Ballsportanlage;Ballsportanlagen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5822842312, 7.5607318077;4674;"Spielparcours ""Terracombi midi"" (Hof Büttnerstraße)";Balanciergeräte;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;052;Husen/Kurl/Lanstrop;;
51.5814276239, 7.5614551673;4676;Ballsportanlage (Hof Gürtlerstraße);Ballsportanlagen;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;052;Husen/Kurl/Lanstrop;;
51.5815769813, 7.5613947086;4677;3x Hüpfteller (Hof Gürtlerstraße);Wippen;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;052;Husen/Kurl/Lanstrop;;
51.4799444083, 7.4909244353;4680;Sonnenuhr;Motorikspiele;5;Hörde;530;Hörde;534;Brücherhof;082;Hörde;082;Hörde
51.5281959621, 7.6098779394;4681;Sitzquaderarena mit Tafel;Sitzgelegenheiten;3;Brackel;340;Wickede;344;Flughafen;064;Wickede;;
51.5332858352, 7.6100140902;4682;Sitzarena;Sitzgelegenheiten;3;Brackel;340;Wickede;342;Wickede Dorf;064;Wickede;;
51.494348226, 7.5608045505;4684;Tischtennisplatte;Tischtennisplatten;4;Aplerbeck;410;Aplerbeck;413;Aplerbecker Markt;071;Aplerbeck;;
51.5138993989, 7.4630070798;4687;Schwing Tisch;Wippen;10;Innenstadt-West;000;City;002;City-West;011;City;;
51.4824498281, 7.4041710148;4689;Klettergerät mit Rutsche;Klettergeräte;6;Hombruch;640;Eichlinghofen;641;Eichlinghofen;092;Menglinghausen;;
51.5307222583, 7.5856973856;4691;Sandfläche;Sandspielgeräte;3;Brackel;310;Asseln;311;Asselburg;061;Asseln;;
51.4866560345, 7.4646647006;4694;Schaukeln / Nestschaukeln;Schaukeln / Nestschaukeln;6;Hombruch;630;Brünninghausen;631;Brünninghausen;091;Barop/Brünninghausen/Hombruch;;
51.5801247291, 7.5634364732;4699;"Skate 3 ""Combination 8""";Skateelemente;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;052;Husen/Kurl/Lanstrop;;
51.580168092, 7.563432248;4701;"Skate 2 ""Curb Horizontal""";Skateelemente;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;052;Husen/Kurl/Lanstrop;;
51.5595564827, 7.5835136364;4702;Sitzquaderarena u. 3x Sitzquader;Sitzgelegenheiten;2;Scharnhorst;240;Kurl-Husen;241;Kurl-Nord;052;Husen/Kurl/Lanstrop;;
51.5801646313, 7.5632479908;4703;4x Jugendsitz Skateranlage;Sitzgelegenheiten;2;Scharnhorst;250;Lanstrop;251;Lanstrop-Neu;052;Husen/Kurl/Lanstrop;;
51.4701597322, 7.4833390949;4705;Spielschiff;Spielhäuser;5;Hörde;560;Wellinghofen;561;Wellinghofen;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;
51.5535250613, 7.531785364;4706;Sitzquader 2;Sitzgelegenheiten;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5294541146, 7.5546670804;4710;Tischtennisplatte 1;Tischtennisplatten;3;Brackel;320;Brackel;321;Brackeler Feld;062;Brackel;;
51.5029555399, 7.4559496073;4713;Sandspiel Matsch Tisch;Sandspielgeräte;10;Innenstadt-West;010;Westfalenhalle;011;Westfalenhalle;012;Westfalenhalle;;
51.5379858253, 7.607233016;4715;Boulebahn;Funsportgeräte;3;Brackel;340;Wickede;341;Wickeder Feld;064;Wickede;;
51.4880112842, 7.5320859054;4719;"Hüpfteller ""Blatt"" 2";Sprunggeräte;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;Schüren;;
51.487993432, 7.5320606585;4721;"Hüpfteller ""Blatt"" 1";Sprunggeräte;4;Aplerbeck;430;Schüren;432;Schüren-Alt;073;Schüren;;
51.5544682105, 7.5363849933;4724;Zweifach-Kontaktschaukel;Schaukeln / Nestschaukeln;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5547696849, 7.5371614171;4725;Balancierstamm;Sitzgelegenheiten;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5558195411, 7.5911568631;4727;2x Jugendsitz 2 HS;Sitzgelegenheiten;2;Scharnhorst;240;Kurl-Husen;244;Husen-Süd;052;Husen/Kurl/Lanstrop;;
51.5551170926, 7.5369990675;4733;Kletterkombi mit Rutsche;Klettergeräte;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.555638144, 7.54187796;4734;2x Tischtennisplatten;Tischtennisplatten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5554693335, 7.5422428335;4737;Hangrutsche;Rutschen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5552919956, 7.5427067742;4738;Balancierstämme;Balanciergeräte;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5553502319, 7.5415490431;4739;Sitzquadermauer;Sitzgelegenheiten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5293178881, 7.3879492984;4741;Basketball;Ballsportanlagen;8;Huckarde;830;Jungferntal-Rahm;831;Jungferntal;112;Rahm/Kirchlinde;;
51.5149544554, 7.3654364368;4744;Hunde Balance 2;Balanciergeräte;8;Huckarde;840;Kirchlinde;843;Hangeney;112;Rahm/Kirchlinde;;
51.5190464612, 7.5230056876;4745;Netzsitz 1;Sitzgelegenheiten;3;Brackel;330;Wambel;332;Breierspfad;063;Wambel;;
51.5327752736, 7.5434997342;4746;Sandfläche;Sandspielgeräte;3;Brackel;320;Brackel;322;Westheck;062;Brackel;;
51.5299704527, 7.4170568976;4748;Kletterturm mit Rutsche;Klettergeräte;8;Huckarde;820;Huckarde;824;Huckarde;111;Deusen/Huckarde;;
51.5300846248, 7.4174089279;4750;Bolzplatztor 1;Bolzplatztore;8;Huckarde;820;Huckarde;824;Huckarde;111;Deusen/Huckarde;;
51.5298589556, 7.417333747;4751;Bolzplatztor 2;Bolzplatztore;8;Huckarde;820;Huckarde;824;Huckarde;111;Deusen/Huckarde;;
51.5467867467, 7.5249827172;4752;Bolzplatztor/ Holzpfosten 1;Bolzplatztore;2;Scharnhorst;260;Alt-Scharnhorst;262;Alt-Scharnhorst;053;Alt-Scharnhorst;;
51.5467620817, 7.5247353484;4753;Bolzplatztor/Holzpfosten 2;Bolzplatztore;2;Scharnhorst;260;Alt-Scharnhorst;262;Alt-Scharnhorst;053;Alt-Scharnhorst;;
51.5446979369, 7.5357776053;4755;2x Baumstümpfe;Balanciergeräte;2;Scharnhorst;260;Alt-Scharnhorst;263;Westholz;053;Alt-Scharnhorst;;
51.5447187529, 7.535624052;4758;Sitzquaderkreis;Sitzgelegenheiten;2;Scharnhorst;260;Alt-Scharnhorst;263;Westholz;053;Alt-Scharnhorst;;
51.5446514974, 7.5351405882;4759;Rutschenturm;Rutschen;2;Scharnhorst;260;Alt-Scharnhorst;263;Westholz;053;Alt-Scharnhorst;;
51.504487302, 7.3361522583;4762;Fussballtor;Ballsportanlagen;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5508305061, 7.5440971496;4763;Sitzecke Technikgebäude;Sitzgelegenheiten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5506045922, 7.5444776164;4765;Tischtennisplatte 1 Schulgarten;Tischtennisplatten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5506098186, 7.544545904;4766;Tischtennisplatte 2 Schulgarten;Tischtennisplatten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5504161102, 7.5464233685;4769;Sitzquadermauer 1 Sprunggrube;Sitzgelegenheiten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5504996015, 7.5464260871;4772;Sprunggrube 1;Sprunggeräte;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5500331518, 7.5460885622;4773;Basketballfeld;Ballsportanlagen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5501404273, 7.5469281354;4775;Beachvolleyballanlage;Ballsportanlagen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.54991544, 7.5460948825;4776;Basketballkorb 2;Ballsportanlagen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5499838474, 7.5462750855;4777;Sprunggrube 2;Sprunggeräte;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5498739882, 7.5450288168;4779;2x Jugendsitz neben TEK;Sitzgelegenheiten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5490733305, 7.5472637671;4780;3x Tischtennisplatten;Tischtennisplatten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5498180859, 7.5463921507;4781;Sitzquadermauer hinter Sportplatz;Sitzgelegenheiten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5301346917, 7.5860255191;4788;"Federwippe ""Schwein""";Wippen;3;Brackel;310;Asseln;311;Asselburg;061;Asseln;;
51.502809534, 7.4677507705;4794;Sitzgelegenheiten mit 4x Standpfosten für Sonnensegel;Sitzgelegenheiten;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5027565558, 7.4673644231;4798;"Spieltisch ""Schach"" mit 4x Hocker";Sitzgelegenheiten;30;Innenstadt-Ost;090;Ruhrallee;092;Ruhrallee Ost;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5308406968, 7.4160602911;4800;Stange;Reckstangen;8;Huckarde;820;Huckarde;824;Huckarde;111;Deusen/Huckarde;;
51.5487249993, 7.5237767273;4802;2er-Reck;Reckstangen;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5483425466, 7.5467862259;4803;Barren;Reckstangen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5486622477, 7.5240323441;4806;Stelzenhaus;Spielhäuser;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5486630772, 7.524116865;4807;Spielmauer;Balanciergeräte;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5288883268, 7.4922767748;4808;Dehnen;Fitness- / Sportgeräte;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5260641358, 7.4893017868;4809;Basketballkorb;Ballsportanlagen;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5271009807, 7.4905112144;4811;Kletternetz;Seilspielgeräte (z.B. BSF);20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5252490883, 7.4925068279;4815;Armzug;Fitness- / Sportgeräte;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5285682255, 7.490779722;4818;Boulderwand;Kletterwände / Boulderwände;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5260309276, 7.4893688676;4819;Tischtennisplatten;Tischtennisplatten;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5278583774, 7.4902669606;4820;Rückenstrecken;Fitness- / Sportgeräte;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5087337982, 7.3768665141;4824;Disk Golf;Funsportgeräte;7;Lütgendortmund;740;Marten;742;Marten;102;Marten;102;Marten
51.5087779535, 7.377364432;4825;Disk Golf;Funsportgeräte;7;Lütgendortmund;740;Marten;742;Marten;102;Marten;102;Marten
51.4749897425, 7.4339926807;4828;Wippteller;Balanciergeräte;6;Hombruch;650;Hombruch;651;Hombruch;091;Barop/Brünninghausen/Hombruch;;
51.5313255443, 7.534542238;4834;Reifenschwinger;Reifenschwinger;3;Brackel;320;Brackel;322;Westheck;062;Brackel;;
51.5209654482, 7.4445688557;4837;Doppelschaukel;Schaukeln / Nestschaukeln;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5211869995, 7.4448214701;4840;Nestschaukel;Schaukeln / Nestschaukeln;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5213374264, 7.4443087918;4846;Baumpodest;Balanciergeräte;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5216069356, 7.4443040061;4847;Betonblockstufen;Balanciergeräte;20;Innenstadt-Nord;040;Hafen;042;Hafen-Süd;021;Hafen;021;Hafen
51.5476396468, 7.5435376923;4852;Sitzquaderarena;Sitzgelegenheiten;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5478600085, 7.544635177;4853;Sprunggrube;Sprunggeräte;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.5476851065, 7.5444987816;4854;Wasserrinne mit Übergang;Wasserspielanlagen Pumpen Rinnen;2;Scharnhorst;270;Scharnhorst-Ost;270;Scharnhorst-Ost;054;Scharnhorst-Ost;054;Scharnhorst-Ost
51.4871515718, 7.5231524032;4861;Doppelschaukel;Schaukeln / Nestschaukeln;5;Hörde;530;Hörde;532;Hörde;082;Hörde;082;Hörde
51.5212289202, 7.5192956807;4862;2x Liegen Mitte;Sitzgelegenheiten;3;Brackel;330;Wambel;331;Wambel Dorf;063;Wambel;;
51.538293367, 7.6129760175;4863;Sitzquader;Sitzgelegenheiten;3;Brackel;340;Wickede;341;Wickeder Feld;064;Wickede;;
51.5501490838, 7.5373105523;4866;Wasser/Matschtisch;Wasserspielanlagen Pumpen Rinnen;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5504339803, 7.5373972731;4867;Balancierstämme;Balanciergeräte;2;Scharnhorst;260;Alt-Scharnhorst;261;Msa-Siedlung;053;Alt-Scharnhorst;;
51.5221059369, 7.4500318061;4881;Streetballständer;Ballsportanlagen;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;021;Hafen;021;Hafen
51.5224494191, 7.4502795956;4882;Bolzplatzsanierung;Ballsportanlagen;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;021;Hafen;021;Hafen
51.5012140291, 7.4166199495;4885;Holzspielhäuschen 1;Spielhäuser;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.5012004949, 7.4165717593;4886;Holzspielhäuschen 2;Spielhäuser;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.501280741, 7.4165851985;4887;Holzspielhäuschen 3;Spielhäuser;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.501288045, 7.4165126924;4888;Holzspielhäuschen 4;Spielhäuser;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.5012530109, 7.4165080096;4889;Kletterhaus im Holzhüttenbereich;Klettergeräte;10;Innenstadt-West;030;Dorstfeld;032;Dorstfeld;014;Dorstfeld;014;Dorstfeld
51.5218754512, 7.4501394813;4896;Wipptier schildkröte;Wippen;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;021;Hafen;021;Hafen
51.5216258471, 7.4502508762;4898;Lümmelbalken 3;Balanciergeräte;20;Innenstadt-Nord;040;Hafen;043;Hafen-Südost;021;Hafen;021;Hafen
51.5140020959, 7.4392578977;4900;Kletterparcour;Niedrigseilgärten;10;Innenstadt-West;020;Dorstfelder Brücke;023;Union;013;Dorstfelder Brücke;013;Dorstfelder Brücke
51.4600166273, 7.4688921723;4902;Balancierstrecke;Balanciergeräte;6;Hombruch;680;Rombergpark-Lücklemberg;682;Lücklemberg;093;Kirchhörde/Löttringhausen/Lücklemberg;;
51.4765987837, 7.4726632193;4907;Wasserspielanlagen Pumpen Rinnen;Wasserspielanlagen Pumpen Rinnen;5;Hörde;520;Hacheney;521;Schulzentrum Hacheney;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;
51.5138746812, 7.4809357196;4908;"Sandkasten Boot ""Lut""";Sandspielgeräte;30;Innenstadt-Ost;070;Kaiserbrunnen;071;Kaiserbrunnen;031;Kaiserbrunnen/Körne/nördl. Gartenstadt;;
51.4866206784, 7.3715207455;4910;Sprunggrube;Sprunggeräte;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.4994228174, 7.3281628548;4913;Sitzgruppe;Sitzgelegenheiten;7;Lütgendortmund;730;Lütgendortmund;733;Lütgendortmund-Mitte;101;Lütgendortmund;;
51.5186605535, 7.3239934274;4915;Sitzgruppe;Sitzgelegenheiten;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.5189012912, 7.3238787475;4916;Sitzgruppe;Sitzgelegenheiten;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.51885633, 7.323635996;4919;Sitzgruppe;Sitzgelegenheiten;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.4745927272, 7.5975509463;4921;Doppelwippe;Wippen;4;Aplerbeck;450;Sölderholz;452;Lichtendorf;074;Sölde/Sölderholz;;
51.4746126122, 7.5981653236;4923;Ringspiel;Drehteller (Conlastic Schale u. ä. );4;Aplerbeck;450;Sölderholz;452;Lichtendorf;074;Sölde/Sölderholz;;
51.4901067049, 7.5630089792;4933;Bolzplatztor 2;Bolzplatztore;4;Aplerbeck;410;Aplerbeck;413;Aplerbecker Markt;071;Aplerbeck;;
51.5153599273, 7.5603794806;4941;Doppelte-Sitzquarderarena;Sitzgelegenheiten;3;Brackel;320;Brackel;328;Funkturmsiedlung;062;Brackel;;
51.5604836051, 7.3746366628;4945;Doppelschaukel;Schaukeln / Nestschaukeln;9;Mengede;940;Oestrich;940;Oestrich;122;Mengede/Oestrich/Schwieringhausen;;
51.5076946315, 7.3732898187;4951;Sitzgruppe;Sitzgelegenheiten;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten
51.4884406214, 7.3783241061;4954;Betonpalisaden;Balanciergeräte;7;Lütgendortmund;750;Oespel;750;Oespel;104;Kley/Oespel;;
51.5008246174, 7.3619756691;4955;Felsengruppe;Sitzgelegenheiten;7;Lütgendortmund;740;Marten;741;Germania;102;Marten;102;Marten
51.4880289142, 7.3602918064;4957;Felsengruppe;Sitzgelegenheiten;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.4880813736, 7.360372604;4958;Felsengruppe;Sitzgelegenheiten;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.4901639152, 7.4279095865;4968;Sitzgelegenheiten;Sitzgelegenheiten;6;Hombruch;640;Eichlinghofen;642;Universität;091;Barop/Brünninghausen/Hombruch;;
51.519889824, 7.3157984659;4971;Sandtisch;Sandspielgeräte;7;Lütgendortmund;710;Bövinghausen;710;Bövinghausen;103;Bövinghausen/Westrich;103;Bövinghausen/Westrich
51.487431597, 7.3720631822;4974;Felsengruppe;Sitzgelegenheiten;7;Lütgendortmund;720;Kley;720;Kley;104;Kley/Oespel;;
51.5439875978, 7.3776792026;4979;Sandkasten;Sandspielgeräte;9;Mengede;960;Westerfilde;960;Westerfilde;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde
51.5491854893, 7.462957568;4980;Wippen;Wippen;1;Eving;120;Eving;122;Eving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.5250061482, 7.4609591469;4987;Drehteller (Conlastic Schale u. ä. );Drehteller (Conlastic Schale u. ä. );20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt
51.5269188974, 7.458918078;4989;Bolzplatztore;Bolzplatztore;20;Innenstadt-Nord;050;Nordmarkt;053;Nordmarkt-West;022;Nordmarkt;022;Nordmarkt
51.5263546835, 7.4883409285;4991;Drehteller (Conlastic Schale u. ä. );Drehteller (Conlastic Schale u. ä. );20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5276859739, 7.4846634851;4992;Bolzplatztor;Bolzplatztore;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5276650473, 7.4848917146;4993;Bolzplatztor 2;Bolzplatztore;20;Innenstadt-Nord;060;Borsigplatz;062;Westfalenhütte;023;Borsigplatz;023;Borsigplatz
51.5725125753, 7.5128475962;4995;Beweglichkeitstrainer;Fitness- / Sportgeräte;2;Scharnhorst;210;Derne;211;Altenderne;051;Derne/Hostedde/Kirchderne/Grevel;;
51.4578851805, 7.4022393937;3501;Tischtennisplatte;Tischtennisplatten;6;Hombruch;660;Persebeck-Kruckel-Schnee;661;Persebeck;092;Menglinghausen;;
51.4757214868, 7.4839095379;3502;Einfachschaukel;Schaukeln / Nestschaukeln;5;Hörde;520;Hacheney;522;Pferdebachtal;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;
51.4757996697, 7.4839970713;3503;Kletterkombi;Klettergeräte;5;Hörde;520;Hacheney;522;Pferdebachtal;081;Benninghofen/Hacheney/Wellinghofen/Wichlinghofen;;
51.5566097669, 7.600394473;3511;Hangrutsche;Rutschen;2;Scharnhorst;240;Kurl-Husen;244;Husen-Süd;052;Husen/Kurl/Lanstrop;;
51.5248995064, 7.4788827421;3514;Sandspielschiff;Sandspielgeräte;20;Innenstadt-Nord;060;Borsigplatz;061;Borsigplatz;023;Borsigplatz;023;Borsigplatz
51.4841075434, 7.435194681;3518;Spielhaus;Spielhäuser;6;Hombruch;610;Barop;613;Krückenweg;091;Barop/Brünninghausen/Hombruch;;
51.4843102263, 7.43517359;3519;Tischtennisplatte;Tischtennisplatten;6;Hombruch;610;Barop;613;Krückenweg;091;Barop/Brünninghausen/Hombruch;;
51.5728474318, 7.4685522397;3522;Drehkreisel;Drehteller (Conlastic Schale u. ä. );1;Eving;110;Brechten;112;Brechten-Süd;041;Brechten/Holthausen;;
51.5733624538, 7.4681975772;3525;Rutsche - groß;Rutschen;1;Eving;110;Brechten;112;Brechten-Süd;041;Brechten/Holthausen;;
51.5731833741, 7.4684493107;3531;Wipptier (Pferd);Wippen;1;Eving;110;Brechten;112;Brechten-Süd;041;Brechten/Holthausen;;
51.5250048908, 7.5403564589;3535;Doppelschaukel;Schaukeln / Nestschaukeln;3;Brackel;320;Brackel;323;Reichshof;062;Brackel;;
51.494225617, 7.5630584873;3536;Basketballkorb;Ballsportanlagen;4;Aplerbeck;410;Aplerbeck;414;Vieselerhofstraße;071;Aplerbeck;;
51.5489052986, 7.4857714105;3541;Bolzplatztor 2;Bolzplatztore;1;Eving;120;Eving;123;Obereving;043;Eving I/Kemminghausen;043;Eving I/Kemminghausen
51.4970716795, 7.5052208697;3546;Sandtisch groß;Sandspielgeräte;30;Innenstadt-Ost;080;Westfalendamm;084;Gartenstadt-Süd;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.4968198497, 7.5049351218;3549;Seilspielgerät mit Rutsche, Seilbrücke u. Balanciertau;Klettergeräte;30;Innenstadt-Ost;080;Westfalendamm;084;Gartenstadt-Süd;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.4969245928, 7.5047580445;3551;Seilbahn;Seilbahnen;30;Innenstadt-Ost;080;Westfalendamm;084;Gartenstadt-Süd;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.4969459425, 7.5051261577;3552;"Federwippe ""Springende Punkt""";Wippen;30;Innenstadt-Ost;080;Westfalendamm;084;Gartenstadt-Süd;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
51.5017863754, 7.4605123378;3554;Doppelwippe;Wippen;30;Innenstadt-Ost;090;Ruhrallee;091;Ruhrallee West;032;Südl. Gartenstadt/Ruhrallee/Westfalendamm;;
