Titel;Stadtbezirk;Projektfamilie;Themenfeld;Nummer;Projektgeneration;Nordwärts-Prämiert;Status;Kurzbeschreibung;Straße;Hausnummer;Unterbezirk Nr.;Unterbezirk;Statistischer Bezirk Nr.;Statistischer Bezirk;Stadtbezirk Nr.;Stadtbezirk;Sozialraum Nr.;Sozialraum;Aktionsraum Nr;Aktionsraum;Ostwert;Hochwert;Geografische Koordinaten;Kommune
Wohlfahrtsgebäude am Nollendorfplatz (genannt „Evinger Schloss“);Eving;Soziales;Infrastrukturen\Kultur;899;B (2);;gestartet/läuft;"Das Wohlfahrtsgebäude am Nollendorfplatz wird saniert und als kulturelles Zentrum des Stadtbezirkes ausgebaut und aufgewertet. 

Sachstand 06/2018: Die Liegenschaftsverwaltung hat ein Architekturbüro zur Sanierung des Gebäudes beauftragt. Diese erfolgt in enger Abstimmung mit den derzeitigen und potenziellen Mietern und Nutzern. Das Kellergeschoss wird von innen freigestellt und schadstoffsaniert, das Dachgeschoss ausgebaut. Ein Brandschutzkonzept ist bereits vorhanden. Parallel arbeitet die Koordinierungsstelle ""nordwärts"" mit den Mietern an einem Betreiberkonzept und stellt Synergieeffekte mit den Projekten Forsthaus Rahm (Nr. 886) und Haus Wenge (Nr. 902) her.

Sachstand 09/2019: Die Sanierungsarbeiten schreiten voran. Es wird geprüft, ob ein Center-Management für mehrere Begegnungszentren etabliert werden kann.

Sachstand 12/2019: Der Verwaltungsvorstand hat eine Neuaufstellung des Veranstaltungsmanagements im Wohlfahrtsgebäude vor dem Hintergrund der andauernden Bautätigkeit (noch mindestens das komplette Jahr 2020) beschlossen.
Das Raumbelegungsmanagement wird in der Bauphase durch das Dietrich-Keuning-Haus (DKH) als Filialmanagement wahrgenommen.

Sachstand 03/2020: Der Sachstand gilt unverändert weiter.

Sachstand 08/2021: Die Sanierung ist im Gange. 

Sachstand 04/2022: Nach Mitteilung des Architekturbüros soll die Fertigstellung im August 2022 erfolgen. Nach Fertigstellung soll das Gebäude an die Kulturbetriebe Dortmund übertragen werden, damit es von dort als Kultur- und Bildungszentrum betrieben wird.

Sachstand 03/2023: Die ""Bauabnahme"" des Gebäudes durch FB 23 ist noch nicht erfolgt, da die ""Bodenbelagsarbeiten"" noch nicht abgeschlossen sind. Es ist jedoch davon auszugehen, dass die 
                              „Bauübergabe“ in der ersten Jahreshälfte 2023 erfolgt. 
                              Im Anschluss daran erfolgt die endgültige Übernahme des Gebäudes durch die Kulturbetriebe (FB 41). Das Nutzungskonzept (Nutzung der einzelnen Etagen und Räume) ist in   
                              Bearbeitung, kann aber erst abgeschlossen werden, wenn eine beanstandungslose Übergabe des Gebäudes von FB 23 zu den Kulturbetrieben FB 41 erfolgt ist. 
                              Im Hinblick auf die zukünftige Nutzung ist ein 3-Säulenmodell vorgesehen:
                              1. Säule: 	Stadtteil- und Gemeinwohlarbeit (Ort der Begegnung und des Austausches) / Durchführung von Kulturveranstaltungen
                              2. Säule: 	Verbands- und Vereinsarbeit
                              3. Säule: 	Fort-, Weiterbildungs- und Tagungszentrum";Nollendorfplatz;2;121;Niedereving;120;Eving;1;Eving;042;Lindenhorst/Eving II;042;Lindenhorst/Eving II;3939.29999999976;5712462.7299999995;51.5531112152, 7.45796215116;Dortmund
Zukunftskonzept Schlossanlage Bodelschwingh;Mengede;Ökologie;Stadtentwicklung;930;B (3);;gestartet/läuft;"Erarbeitung eines Zukunftskonzepts für die Schlossanlage Bodelschwingh.

Sachstand 03/2018: Wissenschaftliche Tagung zur Adelskultur am 02./03.02.2018 mit über 100 TeilnehmerInnen hat stattgefunden, Gründung eines Unterstützungsgremiums ist in Arbeit (steht kurz bevor), Vorarbeiten zu einer Machbarkeitsstudie.

Sachstand 03/2019: Der Kultursommer Schloss Bodelschwingh ist Bestandteil dieses Projektes und findet am 09.06.2019 statt.

Sachstand 02/2020: Ein Förderverein wurde inzwischen gegründet, eingetragen und ist aktiv (z. B. Kultursommer Bodelschwingh und Veranstaltungen mit Studierenden). Anträge auf Fördermittel sind gestellt.

Sachstand 07/2021: Es wurde ein Förderverein gegründet, der die inhaltliche Arbeit zu öffentlichen Nutzung des Schlosses und des Parks begleitet und Gelder für die Sanierung aquiriert. Vorsitzender des Vereins ist der Staatsminister a.D. Christoph Zöpel. Es haben diverse kulturelle Veranstaltung stattgefunden. Aus dem Bereich Denkmalpflege und Mitteln des Deutschen Bundestages wurden namhafte Summen zugesagt, so dass die Schloßsanierung in Kürzung beginnen kann. Aus Spendenmitteln wurden im Friedhofbereich bereits der sog. ""Alte Tempel"" und die grünen Sichtachsen wieder hergestellt.

Sachstand 12/2022: Es wurde ein Förderverein (2017) gegründet, der die inhaltliche Arbeit zum baulichen Erhalt und zu einer definierten, kulturell geprägten öffentlichen Mitnutzung von Schloss und Park begleitet, Fördermittelgeber anspricht und ggf. zusätzliche Gelder für die Sanierung aquiriert. Vorsitzender des Vereins ist der Staatsminister a.D. Prof. Christoph Zöpel. Es haben diverse kulturelle Veranstaltung stattgefunden. Aus dem Bereich Denkmalpflege und Mitteln des Deutschen Bundestages, des NRW-Haushalts sowie der Deutschen Stiftung Denkmalschutz wurden namhafte Summen für die Instandsetzung des Schlosses zugesagt. Der Baubeginn ist derzeit für September 2023 avisiert, so dass die Schloßsanierung in Kürzung beginnen kann. Aus einer Förderung der Deutschen Stiftung Denkmalschutz und Eigenmitteln in gleichem Umfang  wurde auf dem Familienfriedhof, der jenseits der A45 liegt, bereits der sog. "" Tempel der Ruhe"" restauriert. Die Stadt Dortmund und die Autobahn-AG haben zur Herstellung des räumlichen Zusammenhangs die grünen Sichtachsen zwischen Parkanlage und Friedhof diesseits und jenseits der A45 hergestellt.";Schloßstraße;75;910;Bodelschwingh;910;Bodelschwingh;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;386431.6899999999;5712269.7299999995;51.5500754306, 7.36202340036;Dortmund
"""Hilfe, bevor es brennt!"" - Soziales Kompetenztraining und Integrationshilfen";Mengede;Soziales;Bildung;792;A;;umgesetzt/abgeschlossen;"Soziales Kompetenztraining mit Schülerinnen und Schülern

Sachstand 02/2018: In der Bordelschwingh-GS, der Westhausen-GS und der Overberg-GS finden in insgesamt 7 Klassen in diesem Schulhalbjahr das Sozialtraining ""Hilfe bevor es brennt"" statt.

Sachstand 02/2020: Die Angebote an den Schulen sind etabliert, eine Expansion wird angestrebt.

Sachstand 07/2021: Der Vereinsvorstand hat die Auflösung des Vereins beschlossen. Die Abwicklung des Vereins läuft zur Zeit. Ob das Projekt durch andere Strukturen aufgefangen werden kann ist aktuell nicht darstellbar.

Sachstand 06/2021:Der Vereinsvorstand hat die Auflösung des Vereins beschlossen. Die Abwicklung des Vereins läuft zur Zeit. Ob das Projekt durch andere Strukturen aufgefangen werden kann ist aktuell nicht darstellbar.

Sachstand 09/2021: Das Projekt wird aufgrund der Vorstandsentscheidung des Trägervereins, den Verein aufzulösen, nicht mehr weitergeführt. Inwieweit das Grundkonzept noch einmal bespielt werden kann, lässt sich nicht abschätzen.";Bodelschwingher Straße;131;910;Bodelschwingh;910;Bodelschwingh;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;38768.4999999976;5712389.899999999;51.5513910828, 7.37894409909;Dortmund
"""Inside"" - Westerfilde";Mengede;Soziales;Bildung;207;A;;umgesetzt/abgeschlossen;Sachstand 03/2019: Projekt abgeschlossen.;;;;;;;;;;;;;;;;Dortmund
"""Pandora 2.0"" Kultur- und Bildungsstätte aus Seecontainern";Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Bildung;953;B (4);;gestartet/läuft;"""Pandora 2.0"" soll eine Kreativschmiede für den Dortmunder Norden werden. Wir möchten einen Ort für die Umsetzung unserer eigenen Ideen und eine neue Heimat für andere Kreative schaffen.

Sachstand 06/2021: Es fehlt an Geld für die Miete der Freifläche, Architekten, Bauantrag, Sicherheits- und Brandschutzkonzept, Umweltgutachten, Verkehrsgutachten etc. Aus diesem Grund bleibt der Ort Privat/in Entwicklung und es werden andere Orte genutzt, um an die Öffentlichkeit zu treten.";Lindenhorster Straße;38a;140;Lindenhorst;140;Lindenhorst;1;Eving;042;Lindenhorst/Eving II;042;Lindenhorst/Eving II;392494.2999999974;571143.839999999;51.5402444081, 7.44979864966;Dortmund
„Nordwärts“ Industriekultur;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökologie;Infrastrukturen\Umwelt/Grün;808;B;;umgesetzt/abgeschlossen;"Zentrale Elemente der Route der Industriekultur im ""nordwärts""-Gebiet sollen aufgegriffen werden und unter Berücksichtigung von Bürgerwünschen neu inszeniert werden.

Sachstand 06/2018: ""nordwärts"" koordiniert die Erarbeitung eines übergreifenden Konzeptes für Landschaftspfade/Erlebnisrouten im gesamten ""nordwärts""-Gebiet. Dabei wird geprüft, inwiefern dieses Projekt in das Gesamtkonzept eingebunden werden kann. 
Geplant ist gemeinsam mit den Bezirksbürgermeistern unter Akteurs- und Bürgerbeteiligung eine gemeinsame ""nordwärts""-Route zu entwickeln. Ergebnis könnte dabei die Entwicklung einer APP sein, in der die Freizeitkarte der Stadt Dortmund digital eingepflegt wird. Aktuell wird ein Routenheft erarbeitet. Im Herbst startet ein einjähriges Forschungsprojekt mit der TU Dortmund zur Entwicklung der Erlebnisrouten/Landschaftspfade. 

Sachstand 03/2019: Aktuell befindet sich ein Routenheft in der Erstellungs- und anschließenden Druckphase. Parallel wird in Kooperation mit der FH Dortmund und in Abstimmung mit dem Chief Information/Innovation Office der Stadt Dortmund an der Entwicklung einer APP für die Erlebnisrouten gearbeitet. Im Rahmen der Sommerakademie, die durch Studenten der TU Dortmund geplant und durchgeführt wird, werden die Ergebnisse eines einjährigen Forschungsprojektes einem breiten Publikum vorgestellt. Diese Ergebnisse werden in die weiteren Planungen der Akteurs- und Bürgerbeteiligung einfließen. Darüberhinaus gibt es Überlegungen für einen Abstimmungstermin zur infrastrukturellen Umsetzung gemeinsam mit dem Stadtplanungs- und Bauordnungsamt.

Sachstand 02/2020: Das Projekt wurde über die Erstellung eines Erlebnisroutenheftes umgesetzt und wird fortlaufend weiterentwickelt.

Sachstand 01/2021: Das Projekt 808 ist Bestandteil des übergeordneten Projektes 736, welches den Namen ""Vernetzte Erlebnisrouten"" erhält. Das Projekt 736 wird drüberhinaus um die Projekte 903 und 880 (Kanal, Emscher und englisches Flair – Die „Nordwärts“-Garten- und Landschaftsroute) ergänzt.";;;;;;;;;;;;;;;;Dortmund
Ausbau der Mikrofinanzierung vor Ort als Instrument der lokalen Ökonomie (NordHand eG) - Stärkung kleiner Betriebe, Armutsprävention;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökonomie;Arbeit;344;B;;umgesetzt/abgeschlossen;"Angebot von Mikrokrediten aktiv promoten und Anlaufstelle schaffen, Gewinnung von Partnern, die Teile von Auswahl oder Antragsformalien übernehmen.

Sachstand 04/2018: Nach nunmehr 10-jährigem Bestehen der Genossenschaft ist es angezeigt, das Ereignis als solches zu kommunizieren und die bestehenden Zugänge zu Multiplikatoren zu intensivieren. Parallel dazu sollen weitere lokale Akteure auf die NordHand eG aufmerksam gemacht und als Partner/Multiplikatoren gewonnen werden. Neben einer Werbekampagne auf lokaler Ebene - redaktionelle und werbende Beiträge in Printmedien - sollen Interviews in  Hörfunk und ggf. Fernsehen auf die erfolgreich Arbeit und die Perspektiven hinweisen und dazu dienen, die Genossenschaft verstärkt in den lokalen Fokus zu setzen. Ergänzend soll die Internetpräsenz der NordHand eG um einen geschützten Mitgliederbereich ergänzt werden sowie ein Newsletter für alle Genossenschaftsakteure eingerichtet werden. Ebenso muss das vorhanden Werbematerial (Flyer, V-Karten) auf den neuesten Stand gebracht und in ausreichender Menge vorgehalten werden.

Sachstand 02/2020: Vernetzung per social media, Präsentation bei Gewerbevereinen Internetrelaunch. Bis 31.12.2019 wurden 154 Kredite (1.284.450 €) empfohlen und 446 Arbeitsplätze geschaffen/gesichert.

Sachstand 06/2022: Nach auslaufen der Förderung durch den Bund in 2021, konnte sich die NordHand eG erfolgreich an der Förderphase 2021 bis 2025 beteiligen. Durch Neuakreditierung ist die NordHand auch weiterhin als ""Mikrofinanzierer"" anerkannt und somit steht es bis Ende als Instrument der lokalen/ethnischen Ökonomie zur Verfügung.";CARL-HOLTSCHNEIDER-STRASSE;16;053;Nordmarkt-West;050;Nordmarkt;20;Innenstadt-Nord;022;Nordmarkt;022;Nordmarkt;3933.47999999986;579697.36;51.5282946994, 7.46183093098;Dortmund
"Außerschulischer Lernort ""Natur und Umwelt"" am Lanstroper Ei";Scharnhorst;Ökologie;Bildung;743;B;;noch nicht begonnen;"Am Wasserturm Grevel, im Volksmund Lanstroper Ei genannt, soll ein außerschulischer Lernort „Natur und Umwelt“ nach dem Vorbild des Schulbiologischen Zentrums am Rombergpark entstehen.

Sachstand 03/2018: Fachverwaltung prüft derzeit die Machbarkeit

Sachstand 07/2019: Der Sachstand gilt unverändert weiter.

Sachstand 03/2020: Der Sachstand gilt unverändert weiter.

Sachstand 06/2021: Der ""nordwärts""-Kuratoriumsvorstand und das ""nordwärts""-Kuratorium haben die nicht begonnenen ""nordwärts""-Teilprojekte priorisiert. Dem Projekt wurde eine hohe Priorität eingeräumt. Im nächsten Schritt wird geprüft, ob es einen Bedarf für einen außerschulischen Lernort am Lanstroper Ei gibt.";Rote Fuhr;99;221;Grevel;220;Hostedde;2;Scharnhorst;051;Derne/Hostedde/Kirchderne/Grevel;;;399629.95999999985;571453.759999972;51.5686140353, 7.55180076551;Dortmund
Begleitung minderjähriger Mütter aus SOE;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Infrastrukturen\Soziales;799;A;;umgesetzt/abgeschlossen;"Sachstand 02/2018: Wird aktuell als Standardaufgabe im Jugendhilfedienst begleitet.

Sachstand 02/2020: Das Projekt ist im August 2019 gestartet, die Kontakte zu den betroffenen Müttern ist hergestellt, eine breite Vernetzungsbasis wird aufgebaut.

Sachstand 06/2021: Der Sachstand von 2020 ist noch aktuell.";;;;;;;;;;;;;;;;Dortmund
Bezahlbares Wohnen in Scharnhorst (Brüggenfeld/Am Bellwinkelhof);Scharnhorst;Soziales;Wohnen;524;A;;umgesetzt/abgeschlossen;"Neubau von neun Mehrfamilienhäusern mit insgesamt 110 geförderten Wohnungen zur Schaffung von bezahlbarem barrierefreiem Wohnraum für unterschiedliche Zielgruppen.

Sachstand 01/2018: Wohnraumfördermittel des Landes NRW i. H. v. rund 9,8 Mio. Euro wurden bewilligt. Fertigstellung voraussichtlich Ende 2018.

Sachstand 05/2019: Die letzten Objekte wurde im Frühjahr 2019 fertig gestellt und sind bezugsfertig. Damit ist das Projekt nunmehr abgeschlossen.";Brüggenfeld;2;262;Alt-Scharnhorst;260;Alt-Scharnhorst;2;Scharnhorst;053;Alt-Scharnhorst;;;397216.6;5711724.529999999;51.5472426857, 7.51767267146;Dortmund
Bibliothek der Dinge für Dortmund;Lütgendortmund;Zivilgesellschaft;Soziale Innovation;942;B (4);;umgesetzt/abgeschlossen;"Eine Bibliothek der Dinge ist ein Ort, an dem Dinge des alltäglichen und außeralltäglichen Bedarfs zum Verleih bereitgestellt werden. Sie funktioniert wie eine herkömmliche Bibliothek, hat allerdings keine Bücher im Inventar.

Sachstand 06/2021:Inzwischen hat sich ergeben, dass die Stadt- und Landesbibliothek Dortmund das hauseigene Ausleih-System weiterqualifiziert und jetzt um eine Bibliothek der Dinge ergänzt. Es gibt also inzwischen ein System der Stadt, dass in jedem einzelnen Stadtbezirk (in den Stadtteilbibliotheken) eingeführt wurde und genutzt wird. Alle Informationen dazu finden Sie in folgender Pressemitteilung:
https://www.dortmund.de/de/leben_in_dortmund/nachrichtenportal/alle_nachrichten/nachricht.jsp?nid=667101
Die Projekteinreichenden verfolgen das Projekt im ländlichen Raum (Kreis Steinfurt) weiter.";In Der Meile;3;742;Marten;740;Marten;7;Lütgendortmund;102;Marten;102;Marten;387723.83;57774.539999999;51.5093017003, 7.38210709427;Dortmund
Brücken in Ausbildung - Ausbildungspakt;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Bildung;783;A;;gestartet/läuft;"Vorbereitung Jugendlicher auf den Übergang in Ausbildung in Kooperation mit Betrieben

Sachstand 01/2018: Ausbildungspakt ""Starke Nordstadt"" wird mit Unterstützung des FB Schule/Reg. Bildungsbüro an der Anne-Frank-Gesamtschule in Kooperation mit Betrieben und Partnern aus dem Quartier umgesetzt.

Sachstand 07/2019: Eine neue Projektschule aus der ""nordwärts""-Kulisse neben der Anne-Frank-Gesamtschule wird voraussichtlich zum Schuljahr 2019/20 an den Start gehen. Das Projekt Ausbildungspakt ist in Westerfilde/Bodelschwingh bereits abgeschlossen. Mit Zusage der weiteren Schule werden dann die Projektgelder abgerufen.

Sachstand 02/2020: Der Ausbildungspakt Starke Nordstadt an der Anne Frank GES ist zum Schuljahresbeginn mit weiteren Schülern gestartet. Die Ausweitung auf eine weitere Schule, der Martin-Luther-King Gesamtschule, startet  ab dem 01.04.2020. Das Antragsverfahren für die Fördermittel läuft. Zukünftig sind weitere Ausbildungspakte geplant.

Sachstand 06/2021: Seit April 2020 ist eine Projektleitung für den Ausbildungspakt eingestzt worden. Nach der Aufstellung der Projektleitung konnte der Ausbildungspakt an der Anna-Frank-Gesamtschule weiter ausgebaut und im Stadtteil etabliert werden. Mit dem Ausbildungspakt konnte die Übergangsquote in eine duale Ausbildung deutlich erhöht werden. Desweiteren konnten Synergieeffekte bei Schüler*innen die nicht am Ausbildungspakt teilnahmen festegestellt werden. Die Martin-Luther-King Gesamtschule konnte als neue Ausbildungspaktschule gewonnen werden.Begonnen hat der neue Pakt zum Schuljahresbeginn 20/21. Es findet ein regelmäßiger fachlicher Austausch statt.

Sachstand 07/2022: Das gesamte Jahr 2021 war geprägt durch die pandemische Lage. Digital und kreativ wurden mit den Schulen (Jugendliche und Lehrer*innen) sowie den Partner*innen (Kammern, Institutionen und Unternehmen) bewährte Vorgehensweisen soweit wie möglich aufrechterhalten sowie neue Wege gesucht und beschritten, um die Jugendlichen auf den Übergang in eine duale Ausbildung vorzubereiten und berufliche Perspektiven – trotz der pandemischen Lage - zu ermöglichen. Im 4. Quartal 21 konnten wieder Veranstaltungen - wie die Unterzeichnungsfeier des Ausbildungspakes in Präsenz stattfinden. 
Die Martin-Luther-King Gesamtschule startete im Schuljahr 20/21 mit dem ersten Ausbildungspaktkurs mit 20 Schüler*innen. Davon sind aktuell die Hälfte in eine Ausbildung direkt eingemündet. Die Nachfrage seitens der Schülerschaft am dortigen Ausbildungspakt mitzumachen ist wachsend. Ebenfalls ist der Teilnahmewunsch am Pakt ""Starke Nordstadt"" an der Anne-Frank-Gesamtschule seitens der Schüler*innen ungebrochen steigend. Ab dem Schuljahr 22/23 wird überlegt die Ausbildungspaktkursanzahl von 2 auf 3 aufzustocken.
Neue Elemente innerhalb des Ausbildungspaktes, wie z. B. der Teamtag für jeden Ausbildungspaktschüler*in, haben sich bewährt. Der regelmäßige fachliche Austausch mit den Schulen wird geschätzt und erzeugt Synergie-Effekte.

Sachstand 08/2023: Zum Schuljahr 2023/24 starten an den beiden Ausbildungspakt-Schulen in der Nordwärts-Kulisse (= Ausbildungspakt ""Starke Nordstadt"" an der Anne-Frank-Gesamtschule und Ausbildungspakt ""Der Westen pa(c)kt's an!"" an der Martin-Luther-King-Gesamtschule) insgesamt vier neue Ausbildungspaktkurse mit in Summe ca. 80 Schüler*innen der 9. Klassen. Bewährte Unterstützungselemente für die Schüler*innen werden weitergeführt sowie die bestehenden Unternehmenskooperationen ausgebaut. Die Ausweitung des Ausbildungspaktes an einer weiteren Schule in der nordwärts-Kulisse ist in Vorbereitung. 

Sachstand 03/2025: Der Ausbildungspakt läuft an drei Schulstandorten sehr erfolgreich. Ein Transfer erfolgreicher Programmbausteine auf Schulen im gesamten Stadtgebiet ist im Rahmen eines Verstetitungskonzepts in Planung.

Sachstand 05/2025: Pilotvorhaben KI - die Idee: Ausbildungspakt-Jugendliche werden durch einen kleinen KI-Bot unterstützt,  - basierend auf ihren Interessen und Fähigkeiten -  passende Berufsfelder und Unternehmen in Dortmund zu entdecken. Geplant ist, dass der KI-Bot ab dem Sommer begleitet im Rahmen der Ausbildungspaktkurse erstmalig zum Einsatz kommt.";;;;;;;;;;;;;;;;Dortmund
Brücken in Ausbildung - Ausbildungspakt Westerfilde;Mengede;Soziales;Bildung;701;A;;umgesetzt/abgeschlossen;"Vorbereitung Jugendlicher auf den Übergang in Ausbildung in Kooperation mit Betrieben

Sachstand 01/2018: Ausbildungspakt wird mit Unterstützung des FB Schule/Reg. Bildungsbüro und Stadterneuerung weiter an der Schule (Reinoldi-Sekundarschule) umgesetzt.

Sachstand 02/2020: Das Projekt wird  als ""Zukunftspakt"" in ähnlicher Weise fortgesetzt.";Im Odemsloh;107;910;Bodelschwingh;910;Bodelschwingh;9;Mengede;121;Bodelschwingh/Westerfilde;121;Bodelschwingh/Westerfilde;386882.9917;5711715.29999999;51.5451804432, 7.36870793097;Dortmund
Das Blaue Gold am Knoten Scharnhorst;Scharnhorst;Ökologie;Infrastrukturen\Umwelt/Grün;913;B (2);;gestartet/läuft;"Der Lippeverband und die Stadtentwässerung investieren am sog. Knoten Scharnhorst im Zeitraum 2012-2022 insg. mehr als 105 Mio. Euro in den Bau von Abwasserkanälen und die ökologische Verbesserung der Gewässer.

Sachstand 01/2018: Diverse Infoveranstaltungen laufen.

Sachstand 06/2018: Spatenstich für das Projekt am 15.06.2018

Sachstand 07/2019: In Abstimmung mit Emschergenossenschaft/Lippeverband sollen im weiteren Verlauf der Baumaßnahme für den Knoten Scharnhorst Einzel-Events (""Bürgerfest"", Besichtigungstermine Kläranlage, Infotermine etc.) zur Darstellung des Mehrwerts der wasserbaulichen Maßnahmen für den Stadtbezirk durchgeführt werden.

Sachstand 02/2020: Kein neuer Sachstand.

Sachstand 06/2021: Der Sachstand von 2020 ist noch aktuell.

Sachstand 07/2022: Der Sachstand von 2021 ist noch aktuell.

Sachstand 03/2025: Projekt wurde seitens des Lippeverbands über die im bisherigen Sachstand dargestellten Maßnahmen hinaus nicht weiter verfolgt.";Friedrich-Hölscher-Straße;300;262;Alt-Scharnhorst;260;Alt-Scharnhorst;2;Scharnhorst;053;Alt-Scharnhorst;;Wambeler Heide;397825.699999997;5711135.55;51.5420590396, 7.52661583492;Dortmund
DAS DORTMUNDER INNOVATIONSQUARTIER;IN-NORD;Ökonomie;Stadtentwicklung;904;B (2);;gestartet/läuft;"Das Ziel der Planung des DORTMUNDER STADTQUARTIERS ist die sorgfältige Weiterentwicklung der Innenstadt Nord im Sinne der Europäischen Stadt.

Sachstand 04/2018: Die Standortsuche läuft.

Sachstand 10/2018: Bebauungsplan für Stahlwerkstr. in Vorbereitung, Smart City Ansatz wird mitgedacht. Investoren sollen eingeladen werden.

Sachstand 04/2020: Das Planverfahren zum Bebauungsplan In-N 226 läuft in Abstimmung mit derzeitigem Flächeneigentümer und externen Wohnungsbau-Investoren, welche das Projekt umsetzen werden. Der Leitgedanke der europäischen Stadt liegt dem städtebaulichen Entwurf zu Grunde, der Smart City Ansatz wird weiterhin mitgedacht und soll im weiteren Projektverlauf konkretisiert werden.

Sachstand 05/2020: Der jetzt vorliegende strukturelle Leitfaden zur Entwicklung der Fläche wird über einen Wettbewerb weiterqualifiziert

Sachstand 06/2021: Der aktuelle Sachstand hat weiterhin noch Bestand. 

Sachstand 08/2023: Der Bebauungsplan InN 226 ist rechtskräftig, der städtebauliche Vertrag mit den Wohnungsbau-Investoren ist abgeschlossen. Es laufen Qualifizierungsverfahren für einzelne Baublöcke, hiervon ist das erste abgeschlossen. Sieger des Wettbewerbs und damit beauftragt zur Errichtung des Baufelds 1 wurde das Büro RKW+.

Sachstand 03/2025: Es konnten zwei weitere Qualifizierungsverfahren für einzelne Baublöcke erfolgreich abgeschlossen werden. Sieger des Wettbewerbs und damit beauftragt zur Errichtung des Baufelds 2 wurde das Büro florian krieger, architektur und städtebau gmbh aus Darmstadt. Der Wettbewerb für das Sondergebiets-Baufeld wurde am 12.2.2025 erfolgreich abgeschlossen, die Veröffentlichung des Siegers erfolgt in Kürze.";Stahlwerkstraße;1;061;Borsigplatz;060;Borsigplatz;20;Innenstadt-Nord;023;Borsigplatz;023;Borsigplatz;394451.93999999936;57935.79999999;51.5225582002, 7.47862236805;Dortmund
Demokratie. Einfach. Machen!  Demokratiebildung stärken;Stadtbezirksübergreifend/gesamte Gebietskulisse;Soziales;Bildung;966;B (4);;umgesetzt/abgeschlossen;Demokratiebildung soll stärker als Querschnittsaufgabe an Schule verankert werden, indem eine demokratische Schulkultur gestärkt und so Kindern und Jugendlichen der Wert der Demokratie nahe gebracht wird.;Königswall;17;002;City-West;000;City;10;Innenstadt-West;011;City;;;39326.7733333329;57843.873333333;51.51685918, 7.45827128178;Dortmund
DEZENTRALE - Gemeinschaftslabor für Zukunftsfragen;Stadtbezirksübergreifend/gesamte Gebietskulisse;Ökonomie;Arbeit;911;B (2);;gestartet/läuft;"Die DEZENTRALE soll Bürgern und Kleinunternehmen einen Ort für die Entwicklung von technischen Lösungen aus ihrem Nutzerkontext heraus bieten. Im Ergebnis sollen technische Bildung, erfinderische Leistungsfähigkeit und unternehmerisches Denken gestärkt werden.

Sachstand 04/2018: Standortsuche läuft in Abstimmung mit der Wirtschaftsförderung Dortmund.

Sachstand 03/2020: Das „Projekt“ DEZENTRALE läuft weiter. Eigentlich ist die DEZENTRALE aber ein Standort und fortdauernde Aktivität. Unter Projekten versteht der Projektträger konkretere Aktivitäten. Im Rahmen von ""nordwärts"" geförderte Projekte gibt es derzeit nicht.

Sachstand 01/2021 Die DEZENTRALE wird nun von ""nordwärts gefördert. Sie ist ein Ort, um kollaborativ Ideen zu drängenden Zukunftsfragen zu entwickeln. Regelmäßig stattfindende „Flohmärkte“ oder Werkstattgespräche (inkl. Online-Stream) tragen dazu bei, eine neuartige, persönliche sowie nachhaltige Vernetzung zu fördern. In innovativen Veranstaltungsformaten laden Menschen und Projekte aus dem Dortmunder Norden zu sich nach Hause ein. So wird gebündeltes Fachwissen untereinander ausgetauscht und einer geneigten lokalen Öffentlichkeit zugänglich gemacht. Es wird unter anderem in neue technische Geräte investiert, diese vor Ort installiert und durch niederschwellige Formate den Zielgruppen zur Verfügung gestellt. Dadurch sollen die Entwicklung technischer Lösungen angeregt und zukunftsweisende Konzepte und Produkte hervorgebracht werden.

Sachstand 06/2021: Das Projekt wird in den kommenden Monaten abgeschlossen.  Es gibt konkrete Planungen für die Wiedereröffnung der DEZENTRALE u. die Durchführung von Veranstaltungen.";;;;;;;;;;;;;;;;Dortmund
