FID,geom,name,shop,osm_id,osm_type,editlink,tutoriallink,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,building,opening_hours,amenity,check_date,cuisine,heritage,historic,image,operator,phone,website,wheelchair,addr:suburb,source,internet_access,building:levels,fax,roof:shape,contact:email,contact:fax,contact:phone,contact:website,description,disused:opening_hours,diet:halal,diet:kosher,level,currency:eur,payment:credit_cards,payment:debit_cards,second_hand,stroller,surveillance,email,source:addr,source:geometry,building:colour,delivery:covid19,roof:colour,roof:levels,roof:material,takeaway:covid19,source:address,check_date:opening_hours,opening_hours:signed,toilets:wheelchair,building:part,indoor,wikidata,wheelchair:description,opening_hours:kitchen,old_name,old_website,wikimedia_commons,opening_hours:url,organic,lastcheck,last_check,contact:facebook,roof:height,payment:cash,butcher,information,tourism,source:date,ref:vatin,closed,note,mobile,website:orders,payment:cards
OSM_MRN_shop_butcher_4326_Point.11,POINT (8.57314892 49.70928074),Landmetzgerei Mehl,butcher,139518622,way,https://www.openstreetmap.org/way/139518622,https://learnosm.org/de/beginner/,,,,,,yes,"Mo-Fr 08:00-18:00, Sa 07:00-15:00",,,,,,,Karl Mehl Fleischgroßhandel GmbH & Co. KG,+49 6251 984450,http://www.landmetzgerei-mehl.de,,,,,1,+49 6251 787339,flat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.12,POINT (8.325838087500001 49.1060304625),Burgerhof Hofmetzgerei,butcher,141475973,way,https://www.openstreetmap.org/way/141475973,https://learnosm.org/de/beginner/,,,,,,retail,"Th 14:30-19:00; Fr 09:00-12:30,14:30-18:00; Sa 09:00-12:30; 2013 Jul 29-Aug 20: off",,,,,,,,,,,,,,,,,info@burgerhof-neupotz.de,+49-7272-750453,+49-7272-1351,http://www.burgerhof-neupotz.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.13,POINT (8.324223483333332 49.610418016666664),Metzgerei May,butcher,142487475,way,https://www.openstreetmap.org/way/142487475,https://learnosm.org/de/beginner/,,,,,,yes,Unregelmäßig,,2025-01-11,,,,,,,,no,,,,,,,,,,,Permanent geschlossen,"Mo 07:00-13:00, Tu-Th 07:30-13:00, Tu,Th 15:00-18:00, Fr 07:30-18:00, Sa 07:00-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.14,POINT (8.359331814285714 49.438943699999996),Party-Service Holger Brodt,butcher,146988167,way,https://www.openstreetmap.org/way/146988167,https://learnosm.org/de/beginner/,Mutterstadt,,30,67112,Eisenbahnstraße,yes,"Tu-Sa 08:00-13:00; Tu,Fr 15:00-18:00",,2023-10-23,,,,,,,,,,bing,,,,,,,+49 6234 50956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.15,POINT (8.242034916666666 49.11083906666667),Scherer,butcher,152526492,way,https://www.openstreetmap.org/way/152526492,https://learnosm.org/de/beginner/,Hatzenbühl,DE,76,76770,Luitpoldstraße,yes,"Mo-Fr 07:30-13:00,15:00-18:00; Sa 07:30-12:30; PH closed",,,,,,,,,,no,,,,,,,,,,,,,no,no,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.16,POINT (8.433476725 49.467359474999995),Metzgerei Neubauer,butcher,169957601,way,https://www.openstreetmap.org/way/169957601,https://learnosm.org/de/beginner/,Ludwigshafen am Rhein,DE,51,67061,Saarlandstraße,apartments,"Mo-Fr 07:00-12:30,14:30-18:00; Sa 07:00-12:30",,,,,,,,+49 621 573456,https://www.metzger-neubauer.de/,,,,,,,,,,,,Metzgerei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.17,POINT (8.520809457142857 49.4090344),Metzgerei Sinn,butcher,175856049,way,https://www.openstreetmap.org/way/175856049,https://learnosm.org/de/beginner/,Brühl,DE,10,68782,Brühler Straße,yes,,,,,,,,,,,no,Rohrhof,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.18,POINT (8.57605114 49.38773489999999),ehem. Metzgerei Sinn,butcher,177373368,way,https://www.openstreetmap.org/way/177373368,https://learnosm.org/de/beginner/,Schwetzingen,DE,35a,68723,Heidelberger Straße,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.19,POINT (9.2804744 49.4139609),Metzgerei Fischer,butcher,182059726,way,https://www.openstreetmap.org/way/182059726,https://learnosm.org/de/beginner/,Schefflenz,DE,92,74850,Hauptstraße,yes,,,,,,,,,,,no,Oberschefflenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.20,POINT (9.1910024 49.3858322),Metzgerei Mehl,butcher,188520362,way,https://www.openstreetmap.org/way/188520362,https://learnosm.org/de/beginner/,Elztal,,11,74834,Dorfstraße,yes,"Mo-Fr 07:00-12:30, Mo,Tu,Th,Fr 14:00-18:00; Sa 06:30-12:30",,,,,,,,,,yes,Dallau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.21,POINT (9.324445175000001 49.521839075),Metzgerei Morschäuser,butcher,188623743,way,https://www.openstreetmap.org/way/188623743,https://learnosm.org/de/beginner/,Buchen (Odenwald),DE,22,74722,Marktstraße,yes,"Mo,Th 08:00-13:00; Tu,We,Fr 08:00-13:00,14:30-18:00; Sa 07:45-13:00",,,,,,,,+49 6281 2354,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.22,POINT (8.172688216666666 49.09656933333333),Freier,butcher,197252314,way,https://www.openstreetmap.org/way/197252314,https://learnosm.org/de/beginner/,Kandel,DE,12,76870,Horstring,yes,Mo-We 07:00-17:00; Th-Fr 07:00-17:00; Sa 07:00-13:00,,,,,,,,+49 7275 989800,https://www.freier-gutes-fleisch.de/,,Minderslachen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.23,POINT (8.63877943 49.54389175000001),Metzgerei Koob,butcher,197513650,way,https://www.openstreetmap.org/way/197513650,https://learnosm.org/de/beginner/,Weinheim,DE,4,69469,Breslauer Straße,apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.24,POINT (8.36012057142857 49.62109691428571),Fleischwaren Sutter,butcher,206376635,way,https://www.openstreetmap.org/way/206376635,https://learnosm.org/de/beginner/,Worms,DE,1,67547,Am Aulweg,retail,"Mo-Sa 08:00-20:00; PH,Su off",,2025-01-06,,,,,Sutter GmbH,+49 6241 9794583,https://fleischwaren-sutter.de/filialen/#worms,yes,,,,1,,gabled,,,,,,,,,,yes,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.25,POINT (8.626777641666667 49.41090818333333),Metzgerei Merz,butcher,220881672,way,https://www.openstreetmap.org/way/220881672,https://learnosm.org/de/beginner/,Eppelheim,,2,69214,Maybachstraße,industrial,Mo-Th 07:00-16:00; Fr 07:00-17:00; Sa 07:00-13:00,,,,,,,Merz GmbH u.Co.KG,,https://www.merz-fleischwaren.de/,,,,,2,,flat,,,,,,,,,,,,,,,,info@merz-fleischwaren.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.26,POINT (8.865066749999999 49.52949543333333),Metzgerei Dingeldein,butcher,223110815,way,https://www.openstreetmap.org/way/223110815,https://learnosm.org/de/beginner/,Wald-Michelbach,DE,25a,69483,Hauptstraße Süd,retail,"Mo-Tu, Th-Fr 07:30-12:30, 14:30-18:00; We 07:30-12:30; Sa 07:30-13:00",,,,,,,,+49 6207 2383,,yes,Unter-Schönmattenwag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.27,POINT (8.0343247 49.0486753),Katus,butcher,226907803,way,https://www.openstreetmap.org/way/226907803,https://learnosm.org/de/beginner/,Steinfeld (Pfalz),DE,12,76889,Obere Hauptstraße,yes,"Mo,We 07:30-12:15,14:00-18:00; Tu,Th 07:30-12:15; Fr 07:30-18:30; Sa 07:00-12:00",,,,,,,,,,,,,,,,,,,+49 6340 8187,http://www.partyservice-katus.de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.28,POINT (8.636489699999998 49.645351524999995),Metzgerei Buser,butcher,232235135,way,https://www.openstreetmap.org/way/232235135,https://learnosm.org/de/beginner/,Heppenheim,DE,32,64646,Jakob-Maier-Straße,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.29,POINT (8.44577725 49.6866175),Geflügel Schader,butcher,236515883,way,https://www.openstreetmap.org/way/236515883,https://learnosm.org/de/beginner/,Biblis,DE,4,68647,Berliner Straße,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.30,POINT (8.5192766 49.2940711),Ueltzhöffer,butcher,246837352,node,https://www.openstreetmap.org/node/246837352,https://learnosm.org/de/beginner/,Neulußheim,DE,28,68809,Altlußheimer Straße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.31,POINT (9.13087905 49.351206899999994),Metzgerei Norbert Renz,butcher,255122468,way,https://www.openstreetmap.org/way/255122468,https://learnosm.org/de/beginner/,Mosbach,DE,12,74821,Nüstenbacher Straße,yes,,,,,,,,Norbert Renz,+49 6261 37-810,,yes,,,,,,,,,,,,,,,,,,,,,,,"LGL, www.lgl-bw.de",Bing 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.32,POINT (8.8925501 49.374922),Metzgerei Saueressig,butcher,260060145,node,https://www.openstreetmap.org/node/260060145,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.33,POINT (9.425879690909092 49.43068983636363),Metzgerei Hofmann,butcher,262336068,way,https://www.openstreetmap.org/way/262336068,https://learnosm.org/de/beginner/,Osterburken,,10,74706,Friedrichstraße,yes,Mo-Fr 07:00-18:00; Sa 07:00-13:00,,,,,,,Gunter Hofmann,+49 6291 8175,https://www.metzgerei-hofmann.de/,,,,,2,,gabled,,,,,,,,,,,,,,,,,,,white,yes,grey,1.5,roof_tiles,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.34,POINT (8.495536183333334 49.307778266666666),Metzgerei Köhler GmbH,butcher,264586722,way,https://www.openstreetmap.org/way/264586722,https://learnosm.org/de/beginner/,Altlußheim,DE,8,68804,Sportplatzweg,yes,"Mo-Fr 10:00-12:00, 13:00-18:00; Sa 10:00-16:00",,,,,,,,+49 6205 37707,http://www.metzgerei-koehler.de/,,,,,,+49 (0)6205 37709,,,,,,,,,,,,,,,,,info@metzgerei-koehler.de,,"Maps4BW, LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.35,POINT (8.6828994 49.2449185),Becker,butcher,270194653,node,https://www.openstreetmap.org/node/270194653,https://learnosm.org/de/beginner/,Malsch,DE,8,69254,Kirchberg,,,,,,,,,,+49 7253 21885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.36,POINT (8.2489073 49.3657224),Vogt,butcher,271104708,node,https://www.openstreetmap.org/node/271104708,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.37,POINT (9.390210399999999 49.403507366666666),Metzgerei Maurer,butcher,275632298,way,https://www.openstreetmap.org/way/275632298,https://learnosm.org/de/beginner/,Adelsheim,,13,74740,Marktstraße,apartments,"Mo-Th 07:30-13:00; Mo,Tu,Th 14:30-18:00; Fr 07:30-18:00; Sa 07:00-12:30",,,,,,,,,,yes,,,,,,,info@metzger-maurer.de,+49 6297 1629,+49 6291 1308,https://www.metzger-maurer.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.38,POINT (9.391680864285714 49.40296882857143),Metzgerei Dörrich,butcher,275655058,way,https://www.openstreetmap.org/way/275655058,https://learnosm.org/de/beginner/,Adelsheim,,5,74740,Schloßgasse,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.39,POINT (8.69629276 49.322573240000004),Metzgerei Krauss,butcher,282761116,way,https://www.openstreetmap.org/way/282761116,https://learnosm.org/de/beginner/,,,,,,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.40,POINT (9.334903919999999 49.442544579999996),Metzgerei Götz,butcher,284166608,way,https://www.openstreetmap.org/way/284166608,https://learnosm.org/de/beginner/,Seckach,,7,74743,Eicholzheimer Straße,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.41,POINT (9.50757808 49.40084023),Metzgerei Maurer,butcher,289366931,way,https://www.openstreetmap.org/way/289366931,https://learnosm.org/de/beginner/,Ravenstein,DE,16,74747,Eichenstraße,yes,"Mo-Fr 07:30-12:30; Mo,Tu,Th,Fr 14:30-18:00; Sa 07:00-12:30, Su off",,,,,,,Karl-Peter Maurer,+49 6297 448,https://www.metzger-maurer.de/,yes,Merchingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.42,POINT (8.3898882 49.5284847),Metzgerei Steinmann,butcher,291324764,node,https://www.openstreetmap.org/node/291324764,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.43,POINT (8.246679 48.9908069),Metzgerei Braun,butcher,292941191,node,https://www.openstreetmap.org/node/292941191,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.44,POINT (8.6594535 49.5120665),Metzgerei Salbinger,butcher,296159891,node,https://www.openstreetmap.org/node/296159891,https://learnosm.org/de/beginner/,Hirschberg an der Bergstraße,DE,13,69493,Breitgasse,,,,,,,,,,,,,Großsachsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.45,POINT (9.3630776 49.57816975),Metzgerei Müller,butcher,298746340,way,https://www.openstreetmap.org/way/298746340,https://learnosm.org/de/beginner/,Walldürn,,4,74731,Dr.-Heinrich-Köhler-Straße,yes,"Mo-Fr 07:00-12:30,14:00-18:00; Sa 07:00-13:00",,,,,,,,+49 6282 16 25,https://www.metzgerei-müller.de/,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.46,POINT (8.7668347 49.5861425),Hornauer,butcher,300410927,node,https://www.openstreetmap.org/node/300410927,https://learnosm.org/de/beginner/,Mörlenbach,DE,4,69509,Am Gerätehaus,,"Mo-Fr 07:00-13:00,14:30-18:30; We,Sa 07:00-13:00",,,,,,,,+49 6209 4883,http://metzgerei-hornauer.de/index.php?id=4,no,Weiher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.47,POINT (9.15074668 49.29973392000001),Metzgerei Metzstein,butcher,305841593,way,https://www.openstreetmap.org/way/305841593,https://learnosm.org/de/beginner/,Haßmersheim,DE,23,74855,Marktstraße,house,,,,,,,,,,,,,"LGL, www.lgl-bw.de",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.48,POINT (8.478995925 49.60349145),Metzgerei Fritz Härtel,butcher,305956741,way,https://www.openstreetmap.org/way/305956741,https://learnosm.org/de/beginner/,,,,,,yes,"Mo-Fr 07:00-12:30, Fr 14:30-18:00; Sa 07:00-12:00",,,,,,,,,,yes,,"geometry Bing, data survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.49,POINT (8.2051575 48.9826129),Metzgerei Fried,butcher,322718802,node,https://www.openstreetmap.org/node/322718802,https://learnosm.org/de/beginner/,Berg (Pfalz),,8a,76768,Theresienstraße,,"Mo, We 08:00-12:30; Tu, Th, Fr 08:00-12:30, 14:30-18:00; Sa 07:00-12:00; Jun-Aug Tu 08:00-12:30; PH off",,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.50,POINT (8.20935965 49.146766899999996),Metzgerei Weindel,butcher,322855954,way,https://www.openstreetmap.org/way/322855954,https://learnosm.org/de/beginner/,,,66,,Obere Hauptstraße,yes,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.51,POINT (8.6663438 49.5218738),Wolf,butcher,323242751,node,https://www.openstreetmap.org/node/323242751,https://learnosm.org/de/beginner/,,,,,,,,,2024-04-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.52,POINT (8.87595325 49.210149799999996),Volz,butcher,329301385,way,https://www.openstreetmap.org/way/329301385,https://learnosm.org/de/beginner/,Sinsheim,DE,42,74889,Kaiserstraße,yes,,,,,,,,,,,,Weiler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.53,POINT (8.7154492 49.6151609),Zur Linde,butcher,339114791,node,https://www.openstreetmap.org/node/339114791,https://learnosm.org/de/beginner/,Mörlenbach,DE,44,69509,Edertalstraße,,"Mo 08:00-12:30; Tu-Fr 08:00-12:30,14:30-18:00; We off; Sa 07:30-12:30",,,,,,,,,,,Bonsweiher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.54,POINT (8.7210194 49.5776108),Metzgerei Jochim,butcher,339361705,node,https://www.openstreetmap.org/node/339361705,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.55,POINT (8.2507151 49.3626221),Metzgerei Nowack,butcher,346963319,node,https://www.openstreetmap.org/node/346963319,https://learnosm.org/de/beginner/,Haßloch,DE,14,67454,Ohliggasse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.56,POINT (9.1046269 49.34151075),Metzgerei Mehl,butcher,349849202,way,https://www.openstreetmap.org/way/349849202,https://learnosm.org/de/beginner/,Mosbach,,4,74821,Martin-Luther-Straße,yes,,,,,,,,Der Leberwurstkaiser,+49 (0) 6261 7240,,,Neckarelz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_shop_butcher_4326_Point.57,POINT (8.9256173 49.411415),Metzgerei H. Braus,butcher,352779533,node,https://www.openstreetmap.org/node/352779533,https://learnosm.org/de/beginner/,Schönbrunn,DE,1,69436,Steinbruchstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
