GENESIS-Tabelle: 31111-03-02-5-B
Genehmigungen für Wohnungen in Wohn- und Nichtwohngebäuden nach Zahl der Räume  - Jahressumme - regionale Ebenen;;;;;;
Statistik der Baugenehmigungen;;;;;;
Wohnungen in Wohn- und Nichtwohngebäuden (Anzahl);;;;;;
Jahr: 2008;;;;;;
;;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung;Größe der Wohnung
;;Insgesamt;1 oder 2 Räume;3 Räume;4 Räume;5 oder mehr Räume
08417075;Winterlingen;6;0;0;0;6
08417078;Zimmern unter der Burg;2;0;0;0;2
08417079;Albstadt, Stadt;32;2;-4;5;29
08421000;Ulm, Universitätsstadt;369;95;104;73;97
08425002;Allmendingen;10;0;1;-1;10
08425004;Altheim;-;0;0;0;0
08425005;Altheim (Alb);5;0;0;1;4
08425008;Amstetten;11;1;0;-1;11
08425011;Asselfingen;1;0;0;0;1
08425013;Ballendorf;2;0;0;0;2
08425014;Beimerstetten;10;0;0;2;8
08425017;Berghülen;2;0;0;0;2
08425019;Bernstadt;4;0;0;1;3
08425020;Blaubeuren, Stadt;26;2;-2;5;21
08425022;Börslingen;3;0;1;0;2
08425024;Breitingen;2;1;0;0;1
08425028;Dietenheim, Stadt;31;2;2;4;23
08425031;Dornstadt;14;0;2;1;11
08425033;Ehingen (Donau), Stadt;84;8;22;15;39
08425035;Emeringen;-;0;0;0;0
08425036;Emerkingen;3;0;1;0;2
08425039;Erbach, Stadt;15;2;1;1;11
08425050;Griesingen;4;2;0;0;2
08425052;Grundsheim;-;0;0;0;0
08425055;Hausen am Bussen;-;0;0;0;0
08425062;Holzkirch;1;0;0;0;1
08425064;Hüttisheim;2;0;1;0;1
08425066;Illerrieden;17;0;0;3;14
08425071;Laichingen, Stadt;43;1;5;15;22
08425072;Langenau, Stadt;74;5;2;16;51
08425073;Lauterach;2;0;2;0;0
08425075;Lonsee;50;44;2;0;4
08425079;Merklingen;-;0;0;0;0
08425081;Munderkingen, Stadt;7;0;0;1;6
08425083;Neenstetten;-;0;0;0;0
08425084;Nellingen;11;0;1;3;7
08425085;Nerenstetten;1;0;0;0;1
08425088;Oberdischingen;11;0;8;0;3
08425090;Obermarchtal;1;0;0;0;1
08425091;Oberstadion;1;0;0;0;1
08425092;Öllingen;1;0;0;-1;2
08425093;Öpfingen;7;1;0;0;6
08425097;Rammingen;1;0;0;0;1
08425098;Rechtenstein;3;0;0;1;2
08425104;Rottenacker;1;0;0;0;1
08425108;Schelklingen, Stadt;14;3;1;2;8
08425110;Schnürpflingen;2;0;0;2;0
08425112;Setzingen;2;0;0;0;2
08425123;Untermarchtal;-;0;0;0;0
08425124;Unterstadion;3;0;0;2;1
08425125;Unterwachingen;-;0;0;0;0
08425130;Weidenstetten;-;0;0;0;0
08425134;Westerheim;6;0;-2;2;6
08425135;Westerstetten;7;0;2;-1;6
08425137;Illerkirchberg;17;2;1;0;14
08425138;Staig;3;0;1;0;2
08425139;Heroldstatt;7;0;2;-1;6
08425140;Balzheim;10;0;1;0;9
08425141;Blaustein, Stadt;52;4;5;12;31
08426001;Achstetten;15;1;1;2;11
08426005;Alleshausen;2;0;0;0;2
08426006;Allmannsweiler;-;0;0;0;0
08426008;Altheim;3;0;0;0;3
08426011;Attenweiler;5;0;0;2;3
08426013;Bad Buchau, Stadt;7;4;0;-1;4
08426014;Bad Schussenried, Stadt;46;6;10;8;22
08426019;Berkheim;15;2;2;1;10
08426020;Betzenweiler;1;0;0;0;1
08426021;Biberach an der Riß, Stadt;150;22;20;17;91
08426028;Burgrieden;17;3;1;1;12
08426031;Dettingen an der Iller;3;0;0;0;3
08426035;Dürmentingen;5;0;0;-2;7
08426036;Dürnau;-;0;0;0;0
08426038;Eberhardzell;11;1;2;0;8
08426043;Erlenmoos;3;0;0;0;3
08426044;Erolzheim;11;3;2;2;4
08426045;Ertingen;11;0;1;0;10
08426058;Hochdorf;3;0;-1;2;2
08426062;Ingoldingen;10;1;1;-2;10
08426064;Kanzach;-;0;0;0;0
08426065;Kirchberg an der Iller;8;1;0;2;5
08426066;Kirchdorf an der Iller;4;0;0;0;4
08426067;Langenenslingen;4;0;0;-1;5
08426070;Laupheim, Stadt;46;2;13;7;24
08426071;Maselheim;8;1;0;0;7
08426073;Mietingen;24;0;3;5;16
08426074;Mittelbiberach;23;1;3;6;13
08426078;Moosburg;-;0;0;0;0
08426087;Ochsenhausen, Stadt;29;3;2;4;20
08426090;Oggelshausen;1;0;0;0;1
08426097;Riedlingen, Stadt;20;1;1;3;15
08426100;Rot an der Rot;23;3;5;7;8
08426108;Schwendi;12;0;0;1;11
08426109;Seekirch;-;0;0;0;0
08426113;Steinhausen an der Rottum;9;0;0;1;8
08426117;Tannheim;4;0;0;0;4
08426118;Tiefenbach;-;0;0;0;0
08426120;Ummendorf;5;0;0;1;4
08426121;Unlingen;6;0;0;-2;8
08426124;Uttenweiler;8;2;1;-1;6
08426125;Wain;1;0;0;0;1
08426128;Warthausen;34;3;2;4;25
08426134;Schemmerhofen;44;3;14;5;22
08426135;Gutenzell-Hürbel;4;0;0;0;4
08435005;Bermatingen;1;0;-2;-1;4
08435010;Daisendorf;16;1;2;0;13
08435013;Eriskirch;14;0;2;2;10
08435015;Frickingen;7;1;0;1;5
08435016;Friedrichshafen, Stadt;113;13;21;17;62
08435018;Hagnau am Bodensee;13;2;1;2;8
08435020;Heiligenberg;8;5;3;0;0
08435024;Immenstaad am Bodensee;14;0;2;3;9
08435029;Kressbronn am Bodensee;16;0;-2;13;5
08435030;Langenargen;27;2;3;5;17
08435034;Markdorf, Stadt;50;7;5;14;24
08435035;Meckenbeuren;31;4;3;6;18
08435036;Meersburg, Stadt;21;0;4;11;6
08435042;Neukirch;2;0;0;0;2
08435045;Oberteuringen;20;3;3;0;14
08435047;Owingen;25;19;0;-1;7
08435052;Salem;32;3;1;0;28
08435053;Sipplingen;10;2;0;1;7
08435054;Stetten;-;0;0;0;0
08435057;Tettnang, Stadt;126;16;32;20;58
08435059;Überlingen, Stadt;212;50;46;54;62
08435066;Uhldingen-Mühlhofen;13;-1;7;-1;8
08435067;Deggenhausertal;31;1;13;3;14
08436001;Achberg;4;0;0;0;4
08436003;Aichstetten;3;0;0;1;2
08436004;Aitrach;7;0;4;0;3
08436005;Altshausen;2;0;0;0;2
08436006;Amtzell;15;1;1;6;7
08436008;Aulendorf, Stadt;48;24;1;7;16
08436009;Bad Waldsee, Stadt;33;2;6;6;19
08436010;Bad Wurzach, Stadt;27;0;-1;0;28
08436011;Baienfurt;11;3;-1;-1;10
08436012;Baindt;-;-6;0;-3;9
08436013;Berg;13;4;0;2;7
08436014;Bergatreute;3;0;0;0;3
08436018;Bodnegg;26;4;7;5;10
08436019;Boms;2;0;-1;1;2
08436024;Ebenweiler;-;0;0;0;0
08436027;Eichstegen;-;0;0;0;0
08436032;Fleischwangen;-;0;0;0;0
08436039;Grünkraut;47;7;8;3;29
08436040;Guggenhausen;-;0;0;0;0
08436047;Hoßkirch;5;2;0;0;3
08436049;Isny im Allgäu, Stadt;46;2;3;14;27
08436052;Kißlegg;25;0;4;7;14
08436053;Königseggwald;-;0;0;0;0
08436055;Leutkirch im Allgäu, Stadt;22;-34;6;14;36
08436064;Ravensburg, Stadt;190;9;59;54;68
08436067;Riedhausen;3;0;0;0;3
08436069;Schlier;5;1;0;0;4
08436077;Unterwaldhausen;-;0;0;0;0
08436078;Vogt;9;0;2;1;6
08436079;Waldburg;10;0;0;0;10
08436081;Wangen im Allgäu, Stadt;73;5;18;9;41
08436082;Weingarten, Stadt;64;2;24;9;29
08436083;Wilhelmsdorf;7;2;0;-1;6
08436085;Wolfegg;5;0;0;0;5
08436087;Wolpertswende;11;3;1;1;6
08436093;Ebersbach-Musbach;2;0;0;0;2
08436094;Argenbühl;32;2;3;9;18
08436095;Horgenzell;25;4;0;2;19
08436096;Fronreute;35;3;7;5;20
08437005;Beuron;1;0;0;0;1
08437008;Bingen;9;2;1;3;3
08437031;Gammertingen, Stadt;3;0;0;3;0
08437044;Herbertingen;8;0;0;0;8
08437047;Hettingen, Stadt;3;0;0;0;3
08437053;Hohentengen;3;0;0;-1;4
08437056;Illmensee;6;1;0;1;4
08437059;Inzigkofen;8;0;-1;1;8
08437065;Krauchenwies;11;-1;0;1;11
08437072;Leibertingen;10;0;1;1;8
08437076;Mengen, Stadt;17;3;4;1;9
08437078;Meßkirch, Stadt;31;25;2;2;2
08437082;Neufra;1;0;0;-1;2
08437086;Ostrach;8;0;-1;0;9
08437088;Pfullendorf, Stadt;32;3;1;5;23
08437100;Bad Saulgau, Stadt;24;0;2;1;21
08437101;Scheer, Stadt;2;0;0;0;2
08437102;Schwenningen;1;0;0;-2;3
08437104;Sigmaringen, Stadt;25;3;2;1;19
08437105;Sigmaringendorf;4;0;0;1;3
08437107;Stetten am kalten Markt;10;2;3;-12;17
08437114;Veringenstadt, Stadt;-;0;0;0;0
08437118;Wald;8;3;3;1;1
08437123;Sauldorf;6;0;0;0;6
08437124;Herdwangen-Schönach;11;2;2;0;7
09161000;Ingolstadt;641;208;60;92;281
09162000;München, Landeshauptstadt;5730;1205;1729;1459;1337
09163000;Rosenheim;268;15;100;49;104
09171111;Altötting, St;13;0;-1;0;14
09171112;Burghausen, St;24;0;1;2;21
09171113;Burgkirchen a.d.Alz;16;0;0;2;14
09171114;Emmerting;30;0;0;13;17
09171115;Erlbach;7;1;0;0;6
09171116;Feichten a.d.Alz;1;0;0;0;1
09171117;Garching a.d.Alz;16;0;1;2;13
09171118;Haiming;18;0;0;2;16
09171119;Halsbach;7;0;0;0;7
09171121;Kastl;10;0;0;0;10
09171122;Kirchweidach;2;0;0;0;2
09171123;Marktl, M;11;0;1;1;9
09171124;Mehring;12;0;3;1;8
09171125;Neuötting, St;23;6;1;4;12
09171126;Perach;2;0;1;0;1
09171127;Pleiskirchen;4;0;1;0;3
09171129;Reischach;6;0;1;5;0
09171130;Stammham;4;0;1;0;3
09171131;Teising;5;0;0;0;5
09171132;Töging a.Inn, St;4;0;-1;0;5
09171133;Tüßling, M;17;0;2;1;14
09171134;Tyrlaching;3;0;0;1;2
09171135;Unterneukirchen;9;0;0;1;8
09171137;Winhöring;4;0;0;-1;5
09172111;Ainring;9;0;-1;0;10
09172112;Anger;17;2;5;1;9
09172114;Bad Reichenhall, GKSt;29;1;-1;12;17
09172115;Bayerisch Gmain;4;-11;9;1;5
09172116;Berchtesgaden, M;6;0;1;1;4
09172117;Bischofswiesen;34;3;6;13;12
09172118;Freilassing, St;42;2;5;11;24
09172122;Laufen, St;8;1;2;1;4
09172124;Marktschellenberg, M;-;0;0;-1;1
09172128;Piding;8;0;2;2;4
09172129;Ramsau b.Berchtesgaden;2;0;-1;0;3
09172130;Saaldorf-Surheim;16;0;2;0;14
09172131;Schneizlreuth;3;0;-1;0;4
09172132;Schönau a.Königssee;29;7;2;9;11
09172134;Teisendorf, M;18;2;2;3;11
09172444;Gemfr. Geb. Berchtesgadener Land;-;0;0;0;0
09172452;Eck;-;-;-;-;-
09172454;Schellenberger Forst;-;-;-;-;-
09173111;Bad Heilbrunn;11;1;2;4;4
09173112;Bad Tölz, St;110;19;25;34;32
09173113;Benediktbeuern;39;2;8;16;13
09173115;Bichl;8;0;1;1;6
09173118;Dietramszell;16;1;3;3;9
09173120;Egling;11;3;0;-2;10
09173123;Eurasburg;32;6;2;3;21
09173124;Gaißach;13;2;-1;2;10
09173126;Geretsried, St;94;0;7;23;64
09173127;Greiling;3;-1;0;3;1
09173130;Icking;31;3;1;8;19
09173131;Jachenau;4;0;2;0;2
09173133;Kochel a.See;7;0;0;3;4
09173134;Königsdorf;6;1;0;1;4
09173135;Lenggries;33;10;2;5;16
09173137;Münsing;24;4;8;1;11
09173140;Reichersbeuern;4;0;1;0;3
09173141;Sachsenkam;10;0;2;1;7
09173142;Schlehdorf;3;0;2;1;0
09173145;Wackersberg;8;1;2;2;3
09173147;Wolfratshausen, St;66;7;25;14;20
09173444;Gemfr. Geb. Bad Tölz-Wolfratshausen;-;0;0;0;0
09173451;Pupplinger Au;-;-;-;-;-
09173452;Wolfratshauser Forst;-;-;-;-;-
09174111;Altomünster, M;32;0;1;1;30
09174113;Bergkirchen;20;0;3;3;14
09174115;Dachau, GKSt;170;6;42;46;76
09174118;Erdweg;19;1;1;2;15
09174121;Haimhausen;26;0;1;5;20
09174122;Hebertshausen;16;0;0;2;14
09174126;Karlsfeld;121;63;11;13;34
09174131;Markt Indersdorf, M;29;1;3;10;15
09174135;Odelzhausen;26;0;7;7;12
09174136;Petershausen;6;0;0;0;6
09174137;Pfaffenhofen a.d.Glonn;6;0;0;0;6
09174141;Röhrmoos;15;1;4;3;7
09174143;Schwabhausen;25;0;0;1;24
09174146;Sulzemoos;17;13;1;1;2
09174147;Hilgertshausen-Tandern;4;0;0;0;4
09174150;Vierkirchen;8;0;0;0;8
09174151;Weichs;7;0;3;1;3
09175111;Anzing;3;1;0;-1;3
09175112;Aßling;13;2;1;3;7
09175113;Baiern;9;2;0;2;5
09175114;Bruck;-;0;0;0;0
09175115;Ebersberg, St;45;8;10;15;12
09175116;Egmating;11;-1;2;0;10
09175118;Forstinning;14;0;2;2;10
09175119;Frauenneuharting;3;0;0;0;3
09175121;Glonn, M;19;3;3;1;12
09175122;Grafing b.München, St;27;0;2;1;24
09175123;Hohenlinden;4;0;0;1;3
09175124;Kirchseeon, M;41;2;5;17;17
09175127;Markt Schwaben, M;63;0;0;18;45
09175128;Moosach;4;0;0;0;4
09175131;Oberpframmern;16;0;0;4;12
09175132;Vaterstetten;50;2;2;5;41
09175133;Pliening;6;0;3;0;3
09175135;Poing;29;1;0;-2;30
09175136;Emmering;2;0;0;0;2
09175137;Steinhöring;11;0;0;4;7
09175139;Zorneding;17;0;3;1;13
09175444;Gemfr. Geb. Ebersberg;-;0;0;0;0
09175451;Anzinger Forst;-;-;-;-;-
09175452;Ebersberger Forst;-;-;-;-;-
09175453;Eglhartinger Forst;-;-;-;-;-
09176111;Adelschlag;5;0;0;0;5
09176112;Altmannstein, M;13;2;-2;1;12
09176114;Beilngries, St;37;4;5;4;24
09176116;Böhmfeld;8;1;0;0;7
09176118;Buxheim;6;0;0;-1;7
09176120;Denkendorf;10;1;2;2;5
09176121;Dollnstein, M;3;0;0;-1;4
09176122;Egweil;2;0;0;0;2
09176123;Eichstätt, GKSt;10;3;2;0;5
09176124;Eitensheim;5;0;0;0;5
09176126;Gaimersheim, M;54;1;4;10;39
09176129;Großmehring;18;0;0;4;14
09176131;Hepberg;6;0;0;2;4
09176132;Hitzhofen;15;0;-1;0;16
09176137;Kinding, M;9;0;1;2;6
09176138;Kipfenberg, M;16;0;0;0;16
09176139;Kösching, M;66;1;2;19;44
09176143;Lenting;5;0;1;2;2
09176147;Mindelstetten;5;0;0;1;4
09176148;Mörnsheim, M;1;0;1;-1;1
09176149;Nassenfels, M;8;0;0;5;3
09176150;Oberdolling;4;1;0;0;3
09176153;Pförring, M;9;0;1;2;6
09176155;Pollenfeld;8;0;1;0;7
09176160;Schernfeld;11;1;1;2;7
09176161;Stammham;12;0;2;1;9
09176164;Titting, M;4;0;0;0;4
09176165;Walting;10;2;0;-1;9
09176166;Wellheim, M;1;0;-1;-2;4
09176167;Wettstetten;5;0;0;0;5
09176444;Gemfr. Geb. Eichstätt;-;0;0;0;0
09176451;Haunstetter Forst;-;-;-;-;-
09177112;Berglern;9;0;1;2;6
09177113;Bockhorn;18;5;2;2;9
09177114;Buch a.Buchrain;1;1;0;0;0
09177115;Dorfen, St;70;7;16;13;34
09177116;Eitting;8;0;1;1;6
09177117;Erding, Große Kreisstadt;183;8;31;26;118
09177118;Finsing;11;0;1;0;10
09177119;Forstern;11;0;0;2;9
09177120;Fraunberg;7;0;1;1;5
09177121;Hohenpolding;4;0;1;1;2
09177122;Inning a.Holz;6;0;0;1;5
09177123;Isen, M;22;1;-1;0;22
09177124;Kirchberg;12;1;1;1;9
09177126;Langenpreising;7;1;0;1;5
09177127;Lengdorf;4;0;0;1;3
09177130;Moosinning;30;0;1;4;25
09177131;Neuching;15;0;2;4;9
09177133;Oberding;30;-1;1;12;18
09177134;Ottenhofen;6;0;0;1;5
09177135;Pastetten;11;0;0;2;9
09177137;Sankt Wolfgang;23;1;4;4;14
09177138;Steinkirchen;7;0;0;3;4
09177139;Taufkirchen (Vils);94;5;35;21;33
09177142;Walpertskirchen;6;0;0;0;6
09177143;Wartenberg, M;23;17;0;2;4
09177144;Wörth;7;0;0;0;7
09178113;Allershausen;30;3;2;3;22
09178115;Attenkirchen;3;-1;0;1;3
09178116;Au i.d.Hallertau, M;13;0;0;3;10
09178120;Eching;51;9;8;12;22
09178122;Rudelzhausen;6;1;0;1;4
09178123;Fahrenzhausen;12;1;1;2;8
09178124;Freising, GKSt;93;1;14;30;48
09178125;Gammelsdorf;5;0;0;0;5
09178129;Haag a.d.Amper;6;0;2;0;4
09178130;Hallbergmoos;38;0;4;6;28
09178132;Hörgertshausen;8;0;0;0;8
09178133;Hohenkammer;7;0;0;0;7
09178136;Kirchdorf a.d.Amper;8;0;0;0;8
09178137;Kranzberg;17;0;0;2;15
09178138;Langenbach;7;1;0;4;2
09178140;Marzling;21;0;1;3;17
09178142;Mauern;11;1;0;1;9
09178143;Moosburg a.d.Isar, St;42;2;4;10;26
09178144;Nandlstadt, M;5;0;1;0;4
09178145;Neufahrn b.Freising;64;0;4;13;47
09178150;Paunzhausen;5;0;1;1;3
09178155;Wang;9;0;0;0;9
09178156;Wolfersdorf;4;0;0;1;3
09178157;Zolling;26;4;4;4;14
09179111;Adelshofen;4;0;0;0;4
09179113;Alling;8;2;1;1;4
09179114;Althegnenberg;5;0;0;1;4
09179117;Egenhofen;8;0;2;0;6
09179118;Eichenau;58;2;22;13;21
09179119;Emmering;103;1;3;7;92
09179121;Fürstenfeldbruck, GKSt;94;2;17;24;51
09179123;Germering, GKSt;160;4;29;25;102
09179125;Grafrath;16;1;4;1;10
09179126;Gröbenzell;104;2;72;12;18
09179128;Hattenhofen;15;0;0;3;12
09179130;Jesenwang;3;0;0;0;3
09179131;Kottgeisering;6;0;1;1;4
09179132;Landsberied;9;0;0;0;9
09179134;Maisach;46;3;1;1;41
09179136;Mammendorf;9;-1;2;0;8
09179137;Mittelstetten;5;0;0;1;4
09179138;Moorenweis;11;0;1;2;8
09179140;Oberschweinbach;2;0;0;0;2
09179142;Olching, St;162;6;24;63;69
09179145;Puchheim, St;32;2;3;1;26
09179147;Schöngeising;13;0;-1;1;13
09179149;Türkenfeld;5;0;0;1;4
09180112;Bad Kohlgrub;4;0;0;2;2
09180113;Bad Bayersoien;-;0;0;0;0
09180114;Eschenlohe;-;0;0;0;0
09180115;Ettal;-;0;0;0;0
09180116;Farchant;9;1;2;1;5
09180117;Garmisch-Partenkirchen, M;34;3;6;19;6
09180118;Grainau;1;0;0;0;1
09180119;Großweil;4;0;1;1;2
09180122;Krün;1;0;0;0;1
09180123;Mittenwald, M;3;0;0;1;2
09180124;Murnau a.Staffelsee, M;16;0;2;3;11
09180125;Oberammergau;7;0;-1;0;8
09180126;Oberau;9;0;1;1;7
09180127;Ohlstadt;3;0;0;0;3
09180128;Riegsee;3;0;0;0;3
09180129;Saulgrub;3;0;0;1;2
09180131;Schwaigen;-;0;0;0;0
09180132;Seehausen a.Staffelsee;2;0;0;0;2
09180133;Spatzenhausen;-;0;0;0;0
09180134;Uffing a.Staffelsee;2;0;0;0;2
09180135;Unterammergau;-;0;0;0;0
09180136;Wallgau;6;0;1;5;0
09180444;Gemfr. Geb. Garmisch-Partenkirchen;-;0;0;0;0
09180451;Ettaler Forst;-;-;-;-;-
09181111;Apfeldorf;1;0;0;0;1
09181113;Denklingen;19;1;8;1;9
09181114;Dießen am Ammersee, M;48;2;2;4;40
09181115;Eching am Ammersee;4;0;2;0;2
09181116;Egling a.d.Paar;7;0;2;0;5
09181118;Eresing;5;0;0;0;5
09181120;Finning;4;0;0;2;2
09181121;Fuchstal;14;0;1;0;13
09181122;Geltendorf;16;1;4;1;10
09181123;Greifenberg;7;1;2;0;4
09181124;Hofstetten;5;0;1;0;4
09181126;Hurlach;5;0;0;1;4
09181127;Igling;2;0;0;0;2
09181128;Kaufering, M;14;2;2;3;7
09181129;Kinsau;-;0;0;0;0
09181130;Landsberg am Lech, GKSt;110;4;15;20;71
09181131;Obermeitingen;8;0;0;1;7
09181132;Penzing;3;1;0;0;2
09181133;Vilgertshofen;10;0;1;0;9
09181134;Prittriching;11;0;0;1;10
09181135;Reichling;2;0;0;1;1
09181137;Rott;1;0;1;0;0
09181138;Scheuring;3;0;0;0;3
09181139;Schondorf am Ammersee;40;0;11;9;20
09181140;Schwifting;2;0;0;1;1
09181141;Pürgen;19;1;1;3;14
09181142;Thaining;4;0;2;0;2
09181143;Unterdießen;2;0;0;0;2
09181144;Utting am Ammersee;35;1;0;2;32
09181145;Weil;10;0;0;1;9
09181146;Windach;12;0;3;1;8
09181444;Gemfr. Geb. Landsberg am Lech;-;0;0;0;0
09181451;Ammersee;-;-;-;-;-
09182111;Bad Wiessee;28;0;6;10;12
09182112;Bayrischzell;5;0;0;0;5
09182114;Fischbachau;20;3;2;2;13
09182116;Gmund a.Tegernsee;19;-2;2;3;16
09182119;Hausham;21;4;6;1;10
09182120;Holzkirchen, M;54;0;33;15;6
09182123;Irschenberg;6;0;1;2;3
09182124;Kreuth;12;0;0;0;12
09182125;Miesbach, St;12;1;1;2;8
09182127;Otterfing;-;0;0;0;0
09182129;Rottach-Egern;56;6;12;11;27
09182131;Schliersee, M;31;12;4;5;10
09182132;Tegernsee, St;33;-1;0;8;26
09182133;Valley;8;2;1;1;4
09182134;Waakirchen;15;1;1;5;8
09182136;Warngau;17;-1;2;3;13
09182137;Weyarn;8;1;2;2;3
09183112;Ampfing;5;0;0;2;3
09183113;Aschau a.Inn;3;0;0;1;2
09183114;Buchbach, M;7;0;0;0;7
09183115;Egglkofen;1;0;0;0;1
09183116;Erharting;-;0;0;0;0
09183118;Gars a.Inn, M;15;1;4;-1;11
09183119;Haag i.OB, M;6;1;0;1;4
09183120;Heldenstein;7;0;1;0;6
09183122;Jettenbach;-;0;0;0;0
09183123;Kirchdorf;5;0;0;0;5
09183124;Kraiburg a.Inn, M;-;0;-2;-2;4
09183125;Lohkirchen;5;2;3;0;0
09183126;Maitenbeth;13;0;3;3;7
09183127;Mettenheim;7;0;-1;3;5
09183128;Mühldorf a.Inn, St;47;1;11;15;20
09183129;Neumarkt-Sankt Veit, St;12;2;2;2;6
09183130;Niederbergkirchen;-;0;0;0;0
09183131;Niedertaufkirchen;1;0;0;0;1
09183132;Oberbergkirchen;5;1;1;0;3
09183134;Oberneukirchen;2;0;1;0;1
09183135;Obertaufkirchen;1;0;-1;0;2
09183136;Polling;8;0;4;-2;6
09183138;Rattenkirchen;4;0;0;0;4
09183139;Rechtmehring;9;0;0;2;7
09183140;Reichertsheim;4;0;0;1;3
09183143;Schönberg;4;0;0;1;3
09183144;Schwindegg;8;0;0;2;6
09183145;Taufkirchen;7;0;1;0;6
09183147;Unterreit;6;0;0;2;4
09183148;Waldkraiburg, St;16;1;-3;-1;19
09183151;Zangberg;4;1;0;0;3
09183444;Gemfr. Geb. Mühldorf a.Inn;-;0;0;0;0
09183451;Mühldorfer Hart;-;-;-;-;-
09184112;Aschheim;93;0;24;19;50
09184113;Baierbrunn;25;0;0;4;21
09184114;Brunnthal;14;1;-1;0;14
09184118;Feldkirchen;104;3;1;15;85
09184119;Garching b.München, St;107;24;6;7;70
09184120;Gräfelfing;43;1;0;-1;43
09184121;Grasbrunn;13;1;-1;1;12
09184122;Grünwald;49;6;7;4;32
09184123;Haar;96;0;26;26;44
09184127;Höhenkirchen-Siegertsbrunn;138;2;20;34;82
09184129;Hohenbrunn;45;1;3;2;39
09184130;Ismaning;208;36;60;74;38
09184131;Kirchheim b.München;68;21;18;5;24
09184132;Neuried;44;1;26;6;11
09184134;Oberhaching;45;2;-2;12;33
09184135;Oberschleißheim;42;6;14;14;8
09184136;Ottobrunn;70;5;3;15;47
09184137;Aying;17;5;1;0;11
09184138;Planegg;2;1;0;0;1
09184139;Pullach i.Isartal;28;1;1;2;24
09184140;Putzbrunn;13;3;2;1;7
09184141;Sauerlach;34;4;3;4;23
09184142;Schäftlarn;15;2;4;0;9
09184144;Straßlach-Dingharting;20;2;-1;2;17
09184145;Taufkirchen;25;1;5;8;11
09184146;Neubiberg;30;2;5;9;14
09184147;Unterföhring;137;3;17;54;63
09184148;Unterhaching;60;8;3;13;36
09184149;Unterschleißheim, St;129;20;20;49;40
09184444;Gemfr. Geb. München;-;0;0;0;0
09184452;Forstenrieder Park;-;-;-;-;-
09184454;Grünwalder Forst;-;-;-;-;-
09184457;Perlacher Forst;-;-;-;-;-
09185113;Aresing;7;1;-1;2;5
09185116;Berg im Gau;4;0;0;0;4
09185118;Bergheim;2;0;0;0;2
09185123;Brunnen;5;0;0;-1;6
09185125;Burgheim, M;4;0;0;0;4
09185127;Ehekirchen;12;0;0;2;10
09185131;Gachenbach;9;0;3;0;6
09185139;Karlshuld;25;1;2;5;17
09185140;Karlskron;12;2;2;0;8
09185143;Langenmosen;8;1;0;3;4
09185149;Neuburg a.d.Donau, GKSt;151;96;5;11;39
09185150;Oberhausen;10;0;1;2;7
09185153;Rennertshofen, M;5;0;0;1;4
09185157;Rohrenfels;2;0;0;0;2
09185158;Schrobenhausen, St;55;2;9;19;25
09185163;Königsmoos;26;2;6;4;14
09185166;Waidhofen;1;0;0;-1;2
09185168;Weichering;5;0;0;0;5
09186113;Baar-Ebenhausen;28;9;9;3;7
09186116;Ernsgaden;10;0;0;3;7
09186122;Geisenfeld, St;23;1;2;3;17
09186125;Gerolsbach;13;0;1;0;12
09186126;Hettenshausen;6;0;0;2;4
09186128;Hohenwart, M;16;3;5;1;7
09186130;Ilmmünster;4;0;0;1;3
09186132;Jetzendorf;9;0;1;1;7
09186137;Manching, M;21;0;-1;6;16
09186139;Münchsmünster;4;0;0;0;4
09186143;Pfaffenhofen a.d.Ilm, St;94;4;13;18;59
09186144;Pörnbach;9;0;1;0;8
09186146;Reichertshausen;5;1;0;0;4
09186147;Reichertshofen, M;23;2;-2;4;19
09186149;Rohrbach;17;0;1;0;16
09186151;Scheyern;14;0;6;0;8
09186152;Schweitenkirchen;7;0;0;1;6
09186158;Vohburg a.d.Donau, St;7;0;1;1;5
09186162;Wolnzach, M;55;7;1;11;36
09187113;Amerang;9;1;1;-1;8
09187114;Aschau i.Chiemgau;23;2;5;5;11
09187116;Babensham;7;0;0;0;7
09187117;Bad Aibling, St;57;7;13;17;20
09187118;Bernau a.Chiemsee;23;0;2;3;18
09187120;Brannenburg;25;4;4;4;13
09187121;Breitbrunn a.Chiemsee;5;0;0;0;5
09187122;Bruckmühl, M;36;1;2;6;27
09187123;Chiemsee;-;0;0;0;0
09187124;Edling;14;0;0;2;12
09187125;Eggstätt;7;0;0;0;7
09187126;Eiselfing;7;0;0;1;6
09187128;Bad Endorf, M;33;3;3;3;24
09187129;Bad Feilnbach;21;2;0;1;18
09187130;Feldkirchen-Westerham;25;2;1;3;19
09187131;Flintsbach a.Inn;6;0;-1;1;6
09187132;Frasdorf;4;0;0;1;3
09187134;Griesstätt;12;2;1;3;6
09187137;Großkarolinenfeld;19;0;1;2;16
09187138;Gstadt a.Chiemsee;5;0;1;0;4
09187139;Halfing;4;0;0;0;4
09187142;Schechen;18;1;2;0;15
09187145;Höslwang;2;0;0;1;1
09187148;Kiefersfelden;9;0;0;1;8
09187150;Kolbermoor, St;44;2;5;4;33
09187154;Neubeuern, M;8;0;1;-1;8
09187156;Nußdorf a.Inn;12;2;0;4;6
