;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Aachener und Münchener Lebensversicherung AG;"Robert-Schuman-Str. 51
52066 Aachen";Privat-RENTE mit Garantie nach Tarif 2RG (RenteWachstum);Generali Deutschland Lebensversicherung AG;A;003685;01.08.2002;01.01.2006;;;
Aachener und Münchener Lebensversicherung AG;"Robert-Schuman-Str. 51
52066 Aachen";Privat-RENTE mit Garantie nach Tarif 3RG (RenteChance);Generali Deutschland Lebensversicherung AG;A;003686;01.08.2002;01.01.2006;;;
AachenMünchener Lebensversicherung AG;"Robert-Schuman-Str.51
52066 Aachen";PRIVAT-RENTE MIT GARANTIE nach Tarif 1RG (RENTE ERTRAG);Generali Deutschland Lebensversicherung AG;A;003806;02.01.2006;01.11.2008;;;
AachenMünchener Lebensversicherung AG;"Robert-Schuman-Str. 51
52066 Aachen";PRIVAT-RENTE MIT GARANTIE nach Tarif 2RG (RENTE WACHSTUM);Generali Deutschland Lebensversicherung AG;A;003807;02.01.2006;01.11.2008;;;
AachenMünchener Lebensversicherung AG;"Robert-Schumann-Straße 51
52066 Aachen";RiesterRente Strategie No. 1;Generali Deutschland Lebensversicherung AG;A;003890;03.09.2007;01.11.2008;;;
AachenMünchener Lebensversicherung AG;"Robert-Schumann-Straße 51
52066 Aachen";RiesterRente STRATEGIE No.1 nach Tarif 1RG;Generali Deutschland Lebensversicherung AG;A;003931;02.01.2008;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Robert-Schumann-Straße 51
52066 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 4RG;Generali Deutschland Lebensversicherung AG;A;003932;02.01.2008;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";RiesterRente STRATEGIE PLUS nach Tarif 1RG;Generali Deutschland Lebensversicherung AG;A;005765;07.11.2012;01.01.2017;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";BasisRente nach Tarif 1KRS und 2KRS;Generali Deutschland Lebensversicherung AG;B;005764;02.11.2012;01.01.2017;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";BasisRente nach Tarif FRS;Generali Deutschland Lebensversicherung AG;B;005763;02.11.2012;01.01.2017;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";BasisRente STRATEGIE No. 1 nach Tarif GRS;Generali Deutschland Lebensversicherung AG;B;005774;13.11.2012;01.01.2017;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";RiesterRente STRATEGIE PLUS nach Tarif 7RG;Generali Deutschland Lebensversicherung AG;A;005776;23.11.2012;;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener- Platz 1
52064 Aachen";BasisRente VERMÖGENSAUFBAU;Generali Deutschland Lebensversicherung AG;B;005953;31.07.2015;;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener- Platz 1
52064 Aachen";BasisRente;Generali Deutschland Lebensversicherung AG;B;005954;31.07.2015;;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener- Platz 1
52064 Aachen";BasisRente STRATEGIE No. 1;Generali Deutschland Lebensversicherung AG;B;005955;06.08.2015;;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener- Platz 1
52064 Aachen";Basisrente Dynamik Hybrid;Generali Deutschland Lebensversicherung AG;B;006093;28.11.2016;;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 1RG ;Generali Deutschland Lebensversicherung AG;A;005556;02.02.2011;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 4RG;Generali Deutschland Lebensversicherung AG;A;005557;02.02.2011;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";BasisRente nach Tarif 1KRS und 2KRS, evtl. mit Berufsunfähigkeits-Zusatzversicherung;Generali Deutschland Lebensversicherung AG;B;005009;15.06.2010;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";BasisRente STRATEGIE No. 1 nach Tarif GRS, evt. mit Berufsunfähigkeits-Zusatzversciherung;Generali Deutschland Lebensversicherung AG;B;005008;15.06.2010;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";BasisRente nach Tarif 1FRS;Generali Deutschland Lebensversicherung AG;B;005007;15.06.2010;01.01.2017;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";BasisRente nach Tarif FRS, evtl. mit Berufsunfähigeits-Zusatzversicherung ;Generali Deutschland Lebensversicherung AG;B;005006;15.06.2010;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";BasisRente nach Tarif FRS;Generali Deutschland Lebensversicherung AG;B;005549;02.02.2011;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";Basis Rente nach Tarif 1KRS und 2KRS;Generali Deutschland Lebensversicherung AG;B;005551;02.02.2011;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"AachenMünchener-Platz 1
52064 Aachen";BasisRente STRATEGIE No. 1 nach Tarif GRS;Generali Deutschland Lebensversicherung AG;B;005552;02.02.2011;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 4RG;Generali Deutschland Lebensversicherung AG;A;004842;08.03.2010;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";"BasisRente STRATEGIE No. 1 nach Tarif GRS, evtl. mit Berufsunfähigkeits - Zusatzversicherung;";Generali Deutschland Lebensversicherung AG;B;004902;26.03.2010;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 4RG;Generali Deutschland Lebensversicherung AG;A;005004;15.06.2010;01.03.2013;;;
AachenMünchener Lebensversicherung AG;"Aureliusstraße 2
52064 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 1RG;Generali Deutschland Lebensversicherung AG;A;005005;15.06.2010;01.03.2013;;;
"AachenMünchener Lebensversicherung AG
";"Robert-Schuman-Str. 51
52066 Aachen";PRIVAT-RENTE MIT GARANTIE nach Tarif 3RG (RENTE CHANCE);Generali Deutschland Lebensversicherung AG;A;003808;02.01.2006;01.11.2008;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 1RG;Generali Deutschland Lebensversicherung AG;A;004462;04.03.2009;01.03.2013;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";RiesterRente STRATEGIE No. 1 nach Tarif 4RG;Generali Deutschland Lebensversicherung AG;A;004463;04.03.2009;01.03.2013;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";BasisRente nach Tarif FR und FRS, evtl. mit Berufsunfähigkeits-Zusatzversicherung;Generali Deutschland Lebensversicherung AG;B;004501;21.12.2009;01.03.2013;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";BasisRente nach Tarif 1KRS und 2KRS, evtl. mit Berufsunfähigkeits-Zusatzversicherung;Generali Deutschland Lebensversicherung AG;B;004502;21.12.2009;01.03.2013;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";BasisRente Strategie No. 1 nach Tarif GRS, evtl. mit Berufsunfähigkeits-Zusatzversicherung;Generali Deutschland Lebensversicherung AG;B;004503;21.12.2009;01.03.2013;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";BasisRente nach Tarif FR und 1 FRS;Generali Deutschland Lebensversicherung AG;B;004504;21.12.2009;01.03.2013;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";BasisRente nach Tarif SRS und SRGS;Generali Deutschland Lebensversicherung AG;B;004505;21.12.2009;;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";RENTE PUR nach Tarif FR und FRS, evtl. mit BUZ und HZV;Generali Deutschland Lebensversicherung AG;B;005096;20.08.2010;01.03.2013;;;
AachenMünchener Lebensversicherung Aktiengesellschaft;"Aureliusstr. 2
52064 Aachen";RENTE PUR nach Tarif KR und KRS, evtl. mit BUZ und HZV;Generali Deutschland Lebensversicherung AG;B;005097;20.08.2010;01.03.2013;;;
Aalener Volksbank eG;"Wilhelm-Zapf-Str. 2-6
73430 Aalen";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);VR-Bank Aalen eG Volksbank Raiffeisenbank;A;001333;01.01.2002;;;;
Abtsgmünder Bank - Raiffeisen - eG;"Hauptstr. 13 
73453 Abtsgmünd";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Abtsgmünder Bank - Raiffeisen - eG;A;000987;01.01.2002;08.06.2020;;;
Abtsgmünder Bank-Raiffeisen eG;"Hauptstr. 13
73453 Abtsgmünd";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Abtsgmünder Bank - Raiffeisen - eG;A;002451;01.01.2002;08.06.2020;;;
ACREDOBANK eG;"Färberstr. 1 
90402 Nürnberg 
";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Evangelische Bank eG;A;001128;01.01.2002;;;;
Activest Investmentgesellschaft mbH;"Apianstr. 5
85774 Unterföhring";Activest/FSB Switch Förderplan (BVI-Verbandsmuster eines Altersvorsorgevertrages);Amundi Deutschland GmbH ;A;003071;01.01.2002;01.01.2017;;;
Activest Investmentgesellschaft mbH;"Apianstr. 5
85774 Unterföhring";Activest Switch FörderPlan (BVI-Verbandsmuster eines Altersvorsorgevertrages);Amundi Deutschland GmbH ;A;003501;01.01.2002;01.01.2005;;;
ADIG Allgemeine Deutsche Investment-GmbH;"Richard-Reitzner-Allee 2
85540 Haarhen";Activest Switch FörderPlan (BVI-Verbandsmuster eines Altersvorsorgevertrages);Allianz Global Investors GmbH;A;003500;01.01.2002;01.01.2017;;;
ADIG Allgemeine Deutsche Investment-GmbH;"Richard-Reitzner-Allee 2
85540 Haar";Activest/FSB Switch Förderplan (BVI-Verbandsmuster eines Altersvorsorgevertrages);Allianz Global Investors GmbH;A;003070;01.01.2002;01.01.2017;;;
AEGON Lebensversicherungs-AG;"Kavalleriestr. 2-4
40213 Düsseldorf";MONEYMAXX Zusatzrente mit staatlicher Förderung;MONEYMAXX LebensversicherungsAG;A;003602;02.04.2002;01.01.2006;;;
Allgäuer Volksbank eG Kempten-Sonthofen;"Rathausplatz 12
87435 Kempten ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Allgäuer Volksbank eG Kempten-Sonthofen;A;001388;01.01.2002;;;;
Allgäuer Volksbank eG Kempten-Sonthofen;"Rathausplatz 12 
87435 Kempten ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Allgäuer Volksbank eG Kempten-Sonthofen;A;000767;01.01.2002;;;;
Allgemeine Rentenanstalt Lebensversicherung AG;70163 Stuttgart;FRR - Versicherungsbedingungen (FLV33);Allgemeine Rentenanstalt Lebensversicherung Aktiengesellschaft;A;000703;01.01.2002;01.01.2006;;;
Allianz Asset Management GmbH;"Nymphenburger Str. 112-116
80636 München";"""Allianz FondsVorsorge (Version Juli 2001)""";Allianz Kapitalanlagegesellschaft mbH;A;002645;01.01.2002;01.01.2006;;;
Allianz Dresdner Bauspar AG;"Am Sonnenplatz 1
61118 Bad Vilbel";WohnRiesterPlus;Wüstenrot Bausparkasse Aktiengesellschaft;A;004416;01.11.2008;04.09.2012;;;
Allianz Global Investors Kapitalanlagegesellschaft mbH;"Mainzer Landstr. 11-13
60329 Frankfurt am Main";Allianz Fonds BasisRente;Allianz Global Investors GmbH;B;004826;22.02.2010;01.01.2014;;;
Allianz Global Investors Kapitalanlagegesellschaft mbH;"Mainzer Landstr. 11-13
60329 Frankfurt am Main";Allianz Fonds BasisRente;Allianz Global Investors GmbH;B;004827;22.02.2010;01.01.2014;;;
Allianz Lebensversicherungs AG;"Reinsburgstraße 19
70178 Stuttgart";Presse RiesterRente Invest alpha-Balance (mit Darlehenszusage);Allianz Lebensversicherungs-Aktiengesellschaft;A;005067;18.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente IndexSelect;Allianz Lebensversicherungs-Aktiengesellschaft;A;005068;18.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Presse RiesterRente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;A;005062;17.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Klassik (mit Darlehenszusage);Allianz Lebensversicherungs-Aktiengesellschaft;A;005069;18.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;A;005059;17.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Klassik;Allianz Lebensversicherungs-Aktiengesellschaft;A;005061;17.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Presse RiesterRente IndexSelect (mit Darlehenszusage);Allianz Lebensversicherungs-Aktiengesellschaft;A;005063;17.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente IndexSelect (mit Darlehenszusage);Allianz Lebensversicherungs-Aktiengesellschaft;A;005064;18.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Invest alpha-Balance (mit Darlehenszusage);Allianz Lebensversicherungs-Aktiengesellschaft;A;005065;18.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Presse RiesterRente IndexSelect;Allianz Lebensversicherungs-Aktiengesellschaft;A;005066;18.06.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Klassik (Versorgungsausgleich);Allianz Lebensversicherungs-Aktiengesellschaft;A;004899;26.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente alpha-Balance (Versorgungsausgleich);Allianz Lebensversicherungs-Aktiengesellschaft;A;004898;26.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Klassik (externer Versorgungsausgleich);Allianz Lebensversicherungs-Aktiengesellschaft;A;004938;09.04.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Presse RiesterRente Invest alpha-Balance (Versorgungsausgleich intern);Allianz Lebensversicherungs-Aktiengesellschaft;A;004956;04.05.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Invest alpha-Balance (externer Versorgungsausgleich);Allianz Lebensversicherungs-Aktiengesellschaft;A;004958;04.05.2010;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstr. 19
70178 Stuttgart";Allianz Zukunftsrente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;A;004450;18.12.2008;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstr. 19
70178 Stuttgart";Presse Zukunftsrente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;A;004452;18.12.2008;01.01.2013;;;
Allianz Lebensversicherungs -AG;"Reinsburgstraße 19
70178 Stuttgart";Allianz RiesterRente Klassik (SofortRente Versorgungsausgleich intern);Allianz Lebensversicherungs-Aktiengesellschaft;A;004959;04.05.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Klassik (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005128;29.09.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente IndexSelect (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005127;27.09.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Invest (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005132;27.09.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Invest alpha-Balance (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005129;27.09.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp Klassik (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005108;17.09.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp Invest (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005130;27.09.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisSofortRente Klassik (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005131;27.09.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Klassik;Allianz Lebensversicherungs-Aktiengesellschaft;B;004834;03.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisSofortRente Klassik;Allianz Lebensversicherungs-Aktiengesellschaft;B;004835;03.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;004836;03.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp Klassik;Allianz Lebensversicherungs-Aktiengesellschaft;B;004837;03.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente IndexSelect ;Allianz Lebensversicherungs-Aktiengesellschaft;B;004838;03.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;B;004839;03.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente StartUp Invest;Allianz Lebensversicherungs-Aktiengesellschaft;B;004840;03.03.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente Invest alpha-Balance (VAUS intern);Allianz Lebensversicherungs-Aktiengesellschaft;B;005612;20.04.2011;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente IndexSelect (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005150;04.10.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente Invest alpha-Balance (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005148;04.10.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Presse BasisRente Invest (Bestandsverträge);Allianz Lebensversicherungs-Aktiengesellschaft;B;005149;04.10.2010;01.01.2013;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Invest alpha-Balance;Allianz Lebensversicherungs-Aktiengesellschaft;B;005682;14.11.2011;01.01.2017;;;
Allianz Lebensversicherungs -Aktiengesellschaft;"Reinsburgstraße 19
70178 Stuttgart";Allianz BasisRente Klassik;Allianz Lebensversicherungs-Aktiengesellschaft;B;005683;14.11.2011;01.01.2017;;;
"Allianz Lebensversicherungs -Aktiengesellschaft

Konsortialpartner:
AXA Lebensversicherung AG
HDI-Gerling";"Reinsburgstr. 19
70178 Stuttgart

Colonia Allee 10 - 20
51067 Köln
Gereonshof
50670 Köln";Presse Zukunftsrente klassik;Allianz Lebensversicherungs-Aktiengesellschaft;A;004451;18.12.2008;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";Allianz Zukunftsrente Klassik;Allianz Lebensversicherungs-Aktiengesellschaft;A;004449;18.12.2008;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";"Zukunftsrente Klassik (RiesterRente);";Allianz Lebensversicherungs-Aktiengesellschaft;A;004440;26.11.2008;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";Allianz Riester-Darlehen;Allianz Lebensversicherungs-Aktiengesellschaft;A;004439;14.11.2008;;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";Presse Zukunftsrente Invest alpha-Balance (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;004443;26.11.2008;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";Allianz Zukunftsrente Invest alpha-Balance (RiesterRente);Allianz Lebensversicherungs-Aktiengesellschaft;A;004442;26.11.2008;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";Allianz RiesterRente;Allianz Lebensversicherungs-Aktiengesellschaft;A;003818;01.06.2006;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";Allianz RiesterRente mit Fonds und Garantie;Allianz Lebensversicherungs-Aktiengesellschaft;A;003819;01.06.2006;01.01.2013;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";FondsRente (ohne Eigenbeiträge);Allianz Lebensversicherungs-Aktiengesellschaft;A;000180;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";FondsRente (mit laufenden nicht variablen Beiträgen);Allianz Lebensversicherungs-Aktiengesellschaft;A;000182;01.01.2002;01.12.2012;;;
Allianz Lebensversicherungs-AG;"Reinsburgstr. 19
70178 Stuttgart";PrivatRente (ohne Eigenbeiträge);Allianz Lebensversicherungs-Aktiengesellschaft;A;000183;01.01.2002;01.12.2012;;;
