FID,geom,amenity,operator,operator:wikidata,osm_id,osm_type,editlink,tutoriallink,payment:coins,created_by,note,check_date,brand,brand:wikidata,fee,indoor,covered,model,payment:credit_cards,payment:notes,payment:telephone_cards,payment:cash,source:position,ref,ref2,source,fixme,internet_access,internet_access:fee,internet_access:ssid,brand:wikipedia,operator:wikipedia,payment:debit_cards,booth,payment:american_express,payment:diners_club,payment:jcb,payment:mastercard,payment:others,payment:visa,ref_name,description,sms,video,shelter,payment:electronic_purses,note:de,wheelchair,name,addr:street,designation,contact:phone,phone,lit,support,level,direction,tunnel,emergency,payment:calling_cards,payment:reverse_charge_calls,layer,internet_access:operator,payment:phonecard,colour,button_operated,callable,display
OSM_MRN_amenity_telephone_4326_Point.11,POINT (8.2506667 49.0216578),telephone,Deutsche Telekom AG,,29952141,node,https://www.openstreetmap.org/node/29952141,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.12,POINT (8.3619031 49.6308557),telephone,Deutsche Telekom AG,Q9396,30206381,node,https://www.openstreetmap.org/node/30206381,https://learnosm.org/de/beginner/,,,,2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.13,POINT (8.3604213 49.6280443),telephone,Deutsche Telekom AG,Q9396,30206618,node,https://www.openstreetmap.org/node/30206618,https://learnosm.org/de/beginner/,,,,,Deutsche Telekom,Q9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.14,POINT (8.5044587 49.5017117),telephone,Deutsche Telekom AG,,30561275,node,https://www.openstreetmap.org/node/30561275,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.15,POINT (8.2488086 49.0239723),telephone,Deutsche Telekom AG,,30946112,node,https://www.openstreetmap.org/node/30946112,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.16,POINT (8.2773066 49.0320936),telephone,Deutsche Telekom AG,,30949408,node,https://www.openstreetmap.org/node/30949408,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.17,POINT (8.6147189 49.6738924),telephone,,,36667723,node,https://www.openstreetmap.org/node/36667723,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.18,POINT (8.6214803 49.6785844),telephone,Deutsche Telekom AG,Q9396,36667730,node,https://www.openstreetmap.org/node/36667730,https://learnosm.org/de/beginner/,,,,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.19,POINT (8.5640752 49.5320458),telephone,,,48910879,node,https://www.openstreetmap.org/node/48910879,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.20,POINT (8.5580928 49.4764644),telephone,Deutsche Telekom AG,Q9396,67181460,node,https://www.openstreetmap.org/node/67181460,https://learnosm.org/de/beginner/,no,,,,,,,,no,Basistelefon,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.21,POINT (7.9565829 49.0525669),telephone,Deutsche Telekom AG,Q9396,71620968,node,https://www.openstreetmap.org/node/71620968,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.22,POINT (8.1399436 49.3517004),telephone,Deutsche Telekom AG,Q9396,117417957,node,https://www.openstreetmap.org/node/117417957,https://learnosm.org/de/beginner/,,,,2024-02-06,Deutsche Telekom,Q9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.23,POINT (9.4962879 49.5542479),telephone,,,165138683,node,https://www.openstreetmap.org/node/165138683,https://learnosm.org/de/beginner/,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.24,POINT (8.9866986 49.3558666),telephone,,,198828577,node,https://www.openstreetmap.org/node/198828577,https://learnosm.org/de/beginner/,,JOSM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.25,POINT (8.4167707 49.5029162),telephone,Deutsche Telekom AG,,215947064,node,https://www.openstreetmap.org/node/215947064,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.26,POINT (8.2860297 49.4767247),telephone,Deutsche Telekom AG,,247369766,node,https://www.openstreetmap.org/node/247369766,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.27,POINT (8.2727709 49.0460888),telephone,Deutsche Telekom AG,Q9396,248113461,node,https://www.openstreetmap.org/node/248113461,https://learnosm.org/de/beginner/,,,,2022-11-20,,,,,booth,,,,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.28,POINT (8.1341685 49.265224),telephone,Deutsche Telekom AG,Q9396,262350451,node,https://www.openstreetmap.org/node/262350451,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.29,POINT (8.4598127 49.5942106),telephone,,,267398701,node,https://www.openstreetmap.org/node/267398701,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.30,POINT (8.6917345 49.4131404),telephone,Deutsche Telekom AG,Q9396,267889560,node,https://www.openstreetmap.org/node/267889560,https://learnosm.org/de/beginner/,yes,,,2023-11-08,,,,,,,,,yes,,HiRes aerial imagery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.31,POINT (8.69027 49.4147347),telephone,Deutsche Telekom,,267889569,node,https://www.openstreetmap.org/node/267889569,https://learnosm.org/de/beginner/,yes,,,2023-06-26,,,,,yes,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.32,POINT (8.3712066 49.6349699),telephone,Deutsche Telekom AG,,270781643,node,https://www.openstreetmap.org/node/270781643,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.33,POINT (8.2477538 49.3594819),telephone,Deutsche Telekom,,271104701,node,https://www.openstreetmap.org/node/271104701,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.34,POINT (8.36047 49.645722),telephone,Deutsche Telekom AG,Q9396,271330648,node,https://www.openstreetmap.org/node/271330648,https://learnosm.org/de/beginner/,,,,,Deutsche Telekom,Q9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.35,POINT (8.0200917 49.0445262),telephone,Deutsche Telekom AG,Q9396,274810462,node,https://www.openstreetmap.org/node/274810462,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.36,POINT (8.470097 49.596234),telephone,,,275563829,node,https://www.openstreetmap.org/node/275563829,https://learnosm.org/de/beginner/,,,,2021-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.37,POINT (8.5945133 49.3923393),telephone,Deutsche Telekom AG,,276024949,node,https://www.openstreetmap.org/node/276024949,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.38,POINT (8.471356 49.594875),telephone,,,277195847,node,https://www.openstreetmap.org/node/277195847,https://learnosm.org/de/beginner/,,Arktos mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.39,POINT (8.487145 49.587105),telephone,,,277672773,node,https://www.openstreetmap.org/node/277672773,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.40,POINT (8.586746 49.59841),telephone,,,281949718,node,https://www.openstreetmap.org/node/281949718,https://learnosm.org/de/beginner/,,Arktos mobile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.41,POINT (8.1407964 48.9814222),telephone,Deutsche Telekom,,283102053,node,https://www.openstreetmap.org/node/283102053,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.42,POINT (8.422011 49.3153608),telephone,Deutsche Telekom AG,,290505104,node,https://www.openstreetmap.org/node/290505104,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.43,POINT (8.1036304 49.1372039),telephone,Deutsche Telekom AG,Q9396,290570351,node,https://www.openstreetmap.org/node/290570351,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.44,POINT (9.022189 49.3655744),telephone,,,291446835,node,https://www.openstreetmap.org/node/291446835,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.45,POINT (8.1863655 49.0959471),telephone,Deutsche Telekom AG,Q9396,291804439,node,https://www.openstreetmap.org/node/291804439,https://learnosm.org/de/beginner/,no,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.46,POINT (8.1674024 49.3714535),telephone,Deutsche Telekom,,292918738,node,https://www.openstreetmap.org/node/292918738,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.47,POINT (8.7603401 49.4178953),telephone,Deutsche Telekom AG,,294829389,node,https://www.openstreetmap.org/node/294829389,https://learnosm.org/de/beginner/,,,,2024-07-10,,,,,,,,,,,HiRes aerial imagery,622100805306,Kleingemünder Straße 33,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.48,POINT (8.3124543 49.3605591),telephone,Deutsche Telekom AG,,295380364,node,https://www.openstreetmap.org/node/295380364,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,Noch existent? Bei Vorbeifahrt nicht gesehen.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.49,POINT (8.7600868 49.6238258),telephone,Deutsche Telekom AG,Q9396,298505753,node,https://www.openstreetmap.org/node/298505753,https://learnosm.org/de/beginner/,yes,,,,,,,,,,yes,,yes,,,6253000223114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.50,POINT (8.7023328 49.5786303),telephone,Telekom,,298521367,node,https://www.openstreetmap.org/node/298521367,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.51,POINT (8.4498378 49.4723134),telephone,Deutsche Telekom AG,,300792509,node,https://www.openstreetmap.org/node/300792509,https://learnosm.org/de/beginner/,yes,,,2023-05-08,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.52,POINT (8.6876241 49.3804141),telephone,Deutsche Telekom AG,Q9396,300961046,node,https://www.openstreetmap.org/node/300961046,https://learnosm.org/de/beginner/,yes,,,2023-03-16,,,,,,,yes,,yes,,,6221/337675,Karlsruher Straße 96 / Marktplatz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.53,POINT (8.3244098 49.5590957),telephone,Deutsche Telekom AG,,302277209,node,https://www.openstreetmap.org/node/302277209,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.54,POINT (8.7147489 49.6157943),telephone,Deutsche Telekom AG,Q9396,303625075,node,https://www.openstreetmap.org/node/303625075,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.55,POINT (8.6767013 49.4044978),telephone,Deutsche Telekom AG,,309414392,node,https://www.openstreetmap.org/node/309414392,https://learnosm.org/de/beginner/,no,,,2024-05-22,,,,no,,,,,,,,,,,Ist das noch aktiv? Prüfen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.56,POINT (8.6872044 49.4033603),telephone,Deutsche Telekom AG,,309437271,node,https://www.openstreetmap.org/node/309437271,https://learnosm.org/de/beginner/,yes,,,2024-02-27,,,,,,,,,,,,622100600306,Kaiserstraße,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.57,POINT (8.7987176 49.3403283),telephone,,,311382533,node,https://www.openstreetmap.org/node/311382533,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,HiRes aerial imagery,622600078107,"Mauer, Heidelbergerstraße",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.58,POINT (8.3893387 49.533528),telephone,Deutsche Telekom AG,,311973577,node,https://www.openstreetmap.org/node/311973577,https://learnosm.org/de/beginner/,,,,,,,yes,no,,,,,,,,,,,,wlan,customers,Telekom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.59,POINT (9.3156696 49.4780086),telephone,Deutsche Telekom AG,,314472734,node,https://www.openstreetmap.org/node/314472734,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.60,POINT (8.6305678 49.3501655),telephone,Deutsche Telekom AG,Q9396,315315526,node,https://www.openstreetmap.org/node/315315526,https://learnosm.org/de/beginner/,yes,,,,Deutsche Telekom,Q9396,,,,,,,,,,,,,,,,,de:Deutsche Telekom,de:Deutsche Telekom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.61,POINT (8.5913584 49.3689923),telephone,Deutsche Telekom AG,,325836442,node,https://www.openstreetmap.org/node/325836442,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.62,POINT (8.7990902 49.5660717),telephone,Deutsche Telekom AG,,335790435,node,https://www.openstreetmap.org/node/335790435,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.63,POINT (8.6142969 49.5143043),telephone,Deutsche Telekom AG,Q9396,335951370,node,https://www.openstreetmap.org/node/335951370,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.64,POINT (8.0814578 49.1379943),telephone,Deutsche Telekom AG,Q9396,344526595,node,https://www.openstreetmap.org/node/344526595,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.65,POINT (8.6279196 49.6428687),telephone,Deutsche Telekom AG,Q9396,344774540,node,https://www.openstreetmap.org/node/344774540,https://learnosm.org/de/beginner/,yes,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.66,POINT (8.0025268 49.1029106),telephone,Deutsche Telekom AG,Q9396,345428000,node,https://www.openstreetmap.org/node/345428000,https://learnosm.org/de/beginner/,,,,2020-10,Deutsche Telekom,Q9396,,,,TeleStation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.67,POINT (8.1028128 49.1905486),telephone,Deutsche Telekom AG,Q9396,346550111,node,https://www.openstreetmap.org/node/346550111,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.68,POINT (8.6657314 49.5306362),telephone,T-Com,,352984279,node,https://www.openstreetmap.org/node/352984279,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.69,POINT (8.5686934 49.3200529),telephone,Deutsche Telekom AG,,356337278,node,https://www.openstreetmap.org/node/356337278,https://learnosm.org/de/beginner/,yes,,,2019-02,Deutsche Telekom,,,,booth,TelH90,,no,yes,,,620500005490,,,,,,,,,,TelH_90,yes,yes,yes,yes,no,yes,Raststätte Hockenheim,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.70,POINT (8.3293143 49.4715872),telephone,Deutsche Telekom AG,Q9396,358441204,node,https://www.openstreetmap.org/node/358441204,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.71,POINT (8.620011 49.6357076),telephone,Deutsche Telekom AG,,370399119,node,https://www.openstreetmap.org/node/370399119,https://learnosm.org/de/beginner/,yes,,,,,,,,,,yes,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.72,POINT (9.4847666 49.5802541),telephone,Deutsche Telekom AG,Q9396,384955604,node,https://www.openstreetmap.org/node/384955604,https://learnosm.org/de/beginner/,,,,,Deutsche Telekom,Q9396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.73,POINT (8.509967 49.511978),telephone,Deutsche Telekom AG,,387800942,node,https://www.openstreetmap.org/node/387800942,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.74,POINT (8.5535962 49.6433356),telephone,T-Com,,399826187,node,https://www.openstreetmap.org/node/399826187,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.75,POINT (8.5552644 49.4629489),telephone,Deutsche Telekom AG,,403187914,node,https://www.openstreetmap.org/node/403187914,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.76,POINT (8.4947379 49.4300245),telephone,Deutsche Telekom AG,,410143548,node,https://www.openstreetmap.org/node/410143548,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.77,POINT (8.343825 49.2969677),telephone,Deutsche Telekom,,413929943,node,https://www.openstreetmap.org/node/413929943,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.78,POINT (8.6321617 49.3504311),telephone,Deutsche Telekom AG,Q9396,416053218,node,https://www.openstreetmap.org/node/416053218,https://learnosm.org/de/beginner/,,,,,Deutsche Telekom,Q9396,,,,,,,,,,,,,,,,,de:Deutsche Telekom,de:Deutsche Telekom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.79,POINT (8.5868818 49.3943361),telephone,Deutsche Telekom AG,Q9396,416072033,node,https://www.openstreetmap.org/node/416072033,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.80,POINT (8.4241875 49.4196142),telephone,Deutsche Telekom AG,Q9396,416077685,node,https://www.openstreetmap.org/node/416077685,https://learnosm.org/de/beginner/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OSM_MRN_amenity_telephone_4326_Point.81,POINT (8.665918 49.4767903),telephone,Deutsche Telekom AG,,420356736,node,https://www.openstreetmap.org/node/420356736,https://learnosm.org/de/beginner/,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
