;1. Start des Fragebogens;1. Start des Fragebogens;1. Start des Fragebogens;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;2. Büro;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;3. Zuhause;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;4. Mobilität;5. Demographische Daten;5. Demographische Daten;6. Stromspiegel;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;6. Optionale Angaben;7. Abschluss des Fragebogens
1096750;Ja;Ministerium der Justiz;Ja;immer;nie;nie;immer;immer;nie;immer;k. A.;Nein;nie;immer;immer;immer;nie;Ja;oft;selten;immer;immer;immer;immer;immer;oft;immer;immer;gelegentlich;nie;immer;immer;;nie;immer;immer;immer;immer;gelegentlich;immer;;oft;oft;immer;k. A.;selten;k. A.;nie;immer;selten;k. A.;Ja;50-59;männlich;Ja;Wohnung;Mit Strom;1;1.300;Ja
1096755;Ja;Ministerium der Justiz;Ja;oft;nie;nie;immer;immer;nie;immer;k. A.;Nein;selten;immer;immer;immer;;Ja;selten;gelegentlich;oft;nie;k. A.;immer;immer;oft;immer;nie;nie;oft;immer;nie;Nein;selten;oft;immer;immer;immer;oft;nie;Ja;gelegentlich;gelegentlich;nie;nie;gelegentlich;nie;oft;nie;selten;immer;Nein;40-49;weiblich;Nein;;;;;Ja
1096758;Ja;Ministerium der Justiz;Nein;nie;nie;nie;immer;nie;nie;nie;k. A.;Nein;selten;immer;oft;oft;nie;Nein;nie;selten;;;;;;;;;;;;;;;;;;;;;;;;nie;nie;nie;nie;nie;nie;nie;nie;Nein;18-29;weiblich;Nein;;;;;Ja
1096759;Ja;Ministerium der Justiz;Ja;immer;nie;nie;immer;immer;nie;immer;k. A.;Ja;nie;immer;selten;immer;nie;Ja;gelegentlich;gelegentlich;immer;nie;nie;immer;oft;nie;immer;nie;k. A.;nie;immer;nie;Ja;selten;immer;gelegentlich;oft;oft;nie;nie;Ja;oft;gelegentlich;immer;nie;immer;nie;nie;oft;selten;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1096761;Ja;Ministerium der Justiz;Nein;immer;nie;nie;immer;immer;immer;immer;k. A.;Ja;nie;immer;immer;immer;nie;Ja;oft;oft;oft;nie;immer;immer;immer;immer;immer;immer;immer;selten;immer;nie;Ja;nie;immer;immer;immer;immer;selten;nie;Ja;selten;oft;immer;nie;immer;nie;k. A.;gelegentlich;nie;k. A.;k. A.;50-59;weiblich;Nein;;;;;Ja
1096763;Ja;Ministerium der Justiz;Nein;gelegentlich;nie;immer;immer;immer;nie;oft;k. A.;Ja;nie;immer;oft;gelegentlich;nie;Ja;selten;gelegentlich;gelegentlich;nie;immer;immer;immer;gelegentlich;immer;nie;selten;oft;oft;selten;Ja;nie;immer;oft;selten;immer;nie;nie;Ja;selten;gelegentlich;nie;nie;selten;nie;oft;selten;selten;immer;Nein;18-29;weiblich;Ja;Wohnung;Ohne Strom;2;1.400;Ja
1096767;Ja;Ministerium der Justiz;Nein;gelegentlich;nie;nie;oft;immer;immer;immer;k. A.;Ja;nie;oft;immer;immer;nie;Ja;selten;selten;selten;nie;selten;oft;oft;immer;immer;oft;gelegentlich;oft;oft;oft;Ja;gelegentlich;oft;oft;immer;immer;;immer;Ja;oft;oft;immer;nie;immer;nie;nie;immer;immer;k. A.;Ja;60-69;weiblich;Ja;Wohnung;Ohne Strom;2;2.000;Ja
1096770;Ja;Ministerium der Finanzen;Ja;nie;nie;nie;immer;immer;immer;immer;immer;Nein;nie;immer;gelegentlich;nie;selten;Ja;selten;selten;nie;nie;immer;immer;immer;immer;immer;immer;immer;immer;immer;immer;Nein;selten;immer;immer;immer;immer;gelegentlich;immer;Ja;oft;oft;immer;nie;oft;nie;selten;oft;selten;immer;Nein;40-49;männlich;Ja;Haus;Mit Strom;4;4.500;Ja
1096774;Ja;Ministerium der Justiz;Nein;immer;gelegentlich;gelegentlich;gelegentlich;immer;nie;selten;immer;Ja;nie;gelegentlich;oft;gelegentlich;selten;Ja;nie;gelegentlich;immer;gelegentlich;oft;oft;oft;gelegentlich;gelegentlich;nie;selten;oft;immer;nie;Ja;selten;oft;oft;nie;immer;selten;nie;Ja;oft;gelegentlich;nie;nie;nie;nie;oft;nie;selten;oft;Nein;40-49;männlich;Ja;Haus;Ohne Strom;5;4.000;Ja
1096776;Ja;Ministerium der Justiz;Nein;oft;nie;nie;immer;k. A.;nie;immer;nie;Ja;nie;immer;immer;nie;oft;Nein;nie;gelegentlich;selten;selten;nie;immer;nie;nie;immer;nie;nie;oft;immer;immer;Nein;gelegentlich;immer;gelegentlich;selten;oft;oft;immer;Ja;oft;oft;nie;nie;gelegentlich;nie;gelegentlich;nie;selten;immer;Nein;30-39;männlich;Ja;Haus;Mit Strom;3;7.200;Ja
1096777;Ja;Ministerium der Justiz;Nein;immer;nie;immer;immer;immer;nie;immer;k. A.;Ja;nie;immer;gelegentlich;immer;selten;k. A.;oft;oft;immer;nie;immer;immer;immer;nie;immer;nie;oft;gelegentlich;immer;immer;Ja;nie;immer;gelegentlich;immer;immer;selten;immer;k. A.;oft;oft;nie;k. A.;nie;nie;selten;nie;nie;immer;Nein;50-59;männlich;Ja;Haus;Ohne Strom;2;12.000;Ja
1096785;Ja;Ministerium der Justiz;Ja;nie;nie;nie;immer;immer;nie;immer;k. A.;Nein;nie;immer;selten;nie;nie;Ja;gelegentlich;gelegentlich;immer;immer;k. A.;immer;immer;nie;immer;immer;immer;nie;immer;nie;Nein;nie;immer;gelegentlich;nie;immer;oft;nie;Ja;gelegentlich;gelegentlich;nie;nie;nie;nie;nie;oft;nie;immer;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;2;1.500;Ja
1096791;Ja;Ministerium der Justiz;Ja;selten;nie;selten;oft;immer;selten;immer;k. A.;Ja;nie;immer;immer;immer;selten;Ja;gelegentlich;gelegentlich;oft;oft;immer;immer;oft;immer;oft;nie;k. A.;oft;immer;oft;;nie;immer;immer;immer;oft;gelegentlich;gelegentlich;Ja;gelegentlich;gelegentlich;nie;nie;nie;k. A.;immer;nie;oft;immer;Nein;40-49;männlich;Ja;Haus;Ohne Strom;2;5.000;Ja
1096792;Ja;Ministerium der Justiz;Nein;gelegentlich;nie;immer;immer;oft;immer;immer;immer;Ja;nie;immer;oft;oft;nie;Ja;;gelegentlich;immer;nie;immer;immer;gelegentlich;immer;immer;nie;immer;gelegentlich;oft;nie;Ja;selten;oft;gelegentlich;gelegentlich;gelegentlich;oft;nie;Ja;;oft;nie;nie;nie;nie;immer;nie;nie;oft;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;1;2.200;Ja
1096795;Ja;Ministerium der Justiz;Nein;gelegentlich;selten;selten;oft;immer;nie;oft;immer;Nein;nie;oft;oft;gelegentlich;nie;Ja;selten;selten;gelegentlich;selten;immer;immer;immer;immer;immer;immer;oft;nie;oft;immer;Nein;selten;immer;immer;immer;immer;gelegentlich;immer;Ja;oft;oft;nie;nie;nie;nie;gelegentlich;selten;nie;gelegentlich;Nein;30-39;weiblich;Nein;;;;;Ja
1096799;Ja;Ministerium der Justiz;Nein;nie;nie;nie;immer;oft;nie;immer;oft;Nein;oft;immer;gelegentlich;immer;immer;Ja;gelegentlich;selten;oft;nie;nie;immer;gelegentlich;nie;nie;immer;oft;gelegentlich;oft;nie;Nein;immer;immer;oft;nie;oft;immer;nie;Ja;gelegentlich;gelegentlich;nie;nie;nie;nie;oft;selten;gelegentlich;oft;Nein;30-39;weiblich;Ja;Wohnung;Ohne Strom;2;1.800;Ja
1096800;Ja;Staatskanzlei;Nein;immer;nie;nie;immer;immer;immer;immer;k. A.;Ja;nie;nie;gelegentlich;oft;nie;Nein;selten;selten;k. A.;k. A.;k. A.;immer;immer;oft;immer;nie;oft;selten;immer;nie;k. A.;selten;selten;gelegentlich;oft;gelegentlich;selten;nie;Ja;immer;gelegentlich;nie;nie;k. A.;k. A.;oft;nie;nie;immer;Nein;40-49;weiblich;Ja;Wohnung;Ohne Strom;3;2.500;Ja
1096802;Nein;Ministerium der Justiz;Nein;nie;nie;immer;immer;immer;nie;k. A.;k. A.;Ja;nie;immer;oft;selten;nie;Ja;nie;oft;selten;nie;immer;immer;immer;oft;selten;selten;selten;oft;immer;oft;Ja;nie;immer;immer;oft;immer;selten;nie;Ja;gelegentlich;immer;nie;nie;nie;k. A.;nie;nie;selten;immer;Nein;30-39;weiblich;Ja;Haus;Ohne Strom;4;3.131;Ja
1096803;Ja;Ministerium der Justiz;Nein;immer;immer;immer;immer;gelegentlich;gelegentlich;immer;gelegentlich;Ja;oft;selten;gelegentlich;selten;gelegentlich;k. A.;gelegentlich;gelegentlich;immer;immer;immer;immer;gelegentlich;gelegentlich;oft;nie;gelegentlich;oft;immer;selten;Ja;gelegentlich;oft;oft;gelegentlich;immer;oft;selten;Ja;gelegentlich;gelegentlich;nie;nie;nie;nie;immer;nie;gelegentlich;gelegentlich;Nein;18-29;weiblich;Nein;;;;;Ja
1096810;Ja;Ministerium der Justiz;Nein;nie;nie;nie;immer;immer;nie;immer;k. A.;Ja;nie;selten;k. A.;k. A.;nie;Ja;selten;nie;gelegentlich;immer;nie;immer;oft;nie;oft;nie;immer;oft;immer;immer;Ja;selten;immer;gelegentlich;selten;immer;oft;immer;Ja;gelegentlich;nie;nie;nie;oft;selten;immer;nie;selten;oft;Nein;40-49;männlich;Ja;Haus;Ohne Strom;4;3.525;Ja
1096812;Ja;Ministerium der Justiz;Nein;immer;k. A.;gelegentlich;oft;immer;immer;k. A.;k. A.;Nein;nie;gelegentlich;oft;oft;nie;Ja;k. A.;k. A.;k. A.;k. A.;immer;oft;oft;oft;selten;gelegentlich;oft;nie;oft;selten;Nein;nie;selten;oft;oft;immer;gelegentlich;nie;Ja;k. A.;gelegentlich;immer;k. A.;gelegentlich;k. A.;oft;oft;k. A.;oft;Nein;30-39;weiblich;Nein;;;;;Ja
1096816;Ja;Ministerium der Justiz;Nein;gelegentlich;nie;nie;immer;gelegentlich;nie;gelegentlich;oft;k. A.;nie;nie;gelegentlich;selten;nie;Ja;gelegentlich;gelegentlich;gelegentlich;nie;nie;immer;oft;immer;immer;nie;immer;k. A.;immer;gelegentlich;Nein;selten;immer;gelegentlich;immer;selten;nie;nie;Ja;oft;gelegentlich;gelegentlich;nie;selten;nie;gelegentlich;gelegentlich;selten;oft;Nein;50-59;weiblich;Ja;Haus;Ohne Strom;2;1.500;Ja
1096824;Ja;Ministerium der Justiz;Nein;immer;nie;immer;immer;immer;nie;immer;k. A.;Ja;nie;immer;immer;nie;nie;Ja;gelegentlich;gelegentlich;immer;nie;immer;immer;immer;immer;immer;nie;gelegentlich;nie;immer;;Ja;nie;immer;immer;nie;immer;gelegentlich;;Ja;immer;gelegentlich;nie;nie;nie;nie;gelegentlich;gelegentlich;nie;;Nein;40-49;weiblich;Ja;Haus;Ohne Strom;5;4.000;Ja
1096827;Ja;Ministerium der Justiz;Nein;nie;gelegentlich;immer;immer;gelegentlich;selten;k. A.;k. A.;;selten;immer;oft;immer;nie;k. A.;gelegentlich;gelegentlich;nie;immer;k. A.;immer;immer;immer;immer;immer;oft;nie;immer;nie;Nein;nie;immer;immer;immer;immer;nie;nie;Ja;gelegentlich;gelegentlich;immer;nie;oft;nie;nie;immer;nie;immer;Ja;30-39;weiblich;Ja;Wohnung;Ohne Strom;1;600;Ja
1096830;Ja;Ministerium der Justiz;Nein;immer;gelegentlich;gelegentlich;immer;immer;oft;immer;immer;Ja;selten;immer;oft;immer;selten;Ja;selten;selten;immer;gelegentlich;immer;immer;oft;gelegentlich;immer;nie;immer;oft;oft;nie;Ja;selten;immer;immer;immer;immer;selten;nie;Ja;oft;oft;gelegentlich;nie;selten;nie;oft;gelegentlich;nie;oft;Nein;50-59;männlich;Nein;;;;;Ja
1096835;Nein;Ministerium der Justiz;Nein;immer;nie;nie;immer;k. A.;immer;immer;k. A.;Ja;nie;nie;selten;k. A.;oft;;nie;nie;nie;nie;k. A.;immer;immer;immer;immer;nie;gelegentlich;nie;immer;nie;Ja;nie;nie;gelegentlich;nie;immer;oft;nie;k. A.;nie;nie;nie;nie;nie;k. A.;immer;nie;nie;immer;Nein;30-39;weiblich;Ja;Haus;Ohne Strom;2;2.000;Ja
1096839;Ja;Ministerium der Justiz;Nein;immer;immer;nie;immer;immer;nie;immer;immer;Nein;nie;immer;selten;selten;nie;Ja;gelegentlich;oft;immer;immer;immer;immer;immer;oft;selten;oft;immer;nie;oft;immer;Nein;nie;immer;immer;k. A.;immer;nie;immer;Ja;immer;immer;selten;nie;nie;nie;selten;gelegentlich;nie;immer;Nein;30-39;männlich;Ja;Haus;Mit Strom;4;2.750;Ja
1096840;Ja;Ministerium der Justiz;Nein;gelegentlich;nie;selten;oft;immer;selten;immer;immer;Nein;nie;immer;immer;selten;selten;Ja;oft;oft;oft;nie;immer;immer;oft;oft;immer;gelegentlich;gelegentlich;nie;immer;nie;Nein;nie;immer;immer;oft;immer;gelegentlich;nie;Ja;oft;oft;oft;nie;gelegentlich;nie;selten;gelegentlich;selten;immer;Nein;50-59;weiblich;Nein;;;;;Ja
1096841;Ja;Ministerium der Justiz;Ja;immer;nie;nie;immer;k. A.;gelegentlich;immer;k. A.;Ja;nie;immer;immer;nie;k. A.;Ja;nie;gelegentlich;immer;nie;k. A.;gelegentlich;gelegentlich;nie;nie;nie;k. A.;nie;immer;nie;Ja;oft;immer;immer;nie;immer;immer;nie;Ja;gelegentlich;gelegentlich;immer;nie;k. A.;k. A.;selten;nie;selten;nie;Nein;40-49;weiblich;Nein;;;;;Ja
1096842;Nein;Ministerium der Justiz;Nein;immer;;nie;immer;gelegentlich;nie;immer;immer;Ja;nie;k. A.;immer;immer;oft;Ja;selten;gelegentlich;immer;immer;nie;immer;gelegentlich;nie;gelegentlich;nie;immer;oft;immer;oft;Ja;nie;gelegentlich;immer;immer;oft;oft;oft;Ja;gelegentlich;gelegentlich;immer;nie;k. A.;k. A.;selten;oft;k. A.;k. A.;Ja;60-69;weiblich;Nein;;;;;Ja
