id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
11;;;"Anne Frank Zentrum";"Das Anne Frank Zentrum ist die deutsche Partnerorganisation des Anne Frank Hauses in Amsterdam und erinnert an das Wirken der Anne Frank.";;"ermäßigter Eintritt";https://www.annefrank.de/;"Rosenthaler Str. 39";"10178 Berlin";nein;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;blauhorn@annefrank.de;;;;"2024-12-08 15:22:34";"2025-05-22 16:45:14"
12;;;Anti-Kriegs-Museum;"Das Anti-Kriegs-Mueseum ist das weltweit erste Museum gegen den Krieg und wurde vom anarchistisch-pazifistischen Kriegsgegner Ernst Friedrich 1925 gegründet.";;"freier Eintritt für alle Besucher*innen";www.anti-kriegs-museum.de/;"Brüsseler Str. 21";"13353 Berlin";ja;Kultur;"Erwachsene, Senioren";;;;anti-kriegs-museum@gmx.de;;;;"2024-12-09 15:22:34";"2025-05-22 16:48:14"
13;;;"Anti-Stalking-Projekt mit Fachbereich Cyberstalking";"Das Anti-Stalking-Projekt mit Sitz in Berlin-Friedrichshain bietet drei kostenlose Beratungen für Frauen*, die von Stalking und/oder Cyberstalking betroffen sind, an.";;"kostenlose Nutzung aller Beratungen zu Stalking, digitalem Stalking und IT-Sicherheit sowie den Gruppenangeboten und Informationsveranstaltungen";www.anti-stalking-projekt.de;"Petersburger Str. 94";"10247 Berlin";ja;"Bildung & Beratung";"Erwachsene, Senioren, Familie";ja;;Laila;oeffentlichkeitsarbeit@anti-stalking-projekt.de;;;;"2024-12-10 15:22:34";"2025-06-03 13:17:18"
15;;;"Architekturmuseum der TU";"Das Architekturmuseum der Technischen Universität Berlin ist eine Sammlung von Architekturzeichnungen überwiegend preußischer und deutscher Architekten des 18. bis 21. Jahrhunderts.";;"freier Eintritt für alle Besucher*innen";https://architekturmuseum.ub.tu-berlin.de/;"Str. des 17. Juni 150";"10623 Berlin";ja;Kultur;"Erwachsene, Senioren, Familie";;;;pressestelle@tu-berlin.de;;;;"2024-12-12 15:22:34";"2025-06-04 14:36:19"
16;;;"Astrid-Lindgren-Bühne im FEZ-Berlin";"Die Astrid-Lindgren-Bühne eröffnet Kindern die Welt des Theater, voller Abenteuer, Fantasie, Musik und Poesie.";;"ermäßigter Eintritt je nach Programm";https://astrid-lindgren-buehne.fez-berlin.de/;"Str. zum FEZ 2";"12459 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;Frau;"Marion Gusella";M.Gusella@FEZ-Berlin.de;;;;"2024-12-13 15:22:34";"2025-06-04 14:39:19"
17;;;"Atelier Shoyosei, Claudia Speer";"Atelier für Japanische Kunst";;"40% Ermäßigung auf Shodo - Japanische Kalligraphie Workshops";http://www.claudiaspeer.de/;"Marschnerstraße 15";"12203 Berlin";nein;"Bildung & Beratung";"Kinder, Erwachsene, Familie";;;;shoyosei@gmx.de;;;;"2024-12-14 15:22:34";"2025-06-06 09:57:23"
18;;;"Atze Musiktheater GmbH";"Das Atze Musiktheater ist ein Musiktheater für Kinder in Berlin.";;"""3 Euro Ticket"""", Nachweis-Inhaber*innen können je nach Verfügbarkeit ein ermäßigtes Ticket für Veranstaltungen kaufen. Bitte zeigen Sie beim Kauf den entsprechenden Ausweis vor. Ausgenommen davon sind Sonder- und Gastveranstaltungen.""";www.atzeberlin.de;"Luxemburger Str. 20";"13353 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;tickets@atzeberlin.de;;;;"2024-12-15 15:22:34";"2025-06-04 14:40:15"
19;;;Babylon;"Das Babylon ist ein Kino im Berliner Ortsteil Mitte, das Teil eines denkmalgeschützten Gebäudekomplexes am Rosa-Luxemburg-Platz gegenüber der Volksbühne ist.";;"Freier Eintritt für bestimmte Veranstaltungen:
jeden Samstag Stummfilm um Mitternacht - Null Uhr für Null Euro, KinderKinoBus kostenlos für Kitas und Grundschulen";https://babylonberlin.eu/;"Rosa-Luxemburg-Str. 30";"10178 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;Herr;Grossmann;grossman@babylonberlin.de;;;;"2024-12-16 15:22:34";"2025-06-06 09:58:45"
20;;;"Babylon Kreuzberg";"Das Babylon Kreuzberg ist ein Berliner Programmkino mit zwei Sälen, in denen ausschließlich Filme in der Originalfassung gezeigt werden. ";;"ermäßigter Eintritt, Mo-Do ganztägig, am Freitag bis einschließlich 18 Uhr. Nicht gültig an Feiertagen und bei Sonderveranstaltungen.";http://www.yorck.de/preise-angebote;"Dresdener Str. 126";"10999 Berlin";nein;Freizeit;"Erwachsene, Senioren, Familie";;Frau;Steinhau;steinhau@yorck.de;;;;"2024-12-17 15:22:34";"2025-06-04 14:41:17"
21;;;"BALI Kino Berlin";"Das Kino mit politischen Wurzeln in der Nachkriegsära bietet ein gehobenes Filmprogramm und Themenabende.";;"ermäßigter Eintritt Kindervorstellung 5 Euro für Erwachsene, Abendvorstellung 8 Euro für Erwachsene";http://www.balikino-berlin.de/;"Teltower Damm 33";"14169 Berlin";nein;Freizeit;"Kinder, Erwachsene, Familie, Senioren";ja;Herr;"Andreas Neun";info@balikino-berlin.de;ja;;;"2024-12-18 15:22:34";"2025-06-04 14:42:30"
22;;;"Ballettschule Sabine Roth";"Der Schwerpunkt der Schule liegt im Ballettunterricht für Kinder, Jugendliche und Erwachsene";;"ermäßigte Kursgebühren nach Absprache";https://www.ballettschule-roth.de/;"Bergmannstraße 5";"10965 Berlin";nein;"Bildung & Beratung";"Kinder, Erwachsene";;Frau;Roth;sabine.roth26@t-online.de;;;;"2024-12-19 15:22:34";"2025-06-04 14:43:09"
23;;;"Ballhaus Naunynstraße";"Das Ballhaus Naunynstraße ist ein Berliner Theater mit Programmschwerpunkt auf postmigrantischen Kulturproduktionen.";;"""3 Euro Ticket"""" An der Abendkasse nach Verfügbarkeit ab 30 Minuten vor Vorstellungsbeginn, keine Reservierungen, gilt nicht für Premieren und Sonderveranstaltungen""";https://ballhausnaunynstrasse.de/;"Naunynstraße 27";"10997 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;;;a.ramos@ballhausnaunynstrasse.de;;;;"2024-12-20 15:22:34";"2025-06-06 09:55:13"
25;;;"Berlin Dungeon";"Berlin Dungeon ist eine Touristenattraktion einer Kette, zu der auch das London Dungeon und das Hamburg Dungeon gehören. Es bietet eine Reise durch Berlins dunkle Geschichte in einem von Schauspielern geführten, interaktiven Erlebnis.";;"Bei Vorlage des Nachweises erhalten Sie zwei Karten zum Preis von einer (nicht kombinierbar mit anderen Rabatten). Gültig von Mo-Fr ab 15 Uhr. Kinder bis einschließlich 14 Jahren haben nur in Begleitung Erwachsener Zutritt. Das Berlin Dungeon wird für Kinder ab 10 Jahren empfohlen. Unter 8 Jahren gewähren wir keinen Eintritt.";https://www.thedungeons.com/berlin/;"Spandauer Str. 2";"10178 Berlin";nein;Freizeit;"Kinder, Familie";;;"Daniel Zschoke";Daniel.Zschoke@merlinentertainments.biz;;;;"2024-12-22 15:22:34";"2025-06-06 10:45:51"
26;;;"Berliner Büchertisch";"Seit 20 Jahren bringen wir Bücher und Menschen zusammen. Wir setzen uns für eine solidarische Gemeinschaft in unserem Neuköllner Kiez ein und fördern die Freude am Lesen.";;"20 % Rabatt auf gebrauchte Bücher, Schallplatten und CDs. Neubuchbestellungen und Bücher aus dem Webshop sind vom Angebot ausgeschlossen.  Kinder und Jugendliche bis 16 Jahre können bei jedem Besuch kostenlos ein Buch aus dem Bestand ""Ein Kind, ein Buch"""" in unseren Läden und unserem Kinderbuchregal in Neukölln mitnehmen.""";www.buechertisch.org;"Gneisenaustraße 7a";"10961 Berlin";nein;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;"Cornelia Temesvari";cornelia.temesvari@buechertisch.org;;;;"2024-12-23 15:22:34";"2025-06-06 10:48:18"
27;;;"Berliner Dom";"Der Berliner Dom am Lustgarten auf der Museumsinsel ist eine evangelische Kirche im Berliner Ortsteil Mitte. ";;"Ermäßigter Eintritt für eine Dom-Besichtigung (Predigtkirche, Tauf- und Traukirche, Kuppelblick). Die Hohenzollerngruft wird aktuell saniert und bleibt daher bis auf Weiteres geschlossen. Dom-Besichtigung: 7 Euro (das Ticket gilt für einen Erwachsenen und bis zu drei Kindern unter 18 Jahren)";http://www.berliner-dom.de;"Am Lustgarten";"10178 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;"Marie Toya";marie.toya.gaillard@berlinerdom.de;;;;"2024-12-24 15:22:34";"2025-06-06 10:47:12"
28;;;"Berliner Ensemble GmbH";"Das Berliner Ensemble ist eine der bekanntesten Bühnen der deutschen Hauptstadt. Es wurde berühmt durch Aufführungen der Werke seines Gründers Bertolt Brecht und gilt als eine der führenden deutschsprachigen Bühnen.";;"""3 Euro Ticket"""", Für Vorstellungen gibt es ein begrenztes Kontingent im Vorverkauf bzw. an der Abendkasse (1 Stunde vor Beginn der Vorstellung) nach Verfügbarkeit. Ausgenommen sind Premieren, Silvester,  Gastspiele und Sonderveranstaltungen.""";https://www.berliner-ensemble.de/;"Bertolt-Brecht-Platz 1";"10117 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;Weidner-Bohnenberger;Weidner-Bohnenberger@berliner-ensemble.de;;;;"2024-12-25 15:22:34";"2025-06-06 10:49:39"
29;;;"Berliner Festspiele";"Die Berliner Festspiele organisieren und realisieren ganzjährig eine Vielzahl von eigenständigen Festivals sowie Ausstellungen und Einzelveranstaltungen in den Bereichen Musik, Theater, Performance, Tanz, Literatur und Bildender Kunst.";;"Als Nachweis-Inhaber*innen können Sie je nach Verfügbarkeit ein ermäßigtes Ticket oder ein Ticket für 3 Euro kaufen.";www.berlinerfestspiele.de;"Schaperstraße 24";"10719 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;info@berlinerfestspiele.de;;;;"2024-12-26 15:22:34";"2025-06-06 10:50:56"
30;;;"Berliner Festspiele | Jazzfest Berlin";"Das Jazzfest Berlin zählt zu den ältesten und angesehensten Jazz-Veranstaltungen Europas.";;"Als Nachweis-Inhaber*innen können Sie je nach Verfügbarkeit ein ermäßigtes Ticket oder ein Ticket für 3 Euro kaufen.";http://www.berlinerfestspiele.de/jazzfest;"Schaperstraße 24";"10719 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;info@berlinerfestspiele.de;;;;"2024-12-27 15:22:34";"2025-06-06 11:02:33"
31;;;"Berliner Festspiele | MaerzMusik";"MaerzMusik, das Festival für aktuelle Musik, verknüpft die vielfältigen Strömungen innerhalb zeitgenössischer Musik zu einem kontrastreichen Panorama mit renommierten Künstler:innen aus aller Welt.";;"Als Nachweis-Inhaber*innen können Sie je nach Verfügbarkeit ein ermäßigtes Ticket oder ein Ticket für 3 Euro kaufen.";http://www.berlinerfestspiele.de/maerzmusik;"Schaperstraße 24";"10719 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;info@berlinerfestspiele.de;;;;"2024-12-28 15:22:34";"2025-06-06 11:03:34"
32;;;"Berliner Festspiele | Musikfest Berlin";"Das Musikfest Berlin ist das internationale Orchesterfestival der Berliner Festspiele, veranstaltet in Kooperation mit der Stiftung Berliner Philharmoniker.";;"Als Nachweis-Inhaber*innen können Sie je nach Verfügbarkeit ein ermäßigtes Ticket oder ein Ticket für 3 Euro kaufen.";http://www.berlinerfestspiele.de/musikfest;"Schaperstraße 24";"10719 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;info@berlinerfestspiele.de;;;;"2024-12-29 15:22:34";"2025-06-06 11:04:22"
33;;;"Berliner Festspiele | Theatertreffen";"Das Berliner Theatertreffen ist eine alljährliche Veranstaltung der Berliner Festspiele. Es wird von der Kulturstiftung des Bundes gefördert.";;"Als Nachweis-Inhaber*innen können Sie je nach Verfügbarkeit ein ermäßigtes Ticket oder ein Ticket für 3 Euro kaufen.";http://www.berlinerfestspiele.de/theatertreffen;"Schaperstraße 24";"10719 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;info@berlinerfestspiele.de;;;;"2024-12-30 15:22:34";"2025-06-06 11:04:53"
35;;;"Berliner Philharmoniker";"Die Berliner Philharmoniker sind ein deutsches Sinfonieorchester. Sie gelten als eines der weltweit führenden Ensembles.";;"""3 Euro Ticket"""" Nach Verfügbarkeit an der Abendkasse. Für Konzerte der Stiftung Berliner Philharmoniker im Kammermusiksaal und im großen Saal der Philharmonie.""";https://www.berliner-philharmoniker.de/;"Herbert-von-Karajan-Straße 1";"10785 Berlin";nein;Kultur;"Erwachsene, Senioren, Familie";;Frau;Denker-Rust;c.denker-rust@berliner-philharmoniker.de;;;;"2025-01-01 15:22:34";"2025-06-06 11:05:54"
36;;;"Berliner Unterwelten e. V.";"Der gemeinnützige Verein Berliner Unterwelten e. V. erforscht und dokumentiert seit 1997 die baulichen und geschichtlichen Zusammenhänge des Berliner Untergrunds.";;"Touren 1, 2, 3 und F 13 Euro, Tour M 15 Euro. Auf bereits ermäßigte Karten wird keine weitere Ermäßigung gewährt. Dauerausstellung ¬ªHitlers Pläne für Berlin: Mythos Germania¬Ž mit einem ermäßigten Eintrittspreis von 5 Euro, Tickets sind über den Online-Shop erhältlich https://tickets.berliner-unterwelten.de";https://www.berliner-unterwelten.de/;"Brunnenstraße 105";"13355 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;eva.westphal@berliner-unterwelten.de;;;;"2025-01-02 15:22:34";"2025-06-06 11:06:50"
37;;;"Berlinische Galerie Landesmuseum für Moderne Kunst, Fotografie und Architektur";"Museum für moderne und zeitgenössische Kunst in Berlin, Fotografie, Architektur, Künstler-Archive, Dada Berlin, Neue Sachlichkeit und Osteuropäische.";;"ermäßiger Eintritt, Tageskarte 10 Euro, ermäßigte Tageskarte 6 Euro (?Ñnderungen bei Sonderausstellungen möglich), jeden ersten Sonntag im Monat frei";http://www.berlinischegalerie.de;"Alte Jakobstraße 124-128";"10969 Berlin";nein;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;Wesle;wesle@berlinischegalerie.de;;;;"2025-01-03 15:22:34";"2025-06-06 11:07:53"
38;;;"Bezirksamt Friedrichshain-Kreuzberg von Berlin, Seniorenamt";"Seniorenveranstaltungen, Ausflüge";;"Ermäßigte kulturelle Angebote (eigene Veranstaltungen)";https://www.berlin.de/ba-friedrichshain-kreuzberg/politik-und-verwaltung/aemter/amt-fuer-soziales/stadtteil-und-seniorenangebote/artikel.149625.php;"Frankfurter Allee 35/37";"10247 Berlin";nein;"Bildung & Beratung";Senioren;;;;kontakt@sv-friedrichshain-kreuzberg.de;;;;"2025-01-04 15:22:34";"2025-06-06 11:09:09"
39;;;"Bezirksamt Tempelhof-Schöneberg, Seniorenbetreuung";"Seniorenveranstaltungen, Ausflüge";;"Ermäßigungen in unterschiedlicher Höhe";https://www.berlin.de/ba-tempelhof-schoeneberg/politik-und-verwaltung/aemter/amt-fuer-soziales/seniorenservice/;"Tempelhofer Damm 165";"12099 Berlin";nein;Freizeit;Senioren;;;;"sv-ts @ seniorenvertretung-tempelhof-schoeneberg.de";;;;"2025-01-05 15:22:34";"2025-06-06 11:11:26"
40;;;"Bezirksmuseum Marzahn-Hellersdorf";"Das Bezirksmuseum Marzahn-Hellersdorf versteht sich als modernes, lebendiges Museum, das die Geschichte des Bezirks Marzahn-Hellersdorf und seiner Ortsteile Biesdorf, Hellersdorf, Kaulsdorf, Mahlsdorf und Marzahn erforscht und vermittelt.";;"freier Eintritt für alle Besucher*innen";https://www.kultur-marzahn-hellersdorf.de/bezirksmuseum-marzahn-hellersdorf;"Alt-Marzahn 51";"12685 Berlin";ja;Kultur;"Kinder, Erwachsene, Familie, Senioren";;;;info@museum-marzahn-hellersdorf.de;;;;"2025-01-06 15:22:34";"2025-06-06 11:12:37"
41;;;"Bibliotheken in Charlottenburg-Wilmersdorf";"Die Stadtbibliothek Charlottenburg-Wilmersdorf ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Charlottenburg-Wilmersdorf von Berlin.";;"kostenloser Bibliotheksausweis";https://www.berlin.de/ba-charlottenburg-wilmersdorf/verwaltung/aemter/weiterbildung-und-kultur/bibliotheken/;"Otto-Suhr-Allee 96";"10585 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;stadtbibliothek@charlottenburg-wilmersdorf.de;;;;"2025-01-07 15:22:34";"2025-06-06 11:13:56"
42;;;"Bibliotheken in Lichtenberg-Hohenschönhausen";"Die Stadtbibliothek Lichtenberg-Hohenschönhausen ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Lichtenberg-Hohenschönhausen";;"kostenloser Bibliotheksausweis";https://www.berlin.de/stadtbibliothek-lichtenberg/;"Anton-Saefkow-Platz 14";"10369 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;egon.erwin.kisch.bibliothek@lichtenberg.berlin.de;;;;"2025-01-08 15:22:34";"2025-06-06 11:14:53"
43;;;"Bibliotheken in Marzahn-Hellersdorf";"Die Stadtbibliothek Marzahn-Hellersdorf ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Marzahn-Hellersdorf von Berlin.";;"kostenloser Bibliotheksausweis";https://www.berlin.de/bibliotheken-mh/;"Marzahner Promenade 54 / 55";"12679 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;Renate.Zimmermann@ba-mh.berlin.de;;;;"2025-01-09 15:22:34";"2025-06-06 11:16:33"
44;;;"Berliner Stadtbiliothek";"Die Berliner Stadtbibliothek in Mitte führt unter anderem die Fachgebiete Naturwissenschaften, Medizin und Wirtschaft sowie die Senatsbibliothek Berlin mit den Kommunalwissenschaften und dem Fachgebiet Recht. Die Berlin-Sammlungen und die Historischen Sammlungen der ZLB bieten umfangreiche Bestände zu Geschichte und Gegenwart Berlins im Lesesaal im 2. OG.";;"kostenloser Bibliotheksausweis";www.zlb.de;"Breite Str. 30-36";"10178 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;info@zlb.de;;;;"2025-01-10 15:22:34";"2025-06-06 11:17:49"
45;;;"Bibliotheken in Pankow";"Die Stadtbibliothek Pankow ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Pankow von Berlin.";;"kostenloser Bibliotheksausweis";https://www.berlin.de/stadtbibliothek-pankow/;"Berliner Straße 120";"13187 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;Frau;"Sybille Wenzel (z.Z. vertreten)";wolfdietrich-schnurre-bibliothek@ba-pankow.berlin.de;;;;"2025-01-11 15:22:34";"2025-04-25 12:53:45"
46;;;"Stadtbibliothek Reinickendorf";"Die Stadtbibliothek Reinickendorf ist ein öffentliches Bibliothekssystem mit 5 Standorten und 2 Fahrbibliotheken in Trägerschaft des Bezirks Reinickendorf von Berlin.";;"kostenloser Bibliotheksausweis für Kinder, Schüler*innen und Empfänger*innen von staatlichen Transferleistungen (nur bei Anmeldungen vor Ort)";https://www.berlin.de/stadtbibliothek-reinickendorf/;"Zweigstelle der Humboldt-Bibliothek
Karolinenstr. 19";"13507 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";ja;Frau;"Nadja Baumgärtner";"humboldt-bibliothek@reinickendorf.berlin.de; Nadja.Baumgartner@reinickendorf.berlin.de";ja;;;"2025-01-12 15:22:34";"2025-06-27 12:42:56"
47;;;"Bibliotheken in Spandau";"Die Stadtbibliothek Spandau ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Spandau von Berlin.";;"kostenloser Bibliotheksausweis";https://www.berlin.de/stadtbibliothek-spandau/bibliotheken/bezirkszentralbibliothek/;"Carl-Schurz-Str. 13";"13597 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;i.wolter@ba-spandau.berlin.de;;;;"2025-01-13 15:22:34";"2025-06-06 11:21:39"
48;;;"Bibliotheken in Steglitz-Zehlendorf";"Die Stadtbibliothek Steglitz-Zehlendorf ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Steglitz-Zehlendorf von Berlin.";;"kostenloser Bibliotheksausweis";https://www.berlin.de/stadtbibliothek-steglitz-zehlendorf/;"Grunewaldstraße 3/3";"12165 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;jens.gehring@ba-sz.berlin.de;;;;"2025-01-14 15:22:34";"2025-06-06 11:23:52"
49;;;"Bibliotheken in Tempelhof-Schöneberg";"Die Stadtbibliothek Tempelhof-Schöneberg ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Tempelhof-Schöneberg von Berlin.";;"kostenloser Bibliotheksausweis";http://www.berlin.de/stadtbibliothek-tempelhof-schoeneberg/;"Hauptstraße 40";"10827 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;;;rickum@ba-ts.berlin.de;;;;"2025-01-15 15:22:34";"2025-06-06 11:45:46"
50;;;"Bibliotheken in Treptow-Köpenick";"Die Stadtbibliothek Treptow-Köpenick ist ein öffentliches Bibliothekssystem in Trägerschaft des Bezirks Treptow-Köpenick von Berlin.";;"kostenloser Bibliotheksausweis";https://www.berlin.de/stadtbibliothek-treptow-koepenick/;"Alter Markt 1";"12555 Berlin";ja;"Bildung & Beratung";"Kinder, Erwachsene, Familie, Senioren";;Frau;"Janin Praessler";Janin.Praessler@ba-tk.berlin.de;;;;"2025-01-16 15:22:34";"2025-06-06 11:47:00"
51;;;"BKA - Berliner Kabarett Anstalt";"Moderner Theaterraum für Kabarett, Konzerte und Musicals, daneben eine Bar für Drinks und kleine Gerichte.";;"ermäßigter Eintritt, 30 % Rabatt in allen Kategorien (nach Verfügbarkeit, außer bei Fremdveranstaltungen und an Silvester)";https://www.bka-theater.de/index.php;"Mehringdamm 34";"10961 Berlin";nein;Kultur;"Erwachsene, Senioren";;;;sven.ihlenfeld@bka-theater.de;;;;"2025-01-17 15:22:34";"2025-04-25 12:57:34"
